chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL17002,548.0,=,Ki,6.26,18562,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(C)=O)cc4)cc3)[nH]c2n(CCC)c1=O
CHEMBL16908,4450.0,=,Ki,5.35,18653,O=C(O)/C=C/c1ccc(-c2nc3c(=O)n(Cc4ccccc4)c(=O)n(Cc4ccccc4)c3[nH]2)cc1
CHEMBL16866,71.1,=,Ki,7.15,18778,CCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C)cc4)cc3)[nH]c2n(CC)c1=O
CHEMBL17341,434.0,=,Ki,6.36,18756,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O
CHEMBL17341,431.0,=,Ki,6.37,18756,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O
CHEMBL27041,595.0,=,Ki,6.22,36420,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CCC)c1=O
CHEMBL319971,37.6,=,Ki,7.42,157632,CCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
CHEMBL16724,4290.0,=,Ki,5.37,18722,C=CCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CC=C)c1=O
CHEMBL16724,2370.0,=,Ki,5.62,18722,C=CCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CC=C)c1=O
CHEMBL17202,143.0,=,Ki,6.84,18542,CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O
CHEMBL132806,57.0,=,Ki,7.24,224751,CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1
CHEMBL97383,6960.0,=,Ki,5.16,158011,CCCn1c(=O)n2nc(-c3ccco3)nc2c2cc(Cl)ccc21
CHEMBL336217,42.0,=,Ki,7.38,224930,CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1
CHEMBL318251,36.3,=,Ki,7.44,158403,CC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
CHEMBL100195,135.0,=,Ki,6.87,157530,CC(C)(C)OC(=O)NCCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
CHEMBL444281,63.3,=,Ki,7.2,36218,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(O)cc4)cc3)[nH]c2n(CCC)c1=O
CHEMBL17003,221.0,=,Ki,6.66,18977,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)[nH]c2n(CCC)c1=O
CHEMBL134566,60.0,=,Ki,7.22,224681,O=C(Cc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12
CHEMBL435022,38.0,=,Ki,7.42,224970,CC(C)CCn1cc2c(nc(NC(=O)COc3ccccc3)n3nc(-c4ccco4)nc23)n1
CHEMBL277386,917.0,=,Ki,6.04,18684,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(F)(F)F)cc4)cc3)[nH]c2n(CCC)c1=O
CHEMBL277386,238.0,=,Ki,6.62,18684,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(F)(F)F)cc4)cc3)[nH]c2n(CCC)c1=O
CHEMBL16984,999.0,=,Ki,6.0,18798,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(CC(=O)OCC)CC(=O)OCC)cc3)[nH]c2n(CCC)c1=O
CHEMBL275360,683.0,=,Ki,6.17,18645,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(N)=O)cc4)cc3)[nH]c2n(CCC)c1=O
CHEMBL275360,39.0,=,Ki,7.41,18645,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(N)=O)cc4)cc3)[nH]c2n(CCC)c1=O
CHEMBL17294,406.0,=,Ki,6.39,19008,CCCn1c(=O)c2nc(-c3ccc(/C=C/C(=O)NN4C(=O)C(C)=C(C)C4=O)cc3)[nH]c2n(CCC)c1=O
