chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL81232,380.0,=,Ki,6.42,129649,O=C(O)CNC(=O)/C(=C\c1ccccc1)CS
CHEMBL71496,11.7,=,IC50,7.93,110345,C[C@@H]1SCC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N1CC(=O)O
CHEMBL273853,3.6,=,IC50,8.44,8825,COc1ccc(C(C)C(CS)C(=O)NC(Cc2ccc(O)cc2)C(=O)O)cc1
CHEMBL273748,32.0,=,IC50,7.5,9067,CC(c1ccccc1)C(CS)C(=O)NCC(=O)O
CHEMBL273898,19.0,=,IC50,7.72,9035,CC(C)CC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O
CHEMBL51780,17.0,=,IC50,7.77,77733,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)CSc2ccccc21
CHEMBL306461,67.0,=,IC50,7.17,110679,O=C(O)CN1CCSC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O
CHEMBL291381,50000.0,=,IC50,4.3,99469,O=C(CCC(=O)N1CCCC1C(=O)O)NO
CHEMBL276008,5.0,=,IC50,8.3,8951,CC(NC(=O)C(CS)C(C)c1ccc(F)c(F)c1)C(=O)O
CHEMBL71746,73.0,=,IC50,7.14,110866,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CS[C@H]1c1ccccc1
CHEMBL2052008,95.0,=,Ki,7.02,1352966,C[C@H](NC(=O)[C@H](CS)[C@@H](C)c1ccccc1)C(=O)O
CHEMBL2052007,15.0,=,Ki,7.82,1352965,C[C@@H](c1ccccc1)[C@@H](CS)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
CHEMBL11806,4.0,=,IC50,8.4,9001,COc1ccc(C(C)C(CS)C(=O)NC(Cc2ccc(O)cc2)C(=O)O)cc1OC
CHEMBL298388,13.0,=,IC50,7.89,77706,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CSc2ccccc21
CHEMBL11616,4.3,=,IC50,8.37,8839,CC(c1ccccc1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
CHEMBL6915,5.4,=,IC50,8.27,1248,CCC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O
CHEMBL2052008,80.0,=,Ki,7.1,1352966,C[C@H](NC(=O)[C@H](CS)[C@@H](C)c1ccccc1)C(=O)O
CHEMBL306938,290.0,=,IC50,6.54,110676,O=C(O)CN1C[C@H](c2ccccc2)SC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O
CHEMBL71351,13.8,=,IC50,7.86,111069,CC1(C)CSC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N1CC(=O)O
CHEMBL67924,20.0,=,IC50,7.7,110343,O=C(O)CN1C(=O)[C@H](NC(=O)[C@@H](S)Cc2ccccc2)CS[C@@H]1c1ccccc1
CHEMBL69836,33.0,=,IC50,7.48,110302,O=C(O)CN1C[C@@H](c2ccccc2)SC[C@H](NC(=O)[C@@H](CS)Cc2ccccc2)C1=O
CHEMBL11620,9.5,=,IC50,8.02,8866,CC(NC(=O)C(CS)C(C)c1ccc2c(c1)OCO2)C(=O)O
CHEMBL420192,29.0,=,IC50,7.54,110678,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CSC[C@H]1c1ccccc1
CHEMBL71538,25.0,=,IC50,7.6,110374,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CS[C@@H]1c1ccccc1
CHEMBL2052008,16.0,=,Ki,7.8,1352966,C[C@H](NC(=O)[C@H](CS)[C@@H](C)c1ccccc1)C(=O)O
CHEMBL267766,110.0,=,IC50,6.96,9043,CCC(c1ccccc1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
CHEMBL273672,12.0,=,IC50,7.92,8885,CC(c1ccc(N)cc1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
CHEMBL71711,123.0,=,IC50,6.91,110868,O=C(O)CN1C(=O)[C@H](NC(=O)[C@@H](CS)Cc2ccccc2)CS[C@@H]1c1ccccc1
CHEMBL2051772,10.0,=,Ki,8.0,1352730,C[C@H](c1ccccc1)[C@@H](CS)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
CHEMBL2051773,20.0,=,IC50,7.7,1352731,CC(c1ccccc1)C(CS)C(=O)N[C@@H](C)C(=O)O
CHEMBL273724,6.9,=,IC50,8.16,8984,CC(c1ccc(F)cc1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
CHEMBL68849,40.0,=,IC50,7.4,110826,O=C(O)CN1C[C@@H](c2ccccc2)SC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O
CHEMBL275690,4.0,=,IC50,8.4,8953,CCCC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O
CHEMBL11227,7.9,=,IC50,8.1,8988,CC(c1ccc(O)cc1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
CHEMBL305020,100.0,=,IC50,7.0,110338,O=C(O)CN1CCSC[C@H](NC(=O)[C@@H](CS)Cc2ccccc2)C1=O
CHEMBL416522,210.0,=,IC50,6.68,9003,Cc1ccccc1C(C)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
CHEMBL62678,4900.0,=,IC50,5.31,99443,C[C@@H](CCC(=O)O)C(=O)N1CCCC1C(=O)O
CHEMBL71769,115.0,=,IC50,6.94,110233,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)CS[C@H]1c1ccccc1
CHEMBL11537,7.0,=,IC50,8.15,8879,CCCCC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O
CHEMBL11297,10.0,=,IC50,8.0,8827,CC(NC(=O)C(CS)C(C)c1ccc(F)cc1)C(=O)O
CHEMBL11607,4.5,=,IC50,8.35,8950,CC(c1ccc(F)c(F)c1)C(CS)C(=O)NC(Cc1ccc(O)cc1)C(=O)O
CHEMBL305050,167.0,=,IC50,6.78,110232,O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)CS[C@@H]1c1ccccc1
CHEMBL11495,25.0,=,IC50,7.6,8878,O=C(NC(Cc1ccc(O)cc1)C(=O)O)C(CS)Cc1ccccc1
CHEMBL275980,100.0,=,IC50,7.0,8996,CC(C)C(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O
CHEMBL11344,14.0,=,IC50,7.85,8986,COc1cc(C(C)C(CS)C(=O)NC(Cc2ccc(O)cc2)C(=O)O)ccc1O
CHEMBL2052007,1.9,=,Ki,8.72,1352965,C[C@@H](c1ccccc1)[C@@H](CS)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
CHEMBL2052007,26.0,=,Ki,7.58,1352965,C[C@@H](c1ccccc1)[C@@H](CS)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
CHEMBL67804,61.0,=,IC50,7.21,110829,O=C(O)CN1CSCC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O
CHEMBL2052008,4.5,=,Ki,8.35,1352966,C[C@H](NC(=O)[C@H](CS)[C@@H](C)c1ccccc1)C(=O)O
CHEMBL11236,43.0,=,IC50,7.37,8648,CC(c1ccccc1)C(CS)C(=O)NC(COCc1ccccc1)C(=O)O
