chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL15886,100000.0,=,IC50,4.0,652163,CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O
CHEMBL133897,750.0,=,IC50,6.12,218451,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1
CHEMBL336398,100.0,=,IC50,7.0,217827,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1
CHEMBL130628,300.0,=,IC50,6.52,217878,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F
CHEMBL130478,800.0,=,IC50,6.1,218387,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C
CHEMBL276539,60000.0,=,IC50,4.22,656981,BrCCCCCC[n+]1ccccc1
CHEMBL276539,90000.0,=,IC50,4.05,656981,BrCCCCCC[n+]1ccccc1
CHEMBL130112,2400.0,=,IC50,5.62,218386,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1
CHEMBL130098,100.0,=,IC50,7.0,217714,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C
CHEMBL336538,800.0,=,IC50,6.1,217724,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1
CHEMBL335033,50.0,=,IC50,7.3,218484,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C
CHEMBL338720,560.0,=,IC50,6.25,218408,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C
CHEMBL339995,10.0,<,IC50,,217815,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C
CHEMBL335158,10.0,<,IC50,,217826,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1
CHEMBL131536,1400.0,=,IC50,5.85,217771,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1
