chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL302455,1.0,=,IC50,9.0,97755,Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)c4ccccc4)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL302455,9100.0,=,IC50,5.04,97755,Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)c4ccccc4)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL60373,1.0,<,IC50,,97287,COC(=O)N[C@H](C(=O)NO)[C@H]1CCN(c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1=O
CHEMBL60373,2650.0,=,IC50,5.58,97287,COC(=O)N[C@H](C(=O)NO)[C@H]1CCN(c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1=O
CHEMBL342713,110.0,=,IC50,6.96,225431,O=C(NO)[C@H]1CCC[C@@H]1C(=O)Nc1ccc(OCc2ccccc2)cc1
CHEMBL276119,213.0,=,IC50,6.67,125165,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1
CHEMBL78369,416.0,=,IC50,6.38,126242,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1
CHEMBL514138,231.0,=,IC50,6.64,1549,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1
CHEMBL64281,2.0,=,IC50,8.7,97023,Cc1cc(COc2ccc(N3CC[C@H]([C@H](C)N(O)C=O)C3=O)cc2)c2ccccc2n1
CHEMBL64281,8700.0,=,IC50,5.06,97023,Cc1cc(COc2ccc(N3CC[C@H]([C@H](C)N(O)C=O)C3=O)cc2)c2ccccc2n1
CHEMBL343721,39.0,=,IC50,7.41,225117,O=C(NO)[C@H]1CCC[C@@H]1C(=O)Nc1ccc(COc2ccnc3ccccc23)cc1
CHEMBL334446,56.0,=,IC50,7.25,224590,O=C(NO)[C@H]1CCCC[C@@H]1C(=O)Nc1ccc(COc2ccc3ncccc3c2)cc1
CHEMBL305373,140.0,=,IC50,6.85,98087,CCC[C@@H](C(=O)NO)[C@H]1CCN(c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1=O
CHEMBL303983,1.0,=,IC50,9.0,96997,Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)OC(C)(C)C)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL303983,420.0,=,IC50,6.38,96997,Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)OC(C)(C)C)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL312432,421.0,=,IC50,6.38,126174,Cc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OCc4ccc(Cl)cc4)cc3)CC2)cc1
CHEMBL306617,270.0,=,IC50,6.57,126548,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1
CHEMBL78798,581.0,=,IC50,6.24,125967,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OCCN4CCCCC4)cc3)CC2)cc1
CHEMBL80969,229.0,=,IC50,6.64,124508,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1
CHEMBL78909,492.0,=,IC50,6.31,126225,COc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(Oc4ccc(Cl)cc4)cc3)CC2)cc1
CHEMBL137406,89.0,=,IC50,7.05,225158,O=C(NO)[C@H]1CCCC[C@@H]1C(=O)Nc1ccc(OCc2ccccc2)cc1
CHEMBL76137,610.0,=,IC50,6.21,125117,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4ccccc4)cc3)CC2)cc1
CHEMBL310340,177.0,=,IC50,6.75,125083,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCOCC2)cc1
CHEMBL440498,176.0,=,IC50,6.75,126117,O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1
CHEMBL64586,2.0,=,IC50,8.7,97507,Cc1cc(COc2ccc(N3CC[C@H]([C@H](N)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL64586,1700.0,=,IC50,5.77,97507,Cc1cc(COc2ccc(N3CC[C@H]([C@H](N)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL432333,1.0,<,IC50,,97633,Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)C(C)(C)C)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL432333,4950.0,=,IC50,5.3,97633,Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)C(C)(C)C)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL417411,4.0,=,IC50,8.4,97125,CCC[C@H](C(=O)NO)[C@@]1(N)CCN(c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1=O
CHEMBL76836,386.0,=,IC50,6.41,125119,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OCCN4CCCCC4)cc3)CC2)cc1
CHEMBL292546,26.0,=,IC50,7.58,97509,Cc1cc(COc2ccc(N3CC[C@H]([C@@H](C(=O)NO)N4CCCC4)C3=O)cc2)c2ccccc2n1
CHEMBL302002,5.0,=,IC50,8.3,97324,Cc1cc(COc2ccc(N3CC[C@](N)(CC(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL302002,4800.0,=,IC50,5.32,97324,Cc1cc(COc2ccc(N3CC[C@](N)(CC(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL305163,2.0,=,IC50,8.7,97087,Cc1cc(COc2ccc(N3CC[C@](N)([C@H](C)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL305163,1100.0,=,IC50,5.96,97087,Cc1cc(COc2ccc(N3CC[C@](N)([C@H](C)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL291884,6.0,=,IC50,8.22,97108,Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)OC(C)(C)C)C(=O)NO)C3=O)cc2)cc(C)n1
CHEMBL312429,170.0,=,IC50,6.77,125746,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc4ccccc4c3)CC2)cc1
CHEMBL78549,413.0,=,IC50,6.38,126440,CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1
CHEMBL78508,565.0,=,IC50,6.25,125944,CC(C)CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1
CHEMBL418476,405.0,=,IC50,6.39,97062,CCC[C@@H](C(=O)NO)[C@@]1(N)CCN(c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1=O
CHEMBL80732,848.0,=,IC50,6.07,125945,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCNCC1
CHEMBL309311,272.0,=,IC50,6.57,126330,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1
CHEMBL79433,301.0,=,IC50,6.52,125914,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1
CHEMBL80321,39.0,=,IC50,7.41,126298,CCC(CC)Oc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1
CHEMBL80183,273.0,=,IC50,6.56,126329,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4cccs4)cc3)CC2)cc1
CHEMBL62455,111.0,=,IC50,6.96,97543,C[C@@H]([C@H]1CCN(c2ccc(OCc3ccccc3)cc2)C1=O)N(O)C=O
CHEMBL135177,7240.0,=,IC50,5.14,224589,O=C(NO)[C@H]1CCCC[C@@H]1C(=O)Nc1ccc(C#Cc2ccc3ncccc3c2)cc1
CHEMBL312770,503.0,=,IC50,6.3,126006,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCc3ccccc3)CC2)cc1
CHEMBL78337,270.0,=,IC50,6.57,126441,CN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1
CHEMBL63272,1.0,=,IC50,9.0,97009,Cc1cc(COc2ccc(N3CC[C@H]([C@H](C)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL63272,1570.0,=,IC50,5.8,97009,Cc1cc(COc2ccc(N3CC[C@H]([C@H](C)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL336900,210.0,=,IC50,6.68,225159,O=C(NO)[C@H]1CCC[C@@H]1C(=O)Nc1ccc(Cc2ccncc2)cc1
CHEMBL311436,416.0,=,IC50,6.38,126252,O=C(NO)C1(S(=O)(=O)c2ccc(-c3ccco3)cc2)CCN(Cc2ccccc2)CC1
CHEMBL64739,3.0,=,IC50,8.52,98047,Cc1cc(COc2ccc(N3CC[C@H]([C@H](O)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL64739,2400.0,=,IC50,5.62,98047,Cc1cc(COc2ccc(N3CC[C@H]([C@H](O)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL335177,620.0,=,IC50,6.21,224593,O=C(NO)[C@H]1CCC[C@@H]1C(=O)Nc1ccc(OCc2ccncc2)cc1
CHEMBL419648,594.0,=,IC50,6.23,125572,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C)CC2)cc1
CHEMBL311357,301.0,=,IC50,6.52,126439,CCCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1
CHEMBL64262,1.0,<,IC50,,97632,Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)N4CCOCC4)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL64262,840.0,=,IC50,6.08,97632,Cc1cc(COc2ccc(N3CC[C@H]([C@H](NC(=O)N4CCOCC4)C(=O)NO)C3=O)cc2)c2ccccc2n1
CHEMBL78369,277.0,=,IC50,6.56,126242,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1
CHEMBL303370,7.0,=,IC50,8.15,97862,Cc1cc(COc2ccc(N3CC[C@H]([C@@H](C(=O)NO)N(C)C)C3=O)cc2)c2ccccc2n1
CHEMBL303370,1500.0,=,IC50,5.82,97862,Cc1cc(COc2ccc(N3CC[C@H]([C@@H](C(=O)NO)N(C)C)C3=O)cc2)c2ccccc2n1
CHEMBL334468,53.0,=,IC50,7.28,225116,O=C(NO)[C@H]1CCC[C@@H]1C(=O)Nc1ccc(OCc2cc(Cl)cc(Cl)c2)cc1
CHEMBL310057,470.0,=,IC50,6.33,126061,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCc3ccccc3)CC2)cc1
CHEMBL420023,880.0,=,IC50,6.06,126043,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCC)CC2)cc1
