chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL50378,4.0,=,Ki,8.4,72191,CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc21
CHEMBL132135,56.0,=,Ki,7.25,221572,CCCCCC[C@H]([C@@H](O)CO)n1cnc2c(N)ncnc21
CHEMBL335918,47.0,=,Ki,7.33,221616,CCCCCC[C@H](CO)n1cnc2c(N)ncnc21
CHEMBL422438,1000.0,=,Ki,6.0,659535,CCCCCC[C@@H]1[C@@H](O)C[n+]2cnc(N)c3ncn1c32
CHEMBL334896,320.0,=,Ki,6.5,220724,CCCCCC[C@H](CCl)n1cnc2c(N)ncnc21
CHEMBL336735,600.0,=,Ki,6.22,220723,CCCCCC[C@H](CBr)n1cnc2c(N)ncnc21
CHEMBL423163,1300.0,=,Ki,5.89,220725,CCCCCC[C@H](CN=[N+]=[N-])n1cnc2c(N)ncnc21
CHEMBL336534,1600.0,=,Ki,5.8,221617,CCCCCC[C@H](CF)n1cnc2c(N)ncnc21
CHEMBL132985,890.0,=,Ki,6.05,221575,CCCCCC[C@H]([C@@H]1CO1)n1cnc2c(N)ncnc21
CHEMBL115824,180.0,=,Ki,6.75,185657,Nc1ccnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL112683,40000.0,=,Ki,4.4,185122,O=CNc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cn1
CHEMBL50378,500.0,=,Ki,6.3,72191,CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc21
CHEMBL50378,0.4,=,Ki,9.4,72191,CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc21
CHEMBL612157,6900.0,=,Ki,5.16,606171,OC[C@H]1OC(n2cnc3c(NO)cc(Cl)nc32)[C@H](O)[C@@H]1O
CHEMBL118106,1200.0,=,Ki,5.92,193234,N=C(N)Nc1nc(-c2ccc(CNc3cc4ccccc4[nH]3)s2)cs1
CHEMBL327830,680.0,=,Ki,6.17,149117,NC(=O)c1cn(C(CO)CCc2cccc3ccccc23)cn1
CHEMBL296435,2.0,=,Ki,8.7,63434,CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)ncnc21
CHEMBL2113394,1200.0,=,Ki,5.92,1385645,OC[C@H]1O[C@@H](n2cnc3c(NO)ccnc32)[C@H](O)[C@@H]1O
CHEMBL3142249,5300.0,=,Ki,5.28,1631540,Cc1ccc(OC[C@H]2O[C@@H](n3cnc4c(NO)ccnc43)C[C@@H]2Oc2ccc(C)cc2)cc1
CHEMBL3142245,270.0,=,Ki,6.57,1631536,OC[C@H]1O[C@@H](n2cnc3c(NO)ccnc32)C[C@@H]1O
CHEMBL1555103,80.0,=,Ki,7.1,978987,CCCCCC[C@@H]([C@H](C)O)n1cnc2c(N)ncnc21
CHEMBL2114367,122.0,=,Ki,6.91,1386758,CCCCCC[C@H]([C@@H](C)O)n1cnc2c(N)ncnc21
CHEMBL126093,8300.0,=,Ki,5.08,202086,Nc1ncnc2ncn(COCCO)c12
CHEMBL1790862,100000.0,=,Ki,4.0,1154493,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)COCCn2cnc3ncnc(N)c32)[C@H]1O
CHEMBL3142967,23000.0,=,Ki,4.64,1632258,Nc1cc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
CHEMBL449699,69000.0,=,Ki,4.16,215148,OCC1CCC(n2cnc3c(NC4CCCCC4)ccnc32)O1
CHEMBL2113477,97000.0,=,Ki,4.01,1385728,OC[C@H]1O[C@@H](n2cnc3c(NC4CCC4)cc(Cl)nc32)[C@H](O)[C@@H]1O
CHEMBL610136,69000.0,=,Ki,4.16,607072,CNc1cc(Cl)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL336531,2500.0,=,Ki,5.6,215208,Nc1ccnc2c1ncn2C1CCC(CO)O1
CHEMBL3143090,59000.0,=,Ki,4.23,1632381,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCCCCC4)ccnc32)C[C@@H]1O
CHEMBL130032,92000.0,=,Ki,4.04,215195,OCC1CCC(n2cnc3c(NC4CCC4)ccnc32)O1
CHEMBL3143088,250.0,=,Ki,6.6,1632379,CNc1ccnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
CHEMBL337739,78000.0,=,Ki,4.11,215223,OCC1CCC(n2cnc3c(NC4CC4)ccnc32)O1
CHEMBL2113478,38000.0,=,Ki,4.42,1385729,OC[C@H]1O[C@@H](n2cnc3c(NC4CC4)ccnc32)[C@H](O)[C@@H]1O
CHEMBL3142532,22000.0,=,Ki,4.66,1631823,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)ccnc32)C[C@@H]1O
CHEMBL130172,11000.0,=,Ki,4.96,215245,CNc1cc(Cl)nc2c1ncn2C1CCC(CO)O1
CHEMBL606228,80000.0,=,Ki,4.1,605882,OC[C@H]1OC(n2cnc3c(NC4CCCCCCC4)ccnc32)[C@H](O)[C@@H]1O
CHEMBL130928,2200.0,=,Ki,5.66,215244,CNc1ccnc2c1ncn2C1CCC(CO)O1
CHEMBL338919,53000.0,=,Ki,4.28,215100,OCC1CCC(n2cnc3c(NC4CCCCCC4)ccnc32)O1
CHEMBL3143083,27000.0,=,Ki,4.57,1632374,OC[C@H]1O[C@@H](n2cnc3c(NC4CCC4)ccnc32)C[C@@H]1O
CHEMBL3142530,42000.0,=,Ki,4.38,1631821,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCCCC4)ccnc32)C[C@@H]1O
CHEMBL611298,12000.0,=,Ki,4.92,607235,CNc1ccnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL3143089,4200.0,=,Ki,5.38,1632380,CNc1cc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
CHEMBL2113392,30000.0,=,Ki,4.52,1385643,Nc1cc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL3143087,190.0,=,Ki,6.72,1632378,Nc1ccnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
CHEMBL3143085,5900.0,=,Ki,5.23,1632376,OC[C@H]1O[C@@H](n2cnc3c(NC4CC4)ccnc32)C[C@@H]1O
CHEMBL3143086,87000.0,=,Ki,4.06,1632377,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCCC4)ccnc32)C[C@@H]1O
CHEMBL3142517,75000.0,=,Ki,4.12,1631808,OC[C@H]1O[C@@H](n2cnc3c(NC4CC4)cc(Cl)nc32)C[C@@H]1O
