chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL305153,16.98,=,Kd,7.77,100708,CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21
CHEMBL305153,30.8,=,IC50,7.51,100708,CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21
CHEMBL368457,66.07,=,Kd,7.18,287590,CC(C)(C)NCC(O)CON=C1c2ccccc2-c2ccccc21
CHEMBL368457,24.6,=,IC50,7.61,287590,CC(C)(C)NCC(O)CON=C1c2ccccc2-c2ccccc21
CHEMBL148306,95.5,=,Kd,7.02,243582,COCCc1ccc(OC[C@@H](O)CNC(C)C)cc1
CHEMBL2110257,74.13,=,Kd,7.13,1382697,CCC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21
CHEMBL1788270,18.2,=,Kd,7.74,1151934,CC(C)(C)NC[C@@H](O)CON=C1c2ccccc2-c2ccccc21
CHEMBL1788270,20.1,=,IC50,7.7,1151934,CC(C)(C)NC[C@@H](O)CON=C1c2ccccc2-c2ccccc21
CHEMBL266195,2.98,=,IC50,8.53,822,C=CCc1ccccc1OCC(O)CNC(C)C
CHEMBL40650,3870.0,=,Ki,5.41,60592,COc1cccc2c1CC[C@H]1CN(CCn3c(=O)[nH]c4c(sc5cccnc54)c3=O)C[C@@H]21
CHEMBL1744069,13.8,=,Kd,7.86,1122640,CC(C)(C)NC[C@@H](O)COc1nsnc1N1CCOCC1
CHEMBL423,657.0,=,IC50,6.18,1354,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
CHEMBL1741004,5754.4,=,Kd,5.24,1120055,COCCc1ccc(OC[C@H](O)CNC(C)C)cc1
CHEMBL173976,85.11,=,Kd,7.07,287589,CCC(C)(C)NCC(O)CON=C1c2ccccc2-c2ccccc21
CHEMBL26917,31.62,=,Kd,7.5,37064,Cc1ccc(OCC(O)CNC(C)C)c2c1CCC2
CHEMBL26917,17.6,=,IC50,7.75,37064,Cc1ccc(OCC(O)CNC(C)C)c2c1CCC2
CHEMBL163262,1190.0,=,EC50,5.92,274119,CS(=O)(=O)Nc1cc([C@@H](O)CNC2CCN(c3ccc(CC4SC(=O)NC4=O)cc3)CC2)ccc1O
CHEMBL331036,1700.0,=,Ki,5.77,199135,c1cn2ccnc2c(N2CCNCC2)n1
CHEMBL424167,620.0,=,EC50,6.21,274046,O=C1NC(=O)C(Cc2ccc(N3CCC(NC[C@H](O)c4ccc(O)c(NS(=O)(=O)c5ccccc5)c4)CC3)cc2)S1
CHEMBL555637,2300.0,=,Ki,5.64,669903,Cc1cnc2c(N3CCNCC3)nccn12
CHEMBL554785,250.0,=,Ki,6.6,669476,Cc1cn2c(C)cnc2c(N2CCNCC2)n1
CHEMBL538537,3240.0,=,Ki,5.49,663297,CCc1cnc2c(N3CCNCC3)nccn12
CHEMBL126394,17700.0,=,Ki,4.75,207927,CC1CN=C2C(N3CCNCC3)=NC=CN21.O=C(O)C/C=C\CC(=O)O
CHEMBL123566,520.0,=,Ki,6.28,207956,Brc1cnc(N2CCNCC2)c2nccn12
CHEMBL545293,1390.0,=,Ki,5.86,667774,CCCc1cnc2c(N3CCNCC3)nccn12
CHEMBL545289,280.0,=,Ki,6.55,667771,Cc1cn2ccnc2c(N2CCNCC2)n1
CHEMBL541088,820.0,=,Ki,6.09,664497,Cc1cnc(N2CCNCC2)c2nccn12
CHEMBL555391,2010.0,=,Ki,5.7,669764,CC(C)c1cnc2c(N3CCNCC3)nccn12
CHEMBL284909,12.59,=,Kd,7.9,42954,C=COC(=O)c1ccccc1OCC(O)CNC(C)C
CHEMBL281298,39.81,=,Kd,7.4,42917,COC(=O)c1ccccc1OCC(O)CNC(C)(C)CO
CHEMBL30289,794.33,=,Kd,6.1,43560,COC(=O)/C=C/c1ccc(OCC(O)CNC(C)C)cc1
CHEMBL13284,12.59,=,Kd,7.9,12131,COC(=O)c1ccccc1OCC(O)CNC(C)C
CHEMBL31608,794.33,=,Kd,6.1,43356,CCOC(=O)c1ccc(OCC(O)CNC(C)C)cc1
CHEMBL31335,15.85,=,Kd,7.8,43191,CCOC(=O)C(C)(C)NCC(O)COc1ccccc1C(=O)OC
CHEMBL31450,63.1,=,Kd,7.2,43665,C=COC(=O)c1cccc(OCC(O)CNC(C)C)c1
CHEMBL768,6309.57,=,Kd,5.2,43354,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
CHEMBL31416,12589.25,=,Kd,4.9,43272,COC(=O)CCc1ccc(OCC(O)CNCc2ccccc2)cc1
CHEMBL13358,79.43,=,Kd,7.1,11977,COC(=O)c1ccccc1OCC(O)CNCCc1ccc(OC)c(OC)c1
CHEMBL30292,3981.07,=,Kd,5.4,43559,COC(=O)Cc1ccc(OCC(O)CNC(C)C)cc1
CHEMBL31025,1258.93,=,Kd,5.9,43309,COC(=O)CCc1ccc(OCC(O)CNC(C)(C)C)cc1
CHEMBL31036,1995.26,=,Kd,5.7,44062,C=COC(=O)c1ccc(OCC(O)CNC(C)C)cc1
CHEMBL30899,3981.07,=,Kd,5.4,43281,COC(=O)c1ccc(OCC(O)CNC(C)(C)C)cc1
CHEMBL286894,3162.28,=,Kd,5.5,43353,COC(=O)CCCc1ccc(OCC(O)CNC(C)C)cc1
CHEMBL13504,3162.28,=,Kd,5.5,12052,COC(=O)c1ccc(OCC(O)CNC(C)C)cc1
CHEMBL27,1.259,=,Kd,8.9,1370,CC(C)NCC(O)COc1cccc2ccccc12
CHEMBL281967,1.259,=,Kd,8.9,43414,COC(=O)CCc1ccccc1OCC(O)CNC(C)C
CHEMBL6995,1584.89,=,Kd,5.8,1380,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
