chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL260397,2090.0,=,IC50,5.68,428234,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)CC1
CHEMBL440560,15700.0,=,IC50,4.8,302933,O=c1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]1
CHEMBL178397,24000.0,=,IC50,4.62,300575,Cc1nc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]c1=O
CHEMBL572629,1179.0,=,IC50,5.93,570225,Cc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]c1=O
CHEMBL3143722,1755.0,=,IC50,5.76,1633013,O=c1[nH]c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)nc1Cc1ccccc1
CHEMBL178133,45270.0,=,IC50,4.34,302850,O=c1[nH]c(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)nc1Cc1ccc(O)cc1
CHEMBL3143723,5407.0,=,IC50,5.27,1633014,O=c1[nH]c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)nc1Cc1ccc(O)cc1
CHEMBL3143721,4517.0,=,IC50,5.34,1633012,CCC(C)c1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]c1=O
CHEMBL362016,18000.0,=,IC50,4.75,302751,CC(C)Cc1nc(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)c(-c2ccccc2)nc1O
CHEMBL178468,325.0,=,IC50,6.49,300463,CC(C)Cc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)nc1O
CHEMBL181419,1877.0,=,IC50,5.73,302819,Cn1nnc(-c2ccc3nc(-c4ccc(CN5CCC(n6c(O)nc7ccccc76)CC5)cc4)c(-c4ccccc4)nc3c2)n1
CHEMBL180058,332.0,=,IC50,6.48,302820,Cn1nnc(-c2ccc3nc(-c4ccccc4)c(-c4ccc(CN5CCC(n6c(O)nc7ccccc76)CC5)cc4)nc3c2)n1
CHEMBL180231,300.0,=,IC50,6.52,302821,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5cn[nH]c5cc4nc3-c3ccccc3)cc2)CC1
CHEMBL383541,257.0,=,IC50,6.59,342789,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL388978,6.5,=,IC50,8.19,373381,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL383264,6.8,=,IC50,8.17,344363,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL210390,21.0,=,IC50,7.68,347700,Nc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1
CHEMBL207544,5.0,=,IC50,8.3,348398,C#Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1
CHEMBL378963,5.0,=,IC50,8.3,348469,N[C@H](COc1cnc(Cl)c(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL388978,9.0,=,IC50,8.05,373381,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL213618,23.0,=,IC50,7.64,354665,CNc1nccc(-c2ccc(C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl)s2)n1
CHEMBL223367,3970.0,=,Ki,5.4,370955,N#Cc1ncc2nc1OCCCCCOc1cc(CCCO)c(Cl)cc1NC(=O)N2
CHEMBL373598,1120.0,=,Ki,5.95,370916,N#Cc1ncc2nc1OCCCCCOc1cc(OCCCO)c(Cl)cc1NC(=O)N2
CHEMBL228042,10.0,=,IC50,8.0,377577,CNC(c1ccc(Cl)cc1)c1ccc(-c2ncnc3[nH]cnc23)cc1
CHEMBL226712,9.0,=,IC50,8.05,377566,NC(c1ccc(Cl)cc1)c1ccc(-c2ncnc3[nH]cnc23)cc1
CHEMBL227605,430.0,=,IC50,6.37,377555,NC(Cc1ccccc1)c1ccc(-c2ncnc3[nH]cnc23)cc1
CHEMBL389176,400.0,=,IC50,6.4,377709,NC(c1ccccc1)c1ccc(-c2ncnc3[nH]cnc23)cc1
CHEMBL227998,3200.0,=,IC50,5.5,377704,NCCc1cccc(-c2ncnc3[nH]cnc23)c1
CHEMBL227727,9500.0,=,IC50,5.02,377703,NCCc1ccc(-c2ncnc3[nH]cnc23)cc1
CHEMBL375509,1600.0,=,IC50,5.8,377702,CNCc1cccc(-c2ncnc3[nH]cnc23)c1
CHEMBL227381,260.0,=,IC50,6.58,377518,O=S(=O)(NCCNCCOCc1ccc(Cl)cc1)c1cccc2cnccc12
CHEMBL223339,280.0,=,IC50,6.55,377596,NC[C@H](c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1
CHEMBL227924,34000.0,=,IC50,4.47,377595,NC[C@@H](c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1
CHEMBL428462,18000.0,=,IC50,4.75,377594,Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1
CHEMBL223393,31000.0,=,IC50,4.51,377588,NCC(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1
CHEMBL374742,200.0,=,IC50,6.7,377587,c1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1
CHEMBL227029,510.0,=,IC50,6.29,377586,NCC(c1ccccc1)c1ccc(-c2cn[nH]c2)cc1
CHEMBL390066,135000.0,=,IC50,3.87,377575,c1ccc(-c2cn[nH]c2)cc1
CHEMBL226870,3000.0,=,IC50,5.52,377574,NCCCc1ccc(-c2cn[nH]c2)cc1
CHEMBL228224,5200.0,=,IC50,5.28,377573,Cc1n[nH]cc1-c1ccc(CCN)cc1
CHEMBL226766,12000.0,=,IC50,4.92,377572,Cc1[nH]ncc1-c1ccc(CN)cc1
CHEMBL228114,80000.0,=,IC50,4.1,377563,Cc1n[nH]cc1-c1ccccc1
CHEMBL442229,20.0,=,IC50,7.7,385868,NC(=O)Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2
CHEMBL228867,3.0,=,IC50,8.52,385921,C/C(=C1/C(=O)Nc2ccc(NC(N)=O)cc21)c1cc(CNC(=O)CCN2CCCCC2)c[nH]1
CHEMBL388966,10.0,=,IC50,8.0,385920,C/C(=C1/C(=O)Nc2ccc(NC(N)=O)cc21)c1cc(CNC(=O)CO)c[nH]1
CHEMBL228812,5.0,=,IC50,8.3,385919,C/C(=C1/C(=O)Nc2ccc(NC(N)=O)cc21)c1cc(CNC(=O)CN)c[nH]1
CHEMBL228811,5.0,=,IC50,8.3,385918,C/C(=C1/C(=O)Nc2ccc(NC(N)=O)cc21)c1cc(CNC(=O)C2CNCCN2)c[nH]1
CHEMBL228810,4.0,=,IC50,8.4,385917,C/C(=C1/C(=O)Nc2ccc(NC(N)=O)cc21)c1cc(CNC(=O)C2CCN(C)CC2)c[nH]1
CHEMBL228757,6.0,=,IC50,8.22,385916,C/C(=C1/C(=O)Nc2ccc(NC(N)=O)cc21)c1cc(CNC(=O)C2CCNCC2)c[nH]1
CHEMBL388739,10.0,=,IC50,8.0,385915,C/C(=C1/C(=O)Nc2ccc(NC(N)=O)cc21)c1cc(CNC(=O)c2cccnc2)c[nH]1
CHEMBL228756,5.0,=,IC50,8.3,385914,C/C(=C1/C(=O)Nc2ccc(NC(N)=O)cc21)c1cc(CNC(=O)c2ccncc2)c[nH]1
CHEMBL228755,8.0,=,IC50,8.1,385913,CC(=O)NCc1c[nH]c(/C(C)=C2\C(=O)Nc3ccc(NC(N)=O)cc32)c1
CHEMBL228705,10.0,=,IC50,8.0,385910,C/C(=C1/C(=O)Nc2ccc(NC(N)=O)cc21)c1cc(CN)c[nH]1
CHEMBL228654,5.0,=,IC50,8.3,385907,C/C(=C1/C(=O)Nc2ccc(NC(N)=O)cc21)c1ccc[nH]1
