chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL292697,10890.0,=,IC50,4.96,84977,O=c1cc(C(c2ccccc2)c2ccccc2)oc2cc(O)ccc12
CHEMBL1907776,11000.0,=,IC50,4.96,1248327,O=C(O)[C@@H](NS(=O)(=O)c1ccccc1)c1ccccc1
CHEMBL151,9570.0,=,IC50,5.02,47209,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
CHEMBL36108,380.0,=,IC50,6.42,54081,O=C(O)CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1
CHEMBL37420,13000.0,=,IC50,4.89,53257,O=C(O)CNS(=O)(=O)c1ccccc1[N+](=O)[O-]
CHEMBL37092,880.0,=,IC50,6.06,53219,O=C(O)CNS(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1
CHEMBL36920,5700.0,=,IC50,5.24,53903,O=C(O)c1ccccc1NS(=O)(=O)c1ccc2ccccc2c1
CHEMBL56890,3140.0,=,IC50,5.5,85726,O=c1cc(Cc2ccc(O)c(O)c2)oc2cc(O)ccc12
CHEMBL56890,13230.0,=,IC50,4.88,85726,O=c1cc(Cc2ccc(O)c(O)c2)oc2cc(O)ccc12
CHEMBL56644,29350.0,=,IC50,4.53,84978,O=c1cc(CCCc2ccc(O)cc2)oc2cc(O)ccc12
CHEMBL56346,6610.0,=,IC50,5.18,86330,O=c1cc(Cc2ccccc2)oc2cc(O)ccc12
CHEMBL56346,39170.0,=,IC50,4.41,86330,O=c1cc(Cc2ccccc2)oc2cc(O)ccc12
CHEMBL285934,16000.0,=,IC50,4.8,53401,O=C(O)CN(c1ccccc1)S(=O)(=O)c1ccc(Cl)cc1
CHEMBL439922,85000.0,=,IC50,4.07,53688,O=C(O)c1ccccc1NS(=O)(=O)c1ccc(Br)cc1
CHEMBL298611,14220.0,=,IC50,4.85,85034,O=c1c(Cc2ccccc2)c(Cc2ccc(O)cc2)oc2cc(O)ccc12
CHEMBL288077,400.0,=,IC50,6.4,53220,O=C(O)CNS(=O)(=O)c1ccc2ccccc2c1
CHEMBL37193,7600.0,=,IC50,5.12,52862,O=C(O)CN(c1ccccc1Cl)S(=O)(=O)c1ccccc1
CHEMBL34845,22000.0,=,IC50,4.66,53864,O=C(O)CN(c1ccc(F)cc1)S(=O)(=O)c1ccccc1
CHEMBL56345,13120.0,=,IC50,4.88,86329,O=c1cc(Cc2ccc(O)cc2)oc2ccc(O)cc12
CHEMBL300814,3980.0,=,IC50,5.4,86617,O=c1cc(-c2ccccc2)oc2cc(O)c(O)cc12
CHEMBL37003,4400.0,=,IC50,5.36,53570,O=C(O)CN(c1ccccc1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1
CHEMBL55983,1300.0,=,IC50,5.89,86640,O=C(O)Cc1ccc2c(=O)cc(Cc3ccc(O)cc3)oc2c1
CHEMBL37072,1800.0,=,IC50,5.75,53720,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccccc2)cc1
CHEMBL287486,32000.0,=,IC50,4.5,53258,Cc1ccc(S(=O)(=O)NCC(=O)O)cc1
CHEMBL34976,3600.0,=,IC50,5.44,53400,O=C(O)CN(c1ccccc1)S(=O)(=O)c1ccccc1[N+](=O)[O-]
CHEMBL1907952,90000.0,=,IC50,4.05,1248503,Cc1ccc(S(=O)(=O)N[C@@H](C(=O)O)c2ccccc2)cc1
CHEMBL298650,85690.0,=,IC50,4.07,86678,Cc1oc2cc(O)ccc2c(=O)c1Cc1ccc(O)cc1
CHEMBL266497,1850.0,=,IC50,5.73,2029,O=C1NC(=O)[C@@]2(CCOc3ccc(F)cc32)N1
CHEMBL266497,1560.0,=,IC50,5.81,2029,O=C1NC(=O)[C@@]2(CCOc3ccc(F)cc32)N1
CHEMBL34665,7900.0,=,IC50,5.1,53531,Nc1ccc(S(=O)(=O)Nc2ccccc2C(=O)O)cc1
CHEMBL56650,2500.0,=,IC50,5.6,86648,O=c1cc(Cc2ccc(O)cc2)oc2cc(O)ccc12
CHEMBL56650,16780.0,=,IC50,4.78,86648,O=c1cc(Cc2ccc(O)cc2)oc2cc(O)ccc12
CHEMBL37733,26000.0,=,IC50,4.58,53439,O=C(O)CN(c1ccccc1)S(=O)(=O)c1ccc(F)cc1
CHEMBL1907773,8600.0,=,IC50,5.07,1248324,O=C(O)[C@@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)c1ccccc1
CHEMBL417691,14000.0,=,IC50,4.85,54080,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccccc2)cc1
CHEMBL298539,60490.0,=,IC50,4.22,85759,O=c1c(Cc2ccc(O)cc2)coc2cc(O)ccc12
CHEMBL1907951,7100.0,=,IC50,5.15,1248502,O=C(O)[C@@H](NS(=O)(=O)c1ccc(Cl)cc1)c1ccccc1
CHEMBL276915,14650.0,=,IC50,4.83,17982,O=c1cc(-c2ccccc2)oc2cc(O)ccc12
CHEMBL276915,45210.0,=,IC50,4.34,17982,O=c1cc(-c2ccccc2)oc2cc(O)ccc12
CHEMBL56730,3870.0,=,IC50,5.41,85527,O=c1cc(-c2ccccc2)oc2cc(O)c([N+](=O)[O-])cc12
CHEMBL56560,41010.0,=,IC50,4.39,86646,O=c1cc(CCc2ccc(O)cc2)oc2cc(O)ccc12
CHEMBL36915,29000.0,=,IC50,4.54,53218,O=C(O)CN(c1ccccc1)S(=O)(=O)c1ccccc1
CHEMBL285227,26000.0,=,IC50,4.58,52961,Cc1ccc(N(CC(=O)O)S(=O)(=O)c2ccccc2)cc1
