chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL263746,5.0,=,IC50,8.3,680294,O=C(O)C1=CS[C@@H]2/C(=C\c3cnc4n3CCOC4)C(=O)N12
CHEMBL331090,6.0,=,IC50,8.22,680923,O=C(O)C1=CS[C@@H]2/C(=C\c3cnc4n3CCNC4)C(=O)N12
CHEMBL124416,2.0,=,IC50,8.7,679585,O=C(O)C1=CS[C@@H]2/C(=C\c3cc4n(n3)CCC4)C(=O)N12
CHEMBL404,84000.0,=,IC50,4.08,207,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
CHEMBL122450,2.0,=,IC50,8.7,679565,O=C(O)C1=CS[C@@H]2/C(=C\c3cn4c5c(sc4n3)CCC5)C(=O)N12
CHEMBL289979,261.5,=,IC50,6.58,680588,NC(=O)/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL289979,22.0,=,IC50,7.66,680588,NC(=O)/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL606647,25000.0,=,IC50,4.6,609404,COC1=CC2CC(=O)N(C2)C1C(=O)OCc1ccc([N+](=O)[O-])cc1
CHEMBL1439,53200.0,=,IC50,4.27,207,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
CHEMBL25644,100.0,=,IC50,7.0,32916,CC1(C)S[C@@H]2[C@H](CS)C(=O)N2[C@H]1C(=O)O
CHEMBL24275,7900.0,=,IC50,5.1,32986,CC1(C)S[C@@H]2[C@@H](S)C(=O)N2[C@H]1C(=O)O
CHEMBL44754,390.0,=,IC50,6.41,678984,NNC(=O)/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL44754,1100.0,=,IC50,5.96,678984,NNC(=O)/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL289526,18520.0,=,IC50,4.73,680586,O=C(O)C1=CCS(=O)(=O)[C@@H]2/C(=C\c3ccccn3)C(=O)N12
CHEMBL289526,116.0,=,IC50,6.94,680586,O=C(O)C1=CCS(=O)(=O)[C@@H]2/C(=C\c3ccccn3)C(=O)N12
CHEMBL295625,1820.0,=,IC50,5.74,680632,O=C(O)C1=C(Cl)CS(=O)(=O)[C@@H]2/C(=C\c3ccccn3)C(=O)N12
CHEMBL295625,3.0,=,IC50,8.52,680632,O=C(O)C1=C(Cl)CS(=O)(=O)[C@@H]2/C(=C\c3ccccn3)C(=O)N12
CHEMBL24878,10000.0,=,IC50,5.0,33037,CC1(C)[C@H](C(=O)O)N2C(=O)[C@H](CO)[C@H]2S1(=O)=O
CHEMBL44588,4200.0,=,IC50,5.38,678982,O=C(O)CNC(=O)/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL44588,310.0,=,IC50,6.51,678982,O=C(O)CNC(=O)/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL297805,7.6,=,IC50,8.12,680648,CS(=O)(=O)C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL297805,90.7,=,IC50,7.04,680648,CS(=O)(=O)C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL277857,96200.0,=,IC50,4.02,33120,CC1(C)S[C@@H]2[C@@H](CO)C(=O)N2[C@H]1C(=O)O
CHEMBL26275,1400.0,=,IC50,5.85,32985,CC1(C)[C@H](C(=O)O)N2C(=O)[C@H](S)[C@H]2S1(=O)=O
CHEMBL404,250.0,=,IC50,6.6,207,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
CHEMBL297253,4280.0,=,IC50,5.37,680644,O=C(/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1)Nc1c(F)c(F)c(F)c(F)c1F
CHEMBL297253,127.0,=,IC50,6.9,680644,O=C(/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1)Nc1c(F)c(F)c(F)c(F)c1F
CHEMBL416447,53.0,=,IC50,7.28,681527,CN1CCN(C(=O)/C=C/C2=C(C(=O)O)N3C(=O)/C(=C/c4ccccn4)[C@H]3S(=O)(=O)C2)CC1
CHEMBL416447,6340.0,=,IC50,5.2,681527,CN1CCN(C(=O)/C=C/C2=C(C(=O)O)N3C(=O)/C(=C/c4ccccn4)[C@H]3S(=O)(=O)C2)CC1
CHEMBL46958,10440.0,=,IC50,4.98,678998,O=C(O)C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL46958,32.0,=,IC50,7.5,678998,O=C(O)C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL43955,240.0,=,IC50,6.62,678977,O=C(/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1)NC1CC1
CHEMBL43955,824.0,=,IC50,6.08,678977,O=C(/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1)NC1CC1
CHEMBL295322,9.4,=,IC50,8.03,680630,O=C(O)C1=C(S(=O)(=O)c2ccccc2)CS(=O)(=O)[C@@H]2/C(=C\c3ccccn3)C(=O)N12
CHEMBL295322,174.0,=,IC50,6.76,680630,O=C(O)C1=C(S(=O)(=O)c2ccccc2)CS(=O)(=O)[C@@H]2/C(=C\c3ccccn3)C(=O)N12
CHEMBL297671,1065.0,=,IC50,5.97,680647,CSC1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL297671,59.0,=,IC50,7.23,680647,CSC1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL296738,9140.0,=,IC50,5.04,680640,O=C(O)C1=C(c2ccccc2)CS(=O)(=O)[C@@H]2/C(=C\c3ccccn3)C(=O)N12
CHEMBL296738,38.0,=,IC50,7.42,680640,O=C(O)C1=C(c2ccccc2)CS(=O)(=O)[C@@H]2/C(=C\c3ccccn3)C(=O)N12
CHEMBL44813,78.0,=,IC50,7.11,678985,O=C(/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1)NCC(F)(F)F
CHEMBL44813,1180.0,=,IC50,5.93,678985,O=C(/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1)NCC(F)(F)F
CHEMBL277225,3750.0,=,IC50,5.43,33220,CC1(C)S[C@@H]2[C@@H](CS)C(=O)N2[C@H]1C(=O)O
CHEMBL24235,7500.0,=,IC50,5.12,33219,CC1(C)[C@H](C(=O)O)N2C(=O)[C@H](CS)[C@H]2S1(=O)=O
CHEMBL47198,70.1,=,IC50,7.15,679000,O=C(/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1)NCCO
CHEMBL47198,212.0,=,IC50,6.67,679000,O=C(/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1)NCCO
CHEMBL290072,1400.0,=,IC50,5.85,680589,O=C(/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1)NCc1ccccc1
CHEMBL290072,110.0,=,IC50,6.96,680589,O=C(/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1)NCc1ccccc1
CHEMBL44274,1590.0,=,IC50,5.8,678978,NCCCNC(=O)/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL44274,4200.0,=,IC50,5.38,678978,NCCCNC(=O)/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1
CHEMBL25766,10500.0,=,IC50,4.98,32949,CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](CS)[C@H]2S1(=O)=O
CHEMBL84953,100000.0,=,IC50,4.0,133297,CC[C@@H]1C(=O)N2C[C@@H]1CC(OC)=C2C(=O)O
CHEMBL415918,7690.0,=,IC50,5.11,681515,O=C(/C=C/C1=C(C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1)NO
