chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL331650,30.0,=,Ki,7.52,199861,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccccc1C
CHEMBL121432,38.0,=,Ki,7.42,199344,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1cccc(C)c1
CHEMBL274029,0.5,=,IC50,9.3,21781,COc1ccc2c(C)c(C)c(=O)oc2c1
CHEMBL415992,7.0,=,IC50,8.15,21067,Cc1c(C)c2ccc(OCc3ccc(C(C)C)cc3)cc2oc1=O
CHEMBL18042,2.0,=,IC50,8.7,20399,Cc1c(C)c2ccc(OCc3ccc(C(F)(F)F)cc3)cc2oc1=O
CHEMBL18832,15.0,=,IC50,7.82,21784,Cc1nnc(COc2ccc3c(C)c(C)c(=O)oc3c2)o1
CHEMBL278508,4000.0,=,IC50,5.4,21810,Cc1c(C)c2ccc(OS(=O)(=O)c3ccc(Cl)cc3)cc2oc1=O
CHEMBL18503,2200.0,=,IC50,5.66,21829,CCCCCS(=O)(=O)Oc1ccc2c(C)c(C)c(=O)oc2c1
CHEMBL276076,0.4,=,IC50,9.4,20358,Cc1c(C)c2ccc(OCc3ccc(F)cc3)cc2oc1=O
CHEMBL18153,9.0,=,IC50,8.05,20398,Cc1c(C)c2ccc(OCc3ccccn3)cc2oc1=O
CHEMBL274513,0.8,=,IC50,9.1,21864,Cc1c(C)c2ccc(OCc3cc(C4CC4)on3)cc2oc1=O
CHEMBL19004,0.9,=,IC50,9.05,21785,Cc1c(C)c2ccc(OCc3nnc(C(C)C)s3)cc2oc1=O
CHEMBL18966,0.9,=,IC50,9.05,21782,Cc1ccc(COc2ccc3c(C)c(C)c(=O)oc3c2)cc1
CHEMBL279390,22.0,=,IC50,7.66,21860,NCCNC(=O)c1ccc(Cl)cn1
CHEMBL18425,10000.0,=,IC50,5.0,21865,Cc1c(C)c2ccc(OC(C)c3ccc(C(C)C)cc3)cc2oc1=O
CHEMBL274030,0.6,=,IC50,9.22,21783,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O
CHEMBL18978,1100.0,=,IC50,5.96,21811,Cc1c(C)c2ccc(OS(=O)(=O)c3ccccc3)cc2oc1=O
CHEMBL18327,1.3,=,IC50,8.89,20356,Cc1c(C)c2ccc(OCc3nc(C(C)C)no3)cc2oc1=O
CHEMBL18504,5000.0,=,IC50,5.3,21830,CCS(=O)(=O)Oc1ccc2c(C)c(C)c(=O)oc2c1
CHEMBL18317,1.4,=,IC50,8.85,20933,Cc1c(C)c2ccc(OCc3csc(C(C)C)n3)cc2oc1=O
CHEMBL543649,19000.0,=,IC50,4.72,666369,C#CCN(C)C(C)C
CHEMBL538279,1400.0,=,IC50,5.85,663166,C#CCN(C)CCCC
CHEMBL545521,2000.0,=,IC50,5.7,667971,C#CCN(C)CCCCCCC
CHEMBL543413,180.0,=,IC50,6.75,666161,C#CCN(C)C(CC)CC
CHEMBL545755,1400.0,=,IC50,5.85,668173,C#CCN(C)C(C)CC
CHEMBL545754,180.0,=,IC50,6.75,668172,C#CCN(C)C(C)CCC
CHEMBL541325,210.0,=,IC50,6.68,664602,C#CCN(C)C(C)CCCCC
CHEMBL542465,39.0,=,IC50,7.41,665327,C#CCN(C)C(C)CCCCCCCCCC
CHEMBL972,52.0,=,IC50,7.28,96021,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL273540,370.0,=,IC50,6.43,656890,C#CCN(C)CCCCC
CHEMBL542711,180.0,=,IC50,6.75,665543,C#CCN(C)C(C)CCCCCCCC
CHEMBL541079,82.0,=,IC50,7.09,664490,C#CCN(C)C(C)CCCC
CHEMBL350093,18.0,=,IC50,7.75,270729,N#CCCN1CC(=O)OC(c2ccc(OCc3ccccc3)cc2)=N1
CHEMBL161907,9.0,=,IC50,8.05,272155,O=c1c(=O)c2ccc(OCCCC(F)(F)F)cc2c1=O
CHEMBL17079,4.4,=,IC50,8.36,17971,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S
CHEMBL127182,710.0,=,IC50,6.15,210020,O=C1c2ccccc2-c2nnc(-c3cc(Cl)cc(Cl)c3)cc21
CHEMBL129270,100000.0,=,IC50,4.0,209591,O=C(O)CCc1cc2c(nn1)-c1ccccc1C2=O
CHEMBL125520,1310.0,=,IC50,5.88,209310,COc1ccc2c(c1)C(=O)c1cc(-c3cccc(C(F)(F)F)c3)nnc1-2
CHEMBL160347,23400.0,=,IC50,4.63,262325,COc1cc(Br)c2oc(C3CCNCC3)cc2c1
CHEMBL347197,77600.0,=,IC50,4.11,262159,CC/N=C1/CCc2c1n(C)c1ccccc21
CHEMBL434261,2.0,=,IC50,8.7,240020,N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1
CHEMBL126027,7700.0,=,IC50,5.11,209437,O=C(c1ccccc1)c1c(-c2ccccc2)nnc2c1C(=O)c1ccccc1-2
CHEMBL127567,50000.0,=,IC50,4.3,208793,O=C1c2ccccc2-c2nnc3c(c21)-c1ccccc1CC3
CHEMBL340028,50000.0,=,IC50,4.3,209357,O=C1c2ccccc2-c2nncc(Cc3ccccc3)c21
CHEMBL339107,100000.0,=,IC50,4.0,208829,O=C1c2ccccc2-c2nnc3c(c21)CCCC3
CHEMBL419614,5300.0,=,IC50,5.28,209409,CCOC(=O)c1c(-c2ccccc2)nnc2c1C(=O)c1ccccc1-2
CHEMBL124461,10000.0,=,IC50,5.0,207284,O=C1c2ccccc2-c2nnc(-c3ccccc3C(F)(F)F)cc21
CHEMBL17092,2.2,=,IC50,8.66,18144,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O
CHEMBL339739,1000.0,=,IC50,6.0,209528,O=C1c2ccccc2-c2nnc(-c3cccs3)cc21
CHEMBL16530,8.0,=,IC50,8.1,18074,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=O
CHEMBL348961,0.014,=,IC50,10.85,271474,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O
CHEMBL126799,83500.0,=,IC50,4.08,209536,Cc1nnc2c(c1Cc1ccccc1)C(=O)c1ccccc1-2
CHEMBL339535,1000.0,=,IC50,6.0,209648,O=C1c2ccccc2-c2nnc(-c3ccc(N4CCCCC4)cc3)cc21
CHEMBL16623,16.0,=,IC50,7.8,17959,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=S
CHEMBL127347,10000.0,=,IC50,5.0,209650,CCCCOc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1
CHEMBL339470,5100.0,=,IC50,5.29,209309,O=C1c2cc(O)ccc2-c2nnc(-c3cccc(C(F)(F)F)c3)cc21
