chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL371694,900.0,=,IC50,6.05,335096,CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1
CHEMBL200259,1585.0,=,IC50,5.8,335276,OCc1cccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)c1
CHEMBL68215,339.0,=,IC50,6.47,109422,Oc1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1
CHEMBL200863,13.0,=,IC50,7.89,334900,CC(C)(CNC(=O)Nc1ccc(Cl)cc1)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1
CHEMBL381447,14.0,=,IC50,7.85,335022,CC(C)(CNS(C)(=O)=O)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1
CHEMBL426476,40.0,=,IC50,7.4,335021,CN(C)CCCNC(=O)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1
CHEMBL200889,6.0,=,IC50,8.22,335014,CC(C)(CN)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1
CHEMBL200320,8.0,=,IC50,8.1,335003,NCc1ccc(-c2nc(-c3ccc(Cl)c(O)c3)c(-c3ccncc3)[nH]2)cc1
CHEMBL200118,33.0,=,IC50,7.48,334992,Oc1cc(-c2[nH]cnc2-c2ccncc2)ccc1Cl
CHEMBL371952,13.0,=,IC50,7.89,334991,Oc1cc(-c2[nH]c(-c3ccco3)nc2-c2ccncc2)ccc1Cl
CHEMBL381250,6.0,=,IC50,8.22,335034,Oc1cc(-c2[nH]c(-c3cccnc3)nc2-c2ccncc2)ccc1Cl
CHEMBL200172,12.0,=,IC50,7.92,335150,CC(C)(C)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1
CHEMBL200164,17.0,=,Kd,7.77,335158,O/N=C1/CCCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21
CHEMBL372543,1.3,=,Kd,8.89,335157,O/N=C1/CCc2cc(-c3[nH]c(-c4ccccc4)nc3-c3ccncc3)ccc21
CHEMBL200431,53.0,=,Kd,7.28,335241,N/C(=N\O)c1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1
CHEMBL200637,11.0,=,Kd,7.96,335192,C/C(=N\O)c1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1
CHEMBL200412,6.0,=,Kd,8.22,335191,O/N=C/c1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1Cl
CHEMBL200942,27.0,=,Kd,7.57,335185,O/N=C/c1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1O
CHEMBL200783,5.0,=,Kd,8.3,335282,O/N=C/c1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1
CHEMBL435744,132.0,=,Kd,6.88,335281,OCc1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1Cl
CHEMBL427196,22.0,=,Kd,7.66,335277,OCc1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1O
CHEMBL200226,71.0,=,Kd,7.15,335124,OCc1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1
CHEMBL68215,316.0,=,Kd,6.5,109422,Oc1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1
CHEMBL304624,8.0,=,Kd,8.1,109246,Oc1cccc(-c2nc(-c3ccccc3)[nH]c2-c2ccncc2)c1
CHEMBL200258,5.7,=,Kd,8.24,335275,Nc1nccc(-c2[nH]c(-c3ccccc3)nc2-c2ccc(Cl)c(O)c2)n1
CHEMBL381421,87.0,=,Kd,7.06,335274,Oc1cc(-c2[nH]c(-c3ccccc3)nc2-c2ccnnc2)ccc1Cl
CHEMBL370353,14.0,=,Kd,7.85,334978,Oc1cc(-c2[nH]c(-c3ccccc3)nc2-c2ccncn2)ccc1Cl
CHEMBL200863,21.0,=,Kd,7.68,334900,CC(C)(CNC(=O)Nc1ccc(Cl)cc1)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1
CHEMBL381447,10.0,=,Kd,8.0,335022,CC(C)(CNS(C)(=O)=O)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1
CHEMBL426476,24.0,=,Kd,7.62,335021,CN(C)CCCNC(=O)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1
CHEMBL200889,4.8,=,Kd,8.32,335014,CC(C)(CN)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1
CHEMBL200320,5.3,=,Kd,8.28,335003,NCc1ccc(-c2nc(-c3ccc(Cl)c(O)c3)c(-c3ccncc3)[nH]2)cc1
CHEMBL200118,39.0,=,Kd,7.41,334992,Oc1cc(-c2[nH]cnc2-c2ccncc2)ccc1Cl
CHEMBL371952,4.2,=,Kd,8.38,334991,Oc1cc(-c2[nH]c(-c3ccco3)nc2-c2ccncc2)ccc1Cl
CHEMBL200172,2.0,=,Kd,8.7,335150,CC(C)(C)c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1
CHEMBL200114,3600.0,=,IC50,5.44,335715,COc1cc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1OC
CHEMBL1336,46.0,=,IC50,7.34,276734,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CHEMBL274738,99000.0,=,IC50,4.0,335795,CC(=O)Nc1cccc(-c2cncc(NCc3ccc(F)c(Cl)c3)n2)c1
CHEMBL199588,33000.0,=,IC50,4.48,335746,CC(=O)Nc1cccc(-c2cncc(NCc3ccoc3)n2)c1
CHEMBL440761,8000.0,=,IC50,5.1,335739,CC(=O)Nc1cccc(-c2cncc(NCc3cccc(F)c3)n2)c1
CHEMBL198400,58000.0,=,IC50,4.24,335732,COc1ccc(OCCNc2cncc(-c3cccc(NC(C)=O)c3)n2)cc1
CHEMBL200964,65000.0,=,IC50,4.19,335694,CC(=O)Nc1cccc(-c2cncc(NCCOc3ccccc3)n2)c1
CHEMBL372149,45000.0,=,IC50,4.35,335849,CC(=O)Nc1cccc(-c2cncc(NCCc3ccccc3)n2)c1
CHEMBL199800,18000.0,=,IC50,4.75,335844,CC(=O)Nc1cccc(-c2cncc(NCc3ccccc3)n2)c1
CHEMBL382262,14000.0,=,IC50,4.85,335923,CC(=O)Nc1cccc(-c2cncc(NCc3cc(C)[nH]n3)n2)c1
CHEMBL201625,4200.0,=,IC50,5.38,335922,CC(=O)Nc1cccc(-c2cncc(NCc3cc(C)on3)n2)c1
CHEMBL201576,3800.0,=,IC50,5.42,335917,CC(=O)Nc1cccc(-c2cncc(NCc3ccc4c(c3)OCO4)n2)c1
CHEMBL370112,34000.0,=,IC50,4.47,335916,CC(=O)Nc1cccc(-c2cncc(NCc3ccc4c(c3)OCCO4)n2)c1
CHEMBL381275,20000.0,=,IC50,4.7,335786,CC(=O)Nc1cccc(-c2cncc(Nc3nc(C(C)(C)C)cs3)n2)c1
CHEMBL199948,950.0,=,IC50,6.02,335777,CC(=O)Nc1cccc(-c2cncc(Nc3cc(Cl)nc(Cl)c3)n2)c1
CHEMBL199811,740.0,=,IC50,6.13,335776,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)C(=O)OC4)n2)c1
CHEMBL200075,37000.0,=,IC50,4.43,335725,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OC(F)(F)O4)n2)c1
CHEMBL373242,39000.0,=,IC50,4.41,335724,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OC(F)(F)C(F)(F)O4)n2)c1
CHEMBL199281,4500.0,=,IC50,5.35,335719,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCCCO4)n2)c1
CHEMBL199833,5400.0,=,IC50,5.27,335883,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCCO4)n2)c1
CHEMBL371958,10000.0,=,IC50,5.0,335634,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCO4)n2)c1
CHEMBL383374,10000.0,=,IC50,5.0,335605,CC(=O)Nc1cccc(-c2cncc(Nc3ccc(N4CCOCC4)cc3)n2)c1
CHEMBL200080,8800.0,=,IC50,5.06,335604,CC(=O)Nc1cccc(-c2cncc(Nc3ccc(S(=O)(=O)N4CCOCC4)cc3)n2)c1
CHEMBL198244,790.0,=,IC50,6.1,335650,CC(=O)Nc1cccc(-c2cncc(Nc3cccc(-c4cnco4)c3)n2)c1
CHEMBL378600,84000.0,=,IC50,4.08,335582,CC(=O)Nc1cccc(-c2cncc(Nc3ccc(OC(F)(F)F)cc3)n2)c1
CHEMBL199394,14000.0,=,IC50,4.85,335581,CC(=O)Nc1cccc(-c2cncc(Nc3cccc(O)c3)n2)c1
CHEMBL201322,8800.0,=,IC50,5.06,335670,CC(=O)Nc1cccc(-c2cncc(Nc3cccc(Cl)c3)n2)c1
CHEMBL201272,21000.0,=,IC50,4.68,335669,COc1ccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)c(OC)c1
CHEMBL203093,1300.0,=,IC50,5.89,335663,COc1ccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc1OC
CHEMBL425577,2700.0,=,IC50,5.57,335618,COc1cc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1
CHEMBL199798,26000.0,=,IC50,4.58,335607,COc1ccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc1
CHEMBL199355,3800.0,=,IC50,5.42,335606,CC(=O)Nc1cccc(-c2cncc(Nc3cccc(OCCN)c3)n2)c1
CHEMBL373006,4800.0,=,IC50,5.32,335599,COc1cccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)c1
CHEMBL201023,74000.0,=,IC50,4.13,335557,COc1ccccc1Nc1cncc(-c2cccc(NC(C)=O)c2)n1
CHEMBL425576,7900.0,=,IC50,5.1,335716,CC(=O)Nc1cccc(-c2cncc(Nc3ccccc3)n2)c1
CHEMBL1336,6100.0,=,IC50,5.21,276734,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CHEMBL274738,27000.0,=,IC50,4.57,335795,CC(=O)Nc1cccc(-c2cncc(NCc3ccc(F)c(Cl)c3)n2)c1
CHEMBL199892,37000.0,=,IC50,4.43,335738,COc1cc(CNc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1OC
CHEMBL198400,38000.0,=,IC50,4.42,335732,COc1ccc(OCCNc2cncc(-c3cccc(NC(C)=O)c3)n2)cc1
CHEMBL200964,33000.0,=,IC50,4.48,335694,CC(=O)Nc1cccc(-c2cncc(NCCOc3ccccc3)n2)c1
CHEMBL200130,33000.0,=,IC50,4.48,335850,CC(=O)Nc1cccc(-c2cncc(NCCCc3ccccc3)n2)c1
CHEMBL382262,18000.0,=,IC50,4.75,335923,CC(=O)Nc1cccc(-c2cncc(NCc3cc(C)[nH]n3)n2)c1
CHEMBL201625,38000.0,=,IC50,4.42,335922,CC(=O)Nc1cccc(-c2cncc(NCc3cc(C)on3)n2)c1
CHEMBL199811,490.0,=,IC50,6.31,335776,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)C(=O)OC4)n2)c1
CHEMBL199281,3300.0,=,IC50,5.48,335719,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCCCO4)n2)c1
CHEMBL199833,3000.0,=,IC50,5.52,335883,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCCO4)n2)c1
CHEMBL371958,32.0,=,IC50,7.5,335634,CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCO4)n2)c1
CHEMBL383374,2300.0,=,IC50,5.64,335605,CC(=O)Nc1cccc(-c2cncc(Nc3ccc(N4CCOCC4)cc3)n2)c1
CHEMBL200080,8300.0,=,IC50,5.08,335604,CC(=O)Nc1cccc(-c2cncc(Nc3ccc(S(=O)(=O)N4CCOCC4)cc3)n2)c1
CHEMBL198244,45000.0,=,IC50,4.35,335650,CC(=O)Nc1cccc(-c2cncc(Nc3cccc(-c4cnco4)c3)n2)c1
CHEMBL378600,5200.0,=,IC50,5.28,335582,CC(=O)Nc1cccc(-c2cncc(Nc3ccc(OC(F)(F)F)cc3)n2)c1
CHEMBL201322,1400.0,=,IC50,5.85,335670,CC(=O)Nc1cccc(-c2cncc(Nc3cccc(Cl)c3)n2)c1
CHEMBL201272,8800.0,=,IC50,5.06,335669,COc1ccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)c(OC)c1
CHEMBL203093,6400.0,=,IC50,5.19,335663,COc1ccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc1OC
CHEMBL425577,3000.0,=,IC50,5.52,335618,COc1cc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1
CHEMBL199355,5200.0,=,IC50,5.28,335606,CC(=O)Nc1cccc(-c2cncc(Nc3cccc(OCCN)c3)n2)c1
CHEMBL373006,4000.0,=,IC50,5.4,335599,COc1cccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)c1
CHEMBL199805,49600.0,=,IC50,4.3,335750,CC(=O)Nc1cccc(-c2cncc(NN(C)c3ccccc3)n2)c1
CHEMBL425576,12000.0,=,IC50,4.92,335716,CC(=O)Nc1cccc(-c2cncc(Nc3ccccc3)n2)c1
CHEMBL248051,34.0,=,IC50,7.47,414434,NC(=O)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1
CHEMBL247250,69.0,=,IC50,7.16,414493,CNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1
CHEMBL247798,122.0,=,IC50,6.91,414489,CCNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1
CHEMBL247797,154.0,=,IC50,6.81,414488,CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc(SC(F)(F)F)cc3)cnn2C)cn1
CHEMBL247619,191.0,=,IC50,6.72,414487,CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc4c(c3)OC(F)(F)C(F)(F)O4)cnn2C)cn1
CHEMBL247618,61.0,=,IC50,7.21,414486,CNC(=O)c1cc(CNc2ccsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1
CHEMBL247435,199.0,=,IC50,6.7,414483,CNC(=O)c1cc(CNc2c(C(=O)Nc3ccc4c(c3)OC(F)(F)O4)cnn2C)ccn1
