chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL544127,9.0,=,IC50,8.05,666774,CC(C)CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O
CHEMBL148167,1.0,=,Ki,9.0,242334,NS(=O)(=O)c1ccc(NC(S)=NC(Cc2c[nH]cn2)C(=O)NCC(=O)O)cc1
CHEMBL358290,42.0,=,Ki,7.38,242555,NS(=O)(=O)c1ccc(N/C(S)=N\CCc2ccccc2)cc1
CHEMBL148426,33.0,=,Ki,7.48,242554,NS(=O)(=O)c1ccc(N/C(S)=N\CCc2c[nH]cn2)cc1
CHEMBL144766,13.0,=,Ki,7.89,242082,NS(=O)(=O)c1ccc(N/C(S)=N\c2ccccc2C(=O)O)cc1
CHEMBL356059,10.0,=,Ki,8.0,241861,NS(=O)(=O)c1ccc(N/C(S)=N/C(CCC(=O)O)C(=O)O)cc1
CHEMBL144970,11.0,=,Ki,7.96,241509,NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2c[nH]c3ccccc23)C(=O)O)cc1
CHEMBL144186,4.0,=,Ki,8.4,241116,CC(O)C(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)O
CHEMBL340519,2.0,=,IC50,8.7,207543,COc1ccc(C(=O)c2coc(S(N)(=O)=O)c2)cc1
CHEMBL2370954,3.0,=,Ki,8.52,1545405,NS(=O)(=O)c1ccc(NC(=S)N2CCC[C@H]2C(=O)NCC(=O)NCC(=O)O)cc1
CHEMBL344132,5.0,=,Ki,8.3,241631,NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2ccc(O)cc2)C(=O)O)cc1
CHEMBL541089,6.4,=,IC50,8.19,664498,CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O
CHEMBL541089,34.4,=,Ki,7.46,664498,CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O
CHEMBL144667,45.0,=,Ki,7.35,241943,NS(=O)(=O)c1ccc(N/C(S)=N\Cc2ccccn2)cc1
CHEMBL344316,18.0,=,Ki,7.75,241892,NS(=O)(=O)c1ccc(N/C(S)=N\c2cccc(C(=O)O)c2)cc1
CHEMBL148387,4.0,=,Ki,8.4,242258,CC(/N=C(/S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)NC(Cc1ccccc1)C(=O)O
CHEMBL555153,7.6,=,IC50,8.12,669633,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(CN3CCOCC3)cc2)cs1
CHEMBL555153,1.43,=,Ki,8.85,669633,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(CN3CCOCC3)cc2)cs1
CHEMBL539817,5.0,=,IC50,8.3,663908,CC(C)CN(C)Cc1cc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)ccc1O
CHEMBL147726,8.0,=,Ki,8.1,242372,NS(=O)(=O)c1ccc(N/C(S)=N/C(CC(=O)O)C(=O)O)cc1
CHEMBL544355,9.0,=,IC50,8.05,666968,CC(C)CCNCc1cccc(C(=O)c2csc(S(N)(=O)=O)c2)c1
CHEMBL554875,11.0,=,IC50,7.96,669517,CN1CCN(Cc2ccc(S(=O)(=O)c3csc(S(N)(=O)=O)c3)cc2)CC1
CHEMBL559014,23.0,=,IC50,7.64,670972,CN1CCN(Cc2ccccc2S(=O)(=O)c2csc(S(N)(=O)=O)c2)CC1
CHEMBL553909,7.0,=,IC50,8.15,669077,CN(C)Cc1cc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)ccc1O
CHEMBL553909,2.34,=,Ki,8.63,669077,CN(C)Cc1cc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)ccc1O
CHEMBL553909,4.9,=,Ki,8.31,669077,CN(C)Cc1cc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)ccc1O
CHEMBL148069,3.0,=,Ki,8.52,241425,NS(=O)(=O)c1ccc(N/C(S)=N/C(CO)C(=O)O)cc1
CHEMBL144537,25.0,=,Ki,7.6,241262,NS(=O)(=O)c1ccc(NC(=S)N2CCCC2C(=O)O)cc1
CHEMBL545057,9.0,=,IC50,8.05,667568,CCN(CC)Cc1cc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)ccc1O
CHEMBL123923,4.2,=,IC50,8.38,207174,Cc1ccc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)cc1
CHEMBL421940,11.0,=,Ki,7.96,241529,NS(=O)(=O)c1ccc(N/C(S)=N\CCC(=O)O)cc1
CHEMBL544827,4.8,=,IC50,8.32,667374,CC(C)CNCc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1
CHEMBL540329,4.5,=,IC50,8.35,664138,CNCc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1
CHEMBL541087,12.0,=,IC50,7.92,664496,CCCCNCc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1
CHEMBL342088,15.0,=,Ki,7.82,241254,NS(=O)(=O)c1ccc(N/C(S)=N/CC(=O)NCC(=O)O)cc1
CHEMBL144786,5.0,=,Ki,8.3,241649,CC(C)CC(/N=C(\S)Nc1ccc(S(N)(=O)=O)cc1)C(=O)NCC(=O)O
CHEMBL127817,2.1,=,IC50,8.68,207678,NS(=O)(=O)c1cc(S(=O)(=O)c2cccc(O)c2)cs1
CHEMBL145256,16.0,=,Ki,7.8,241993,NS(=O)(=O)c1ccc(N/C(S)=N\c2ccc(C(=O)O)cc2)cc1
CHEMBL541341,4.0,=,IC50,8.4,664617,CN1CCN(Cc2ccc(C(=O)c3csc(S(N)(=O)=O)c3)cc2)CC1
CHEMBL555312,14.0,=,IC50,7.85,669715,CC(C)CNCc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1O
