chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL92017,86000.0,=,IC50,4.07,151461,O=C1C[C@H](NC(=O)[C@@H]2CS[C@H]3CC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1
CHEMBL430648,1.2,=,IC50,8.92,165007,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]1CC(=O)OC1O)C(C)C
CHEMBL2370217,15000.0,=,IC50,4.82,1544668,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O)C(C)C
CHEMBL318016,14000.0,=,IC50,4.85,151539,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O
CHEMBL92930,53000.0,=,IC50,4.28,151540,O=C(CN1CCCC[C@H](NC(=O)OCc2ccccc2)C1=O)N[C@H]1CC(=O)OC1O
CHEMBL328015,47000.0,=,IC50,4.33,151368,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL2370213,74.0,=,IC50,7.13,1544664,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O)C(C)C
CHEMBL420619,3490.0,=,IC50,5.46,151494,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O
CHEMBL285638,438.0,=,IC50,6.36,51084,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H](CC=O)CC(=O)O)C(C)C
CHEMBL117572,2800.0,=,Ki,5.55,191328,O=C[C@@H](NC(=O)CCCCCNS(=O)(=O)c1ccc(O)c(C(=O)O)c1)C(=O)O
CHEMBL90224,13.0,=,IC50,7.89,147241,CC(C)C[C@H](NC(=O)CNc1cccc2ccccc12)C(=O)N[C@H](C=O)CC(=O)O
CHEMBL117075,20.0,=,Ki,7.7,191480,O=C[C@@H](NC(=O)c1cnc(CNS(=O)(=O)c2ccc(O)c(C(=O)O)c2)nc1)C(=O)O
CHEMBL90307,10.0,=,IC50,8.0,147218,CC(C)C[C@H](NC(=O)C(=O)Nc1cccc2ccccc12)C(=O)N[C@H](C=O)CC(=O)O
CHEMBL330535,135.0,=,IC50,6.87,146321,CC(C)C[C@H](NC(=O)COc1cccc2ccccc12)C(=O)N[C@H](C=O)CC(=O)O
CHEMBL100643,21.0,=,IC50,7.68,165033,CC(C)CC(NC(=O)[C@@H](CCC(=O)O)Oc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL3142757,512.0,=,IC50,6.29,1632048,CC(C)C[C@H](NC(=O)C(C)Nc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL328155,731.0,=,IC50,6.14,165434,CC(C)C(NC(=O)COc1cc2ccccc2cc1C(=O)O)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL323322,1550.0,=,IC50,5.81,165439,CC(C)C(NC(=O)CNc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL100559,207.0,=,IC50,6.68,165244,CC(C)C(NC(=O)COc1cccc2c(NS(=O)(=O)C(F)(F)F)cccc12)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL317246,4400.0,=,IC50,5.36,165134,CC(C)C(NC(=O)CCOc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL323570,355.0,=,IC50,6.45,165198,CC(C)C(NC(=O)COc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL327298,401.0,=,IC50,6.4,165190,CC(C)C(NC(=O)COc1ccc2ccccc2c1C(=O)O)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL100591,1920.0,=,IC50,5.72,165432,CC(C)C(NC(=O)COc1cc2ccccc2cc1NS(=O)(=O)C(F)(F)F)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL101182,230.0,=,IC50,6.64,165154,CC(C)CC(NC(=O)CNc1cccc(Oc2ccccc2)c1)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL101145,54.0,=,IC50,7.27,165457,CC(C)C(NC(=O)COc1c(C(=O)O)ccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL322631,13.0,=,IC50,7.89,165812,CC(C)CC(NC(=O)CNc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL101545,3.8,=,IC50,8.42,165031,CC(C)CC(NC(=O)[C@H](CCC(=O)O)Oc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL101622,320.0,=,IC50,6.5,165127,CC(C)CC(NC(=O)CNCC(Cc1ccccc1)c1ccccc1)C(=O)N[C@H]1CC(=O)OC1O
CHEMBL430648,3.5,=,IC50,8.46,165007,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]1CC(=O)OC1O)C(C)C
CHEMBL420366,340.0,=,IC50,6.47,106160,O=C(O)C[C@H](NC(=O)c1cncc(S(=O)(=O)NCc2ccccc2)c1)C(=O)CSCc1ccc(F)cc1
CHEMBL331403,100.0,=,Ki,7.0,198887,O=C[C@H](CC(=O)O)NC(=O)C(CCCCNS(=O)(=O)c1ccc(O)c(C(=O)O)c1)c1ccccc1
CHEMBL65994,620.0,=,IC50,6.21,106506,CCN(CC)C(=O)c1cncc(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc2ccc(F)cc2)c1
CHEMBL121564,200.0,=,Ki,6.7,200446,O=C[C@H](CC(=O)O)NC(=O)C(CCCCNS(=O)(=O)c1ccc(O)c(C(=O)O)c1)c1cccc(F)c1
CHEMBL121798,5800.0,=,Ki,5.24,198856,O=C[C@H](CC(=O)O)NC(=O)C(CCCCNS(=O)(=O)c1ccccc1)c1ccccc1
CHEMBL123890,1400.0,=,Ki,5.85,200341,O=C[C@H](CC(=O)O)NC(=O)C(CCCCNS(=O)(=O)c1cccc(-c2nn[nH]n2)c1)c1ccccc1
CHEMBL293622,500.0,=,Ki,6.3,97412,CN1C(=O)C(=O)c2cc([N+](=O)[O-])ccc21
CHEMBL293622,1000.0,=,IC50,6.0,97412,CN1C(=O)C(=O)c2cc([N+](=O)[O-])ccc21
CHEMBL60306,130.0,=,Ki,6.89,97383,O=C1C(=O)N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc21
CHEMBL60306,250.0,=,IC50,6.6,97383,O=C1C(=O)N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc21
CHEMBL122827,200.0,=,Ki,6.7,200209,Cc1ccccc1C(CCCCNS(=O)(=O)c1ccc(O)c(C(=O)O)c1)C(=O)N[C@H](C=O)CC(=O)O
CHEMBL64584,600.0,=,IC50,6.22,97001,CN1C(=O)C(=O)c2cc(C#N)ccc21
