chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL101052,36000.0,=,IC50,4.44,164589,COc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1
CHEMBL84944,30.0,=,IC50,7.52,134853,CC(C)C(CO)Nc1nc(NCc2cccc(O)c2)c2ncn(C(C)C)c2n1
CHEMBL419720,200.0,=,IC50,6.7,164270,CN(C)CC(O)COc1ccc(Nc2ncc(Br)c(N(CCCC(F)(F)F)c3ccccc3)n2)cc1
CHEMBL86066,8000.0,=,IC50,5.1,133823,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc21
CHEMBL100675,22000.0,=,IC50,4.66,163292,Cc1ccc(Cl)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1
CHEMBL99689,4000.0,=,IC50,5.4,164691,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3C#N)n2)cc1
CHEMBL328623,81000.0,=,IC50,4.09,163293,Cc1ccc(F)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1
CHEMBL260163,5.0,=,IC50,8.3,429566,O=C(Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12)C1CC1
CHEMBL315837,900.0,=,IC50,6.05,134677,CC(C)n1cnc2c(NC3CCCC3)nc(NCCCO)nc21
CHEMBL83980,800.0,=,IC50,6.1,134928,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCCO)nc21
CHEMBL101156,3000.0,=,IC50,5.52,164181,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCC#N)c3cc(Cl)ccc3Cl)n2)cc1
CHEMBL101473,8000.0,=,IC50,5.1,164520,Cc1cnc(Nc2ccc(OCC(O)CN(C)C)cc2)nc1Nc1ccccc1
CHEMBL99687,26000.0,=,IC50,4.58,164141,Cc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1
CHEMBL84140,2400.0,=,IC50,5.62,134055,CC(C)n1cnc2c(N)nc(NCCCO)nc21
CHEMBL101887,12000.0,=,IC50,4.92,164571,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCCC(F)(F)F)c3cc(Cl)ccc3Cl)n2)cc1
CHEMBL259838,2.0,=,IC50,8.7,429268,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Cl)c3)ccc12)C1CC1
CHEMBL322640,22000.0,=,IC50,4.66,163851,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(Cl)ccc3Cl)ncn2)cc1
CHEMBL430507,700.0,=,IC50,6.16,164247,CN(C)CC(O)COc1ccc(Nc2nccc(N(CC#N)c3cc(Cl)ccc3Cl)n2)cc1
CHEMBL100391,500.0,=,IC50,6.3,164455,CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1
CHEMBL408019,62.0,=,IC50,7.21,429224,O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1
CHEMBL280074,1200.0,=,IC50,5.92,14090,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21
CHEMBL101679,6000.0,=,IC50,5.22,164744,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1
CHEMBL322019,2000.0,=,IC50,5.7,164209,C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl
CHEMBL99948,5000.0,=,IC50,5.3,164234,Cc1ccc(Cl)c(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)c1
CHEMBL84436,200.0,=,IC50,6.7,133972,CC(C)n1cnc2c(NCc3ccccc3)nc(NC[C@@H](C)O)nc21
CHEMBL101019,7000.0,=,IC50,5.16,164775,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3F)n2)cc1
CHEMBL103633,7000.0,=,IC50,5.16,164777,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3Br)n2)cc1
CHEMBL317629,5000.0,=,IC50,5.3,164062,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cccc(Cl)c3)n2)cc1
CHEMBL100664,15000.0,=,IC50,4.82,164059,COc1ccccc1Nc1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1
CHEMBL430854,18000.0,=,IC50,4.75,164103,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccc(Cl)cc3)n2)cc1
CHEMBL101468,2000.0,=,IC50,5.7,164180,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)c1
CHEMBL101810,1000.0,=,IC50,6.0,164268,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(C(F)(F)F)ccc3F)n2)cc1
CHEMBL102047,34000.0,=,IC50,4.47,164742,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3)n2)cc1
CHEMBL419534,300.0,=,IC50,6.52,164454,CN(C)CC(O)COc1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1
CHEMBL85015,4500.0,=,IC50,5.35,134024,CC(C)n1cnc2c(NCc3ccccc3)ncnc21
CHEMBL405145,13.0,=,IC50,7.89,429310,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)ccc12)C1CC1
CHEMBL270054,30.0,=,IC50,7.52,441004,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(Cl)cc32)cc1
CHEMBL442957,140.0,=,Ki,6.85,67880,Cc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1
CHEMBL47302,6500.0,=,Ki,5.19,67751,Cc1nc(C)c(-c2ccnc(N)n2)s1
CHEMBL297447,1200.0,=,Ki,5.92,67782,Cc1nc(C)c(-c2ccnc(Nc3ccccc3F)n2)s1
CHEMBL44119,110.0,=,Ki,6.96,67961,CNc1nc(C)c(-c2ccnc(Nc3cccc(O)c3)n2)s1
CHEMBL47132,300.0,=,Ki,6.52,67237,Cc1nc(C)c(-c2ccnc(Nc3cccc(C#N)c3)n2)s1
CHEMBL47636,400.0,=,Ki,6.4,67288,Cc1nc(C)c(-c2ccnc(Nc3cccc(N)c3)n2)s1
CHEMBL433068,100.0,=,Ki,7.0,66755,Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)c(Cl)c3)n2)s1
CHEMBL431336,30.0,=,Ki,7.52,67752,Cc1nc(N)sc1-c1ccnc(Nc2ccc(O)cc2)n1
CHEMBL47527,60.0,=,Ki,7.22,67256,Cc1nc(C)c(-c2ccnc(Nc3cccc(O)c3)n2)s1
CHEMBL46817,220.0,=,Ki,6.66,66757,Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)s1
CHEMBL295398,700.0,=,Ki,6.16,66797,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N(C)C)cc2)n1
CHEMBL46429,800.0,=,Ki,6.1,67826,CNc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1
CHEMBL295127,80.0,=,Ki,7.1,67978,Cc1nc(C)c(-c2ccnc(Nc3ccccc3)n2)s1
CHEMBL47590,70.0,=,Ki,7.16,67879,CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1
CHEMBL295484,20.0,=,Ki,7.7,66798,Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)c([N+](=O)[O-])c3)n2)s1
CHEMBL48109,290.0,=,Ki,6.54,67257,Cc1nc(C)c(-c2ccnc(Nc3ccc(C(F)(F)F)cc3)n2)s1
CHEMBL432116,100.0,=,Ki,7.0,67382,Cc1nc(C)c(-c2ccnc(Nc3cccc(F)c3)n2)s1
CHEMBL46401,60.0,=,Ki,7.22,67827,Cc1nc(N(C)C)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1
CHEMBL45001,2500.0,=,Ki,5.6,67428,Cc1nc(C)c(-c2ccnc(Nc3ccc(Cl)cc3)n2)s1
CHEMBL47690,4100.0,=,Ki,5.39,67289,Cc1nc(C)c(-c2ccnc(Nc3ccc([N+](=O)[O-])cc3)n2)s1
CHEMBL297412,40.0,=,Ki,7.4,67713,Cc1nc(C)c(-c2ccnc(Nc3ccc(F)cc3)n2)s1
CHEMBL47249,160.0,=,Ki,6.8,67818,C=CCNc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1
CHEMBL44712,670.0,=,Ki,6.17,67979,Cc1nc(C)c(-c2ccnc(Nc3cccc(Cl)c3)n2)s1
CHEMBL45408,110.0,=,Ki,6.96,67381,Cc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1
CHEMBL421583,3000.0,=,IC50,5.52,163835,Cc1ccc(N(CC#N)c2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c(Br)c1
CHEMBL317281,93000.0,=,IC50,4.03,164040,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccc(F)cc3F)ncn2)cc1
CHEMBL101119,1000.0,=,IC50,6.0,164034,CN(C)CC(O)COc1ccc(Nc2cc(N(CC#N)c3cc(Cl)ccc3Cl)ncn2)cc1
CHEMBL317378,5000.0,=,IC50,5.3,164033,CN(C)CC(O)COc1ccc(Nc2cc(N(CCC#N)c3cc(Cl)ccc3Cl)ncn2)cc1
CHEMBL418793,39000.0,=,IC50,4.41,164830,Cc1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1
CHEMBL101868,85000.0,=,IC50,4.07,163852,COc1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1
CHEMBL100945,19000.0,=,IC50,4.72,163894,C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl
CHEMBL100811,28000.0,=,IC50,4.55,164114,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Br)ncn2)cc1
CHEMBL101557,35000.0,=,IC50,4.46,164082,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(C(F)(F)F)ccc3F)ncn2)cc1
CHEMBL99699,24000.0,=,IC50,4.62,163883,CC(C)c1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1
CHEMBL101558,38000.0,=,IC50,4.42,164084,CN(C)CC(O)COc1ccc(Nc2cc(Nc3c(F)cccc3F)ncn2)cc1
CHEMBL99647,95000.0,=,IC50,4.02,163882,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Cl)ncn2)cc1
CHEMBL316887,25000.0,=,IC50,4.6,163834,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3[N+](=O)[O-])ncn2)cc1
CHEMBL48362,30.0,=,IC50,7.52,73969,CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccc(S(N)(=O)=O)cc2)C3=O)CC1
CHEMBL1276446,9.7,=,IC50,8.01,712413,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
CHEMBL45477,310.0,=,IC50,6.51,73337,CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccc([N+](=O)[O-])cc2)C3=O)CC1
CHEMBL1964242,5.6,=,IC50,8.25,1285533,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCc2ccccc2)cc1
CHEMBL1964246,4.7,=,IC50,8.33,1285537,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCCO)cc1
CHEMBL1964247,4.6,=,IC50,8.34,1285538,CN(C)S(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1
CHEMBL51709,1280.0,=,IC50,5.89,73929,CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccccc2)C3=O)CC1
CHEMBL1964245,5.6,=,IC50,8.25,1285536,CNS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1
CHEMBL1964244,4.3,=,IC50,8.37,1285535,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1
CHEMBL1794055,2.8,=,IC50,8.55,1157686,NS(=O)(=O)c1ccc(NC=C2C(=O)Nc3ccc4ncsc4c32)cc1
CHEMBL48614,3970.0,=,IC50,5.4,73968,CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccccc2Cl)C3=O)CC1
CHEMBL1964243,75.0,=,IC50,7.12,1285534,CC(=O)NS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1
CHEMBL58466,49.0,=,IC50,7.31,90458,O=C1Nc2cccc(C3CCNCC3)c2/C1=C/c1[nH]cc2c1CCNC2=O
CHEMBL300767,40.0,=,IC50,7.4,90673,COc1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2
CHEMBL57325,5700.0,=,IC50,5.24,90498,O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1[nH]cc2c1CCNC2=O
CHEMBL432491,12.0,=,IC50,7.92,90524,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2
CHEMBL312273,127.0,=,IC50,6.9,130328,CC(=O)NCCNc1cc(-c2ccc[nH]2)c2c3c(ccc(F)c13)NC2=O
CHEMBL60541,4.0,=,IC50,8.4,91277,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2
CHEMBL311992,12.0,=,IC50,7.92,131720,NCCOc1cc(-c2ccc[nH]2)c2c3c(ccc(F)c13)NC2=O
CHEMBL82603,376.0,=,IC50,6.42,130901,Cc1cc(-c2ccc[nH]2)c2c3c(ccc(F)c13)NC2=O
CHEMBL294884,9.0,=,IC50,8.05,90437,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCNC3=O)C(=O)N2
CHEMBL301639,88.0,=,IC50,7.06,90401,O=C1Nc2ccc(Cl)cc2/C1=C/c1[nH]cc2c1CCOC2=O
