chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL953,12.8,=,IC50,7.89,92412,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL166486,20.0,=,IC50,7.7,280358,N#CC(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL170549,620.0,=,IC50,6.21,280970,O=C(O)c1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL169033,16.0,=,IC50,7.8,281594,CC(=O)c1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL169891,30.0,=,IC50,7.52,280937,N#Cc1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL168389,18.0,=,IC50,7.75,280771,CN(C)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL1244,24.0,=,IC50,7.62,233951,O=Cc1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL167054,12.0,=,IC50,7.92,280846,CC(=O)/C(C)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL168600,5.0,=,IC50,8.3,281595,COc1cc(C(=O)/C=C/c2cc(O)c(O)c([N+](=O)[O-])c2)cc(OC)c1OC
CHEMBL169465,160.0,=,IC50,6.8,281359,N#Cc1cc(C=O)cc(O)c1O
CHEMBL169208,12000.0,=,IC50,4.92,281421,O=C(NC12CC3CC(CC(C3)C1)C2)c1ccc(O)c(O)c1Cl
CHEMBL167172,90.0,=,IC50,7.05,280713,N#Cc1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)cc(O)c1O
CHEMBL353187,6000.0,=,IC50,5.22,281335,CC(C)C(=O)c1ccc(O)c(O)c1
CHEMBL166908,2300.0,=,IC50,5.64,280361,O=Cc1cc(O)c(O)c(C(F)(F)F)c1
CHEMBL355402,180.0,=,IC50,6.75,281559,O=[N+]([O-])c1cc(CO)cc(O)c1O
CHEMBL169926,6.0,=,IC50,8.22,281629,O=C(/C=C/c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccc1
CHEMBL265218,3.0,=,IC50,8.52,280712,O=C1/C(=C/c2cc(O)c(O)c([N+](=O)[O-])c2)CC/C1=C\c1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL350927,19.0,=,IC50,7.72,280695,O=C(NC12CC3CC(CC(C3)C1)C2)c1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL353012,50.0,=,IC50,7.3,280357,CCOC(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL353188,90.0,=,IC50,7.05,280359,O=C(O)CCCCc1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL169679,2700.0,=,IC50,5.57,281447,O=C(NC12CC3CC(CC(C3)C1)C2)c1cc(O)c(O)cc1Cl
