chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL152968,24000.0,=,IC50,4.62,253199,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1
CHEMBL153741,30000.0,=,IC50,4.52,253401,Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(-c5ccccc5)cc4)CC3)ccc2s1
CHEMBL3706620,410.0,=,IC50,6.39,2038626,CC(C)(c1ccc(-c2ccncc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1
CHEMBL8153,3000.0,=,IC50,5.52,3637,Cc1[nH]cnc1CN1c2ccccc2CN(S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1CCc1ccccc1
CHEMBL8414,2000.0,=,IC50,5.7,3544,Cc1[nH]cnc1CN1c2ccccc2CN(S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1CCc1ccccc1
CHEMBL8332,38.0,=,IC50,7.42,3852,CC(C)(C)c1ccc(S(=O)(=O)N2Cc3ccccc3N(Cc3c[nH]cn3)C(CCc3ccccc3)C2)cc1
CHEMBL430841,7400.0,=,IC50,5.13,171526,Cc1ccc(-c2ccccc2C(=O)Nc2ccc(C(=O)N3C[C@@H]4C5CCC(C5)N4Cc4cc(Cl)ccc43)cc2)cc1
CHEMBL121241,50000.0,=,IC50,4.3,199700,NCCCc1ccc(S(=O)(=O)N(CCCO)c2ccnn2-c2ccccc2)cc1
CHEMBL101,19000.0,=,Ki,4.72,12417,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
CHEMBL414238,60000.0,=,IC50,4.22,199609,CC(C)CCN(c1ccnn1-c1ccccc1)S(=O)(=O)c1ccc(N)cc1
CHEMBL121420,15000.0,=,IC50,4.82,199521,O=[N+]([O-])c1cccc(-c2ccc(S(=O)(=O)N(CCCCO)c3ccnn3-c3ccccc3)cc2)c1
CHEMBL333108,12000.0,=,IC50,4.92,200345,Nc1cccc(-c2ccc(S(=O)(=O)Nc3ccnn3-c3ccccc3)cc2)c1
CHEMBL171602,13600.0,=,Ki,4.87,286643,CC(=O)C[C@H](c1ccccc1)C1C(=O)Oc2ccccc2C1O
CHEMBL354260,16000.0,=,Ki,4.8,285868,CO[C@]1(C)C[C@H](c2ccccc2)C2C(=O)Oc3ccccc3C2O1
CHEMBL333210,80000.0,=,IC50,4.1,199666,C=CCc1ccc(S(=O)(=O)N(CCCO)c2ccnn2-c2ccccc2)cc1
