chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL124660,3430.0,=,IC50,5.46,205165,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
CHEMBL941,960.0,=,IC50,6.02,88797,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL124035,5460.0,=,IC50,5.26,206266,COCCOc1cc2ncnc(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)c2cc1OC
CHEMBL125898,1400.0,=,IC50,5.85,205365,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCOCC1
CHEMBL444064,3430.0,=,IC50,5.46,205427,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCN1CCCCC1
CHEMBL542955,20000.0,=,IC50,4.7,665756,COc1ccc2ncnc(N(C)c3ccccc3)c2c1
CHEMBL553908,1500.0,=,IC50,5.82,669076,COc1cc2ncnc(N(C)c3cccc(Cl)c3)c2cc1OC
CHEMBL554566,1600.0,=,IC50,5.8,669387,Cc1cccc(N(C)c2ncnc3cc(C)c(C)cc23)c1
CHEMBL136011,180.0,=,IC50,6.75,222486,Cc1cccc(N(C)c2[nH]cnc3nncc2-3)c1
CHEMBL545538,2000.0,=,IC50,5.7,667988,COc1cc2ncnc(N(C)c3ccc(C)cc3)c2cc1OC
CHEMBL553523,180.0,=,IC50,6.75,668856,COc1cc2ncnc(N(C)c3cccc(C)c3)c2cc1OC
CHEMBL335052,4000.0,=,IC50,5.4,222485,CN(c1ccccc1)c1[nH]cnc2ncnc1-2
CHEMBL134439,5000.0,=,IC50,5.3,222196,CN(c1ccccc1)c1ncnc2ccc(Cl)cc12
CHEMBL543195,2100.0,=,IC50,5.68,665968,COc1cc2ncnc(N(C)c3ccc(Cl)cc3)c2cc1OC
CHEMBL541334,600.0,=,IC50,6.22,664610,CN(c1ccccc1)c1[nH]cnc2nncc1-2
CHEMBL543669,500.0,=,IC50,6.3,512373,COc1cc2ncnc(N(C)c3ccccc3)c2cc1OC
CHEMBL539807,500.0,=,IC50,6.3,663900,COc1cc2ncnc(N(C)c3cccc(C(F)(F)F)c3)c2cc1OC
CHEMBL554053,4000.0,=,IC50,5.4,669172,CCN(c1ccccc1)c1ncnc2cc(OC)c(OC)cc12
CHEMBL545776,5000.0,=,IC50,5.3,149138,COc1cc2ncnc(N3CCc4ccccc43)c2cc1OC
CHEMBL153843,380.0,=,IC50,6.42,255408,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1
CHEMBL24828,1600.0,=,IC50,5.8,33576,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
CHEMBL276711,84.0,=,IC50,7.08,12911,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
CHEMBL75232,1240.0,=,IC50,5.91,165012,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
CHEMBL347537,99.0,=,IC50,7.0,255485,O=C(Nc1cccc(-c2cncc3ccccc23)c1)c1ccccc1NCc1ccncc1
CHEMBL177298,14000.0,=,IC50,4.85,296399,CC(C)(Nc1nc(NO)nc(Nc2ccc3ncsc3c2)n1)c1ccccc1
CHEMBL176078,4300.0,=,IC50,5.37,296414,CCN(Cc1ccccc1)c1nc(O)nc(Nc2ccc3ncsc3c2)n1
CHEMBL196363,3.0,=,IC50,8.52,329061,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1
CHEMBL381207,57.0,=,IC50,7.24,329022,Cc1sc2ncnc(N)c2c1-c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)cc1
CHEMBL373882,25000.0,=,IC50,4.6,366622,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1
CHEMBL390156,8.0,=,IC50,8.1,375209,CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCOc5ccccc5)c4)n[nH]c2-3)CC1
CHEMBL223971,9.0,=,IC50,8.05,375241,COCCOCC#Cc1cc(-c2n[nH]c3c2Cc2ccc(Cn4cncn4)cc2-3)cs1
CHEMBL231568,80.0,=,IC50,7.1,388417,CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(Cl)c(OC[C@@H]5CCCN5C)c4)nc3c2)ccn1
CHEMBL237570,550.0,=,IC50,6.26,398352,COc1ccc2cc(-c3c(-c4ccncc4)nc(-c4ccc([S+](C)[O-])cc4C)n3C)ccc2c1
CHEMBL247228,38.9,=,IC50,7.41,415039,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12
CHEMBL245769,113.0,=,IC50,6.95,410941,COCC(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1csc(C#CCOc2ccccc2)c1
CHEMBL245377,45.0,=,IC50,7.35,410954,CN1CCN(CC(=O)Nc2cccc3c2Cc2c-3n[nH]c2-c2csc(C#CCOc3ccccc3)c2)CC1
CHEMBL395427,2975.0,=,IC50,5.53,410952,CCOC(=O)CC(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1csc(C#CCOc2ccccc2)c1
CHEMBL246166,190.0,=,IC50,6.72,410950,COC(=O)C(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1csc(C#CCOc2ccccc2)c1
CHEMBL245968,1271.0,=,IC50,5.9,410947,COCCOCC(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1csc(C#CCOc2ccccc2)c1
CHEMBL249169,16.0,=,IC50,7.8,417587,NC(=O)c1cnc2cc(-c3ccncc3)ccc2c1Nc1ccccc1
CHEMBL250775,100.0,=,IC50,7.0,417731,COc1ccc(Nc2c(C(N)=O)cnc3cc(-c4ccc(S(C)(=O)=O)cc4)ccc23)cc1F
CHEMBL250774,160.0,=,IC50,6.8,417729,CS(=O)(=O)c1ccc(-c2ccc3c(Nc4ccc(F)cc4)c(C(N)=O)cnc3c2)cc1
CHEMBL399702,200.0,=,IC50,6.7,417728,CS(=O)(=O)c1ccc(-c2ccc3c(Nc4ccc(F)c(F)c4)c(C(N)=O)cnc3c2)cc1
CHEMBL250572,63.0,=,IC50,7.2,417727,Cc1ccc(Nc2c(C(N)=O)cnc3cc(-c4ccc(S(C)(=O)=O)cc4)ccc23)cc1F
