chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL84822,37000,=,Ki,4.43,132291,CCCC[C@H](O[PH](=O)O)C(=O)N[C@@H](CC(C)C)C(=O)Nc1ccc([N+](=O)[O-])cc1
CHEMBL282858,460,=,IC50,6.34,37941,O=C(NO)C(NCc1cccc(C(F)(F)F)c1)c1ccccc1F
CHEMBL29911,59,=,IC50,7.23,38480,COc1cccc(C(NCc2cccc(C(F)(F)F)c2)C(=O)NO)c1
CHEMBL30051,46,=,IC50,7.34,38075,O=C(NO)C(NCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
CHEMBL26038,690,=,IC50,6.16,37940,O=C(NO)C(NCc1cccc(C(F)(F)F)c1)c1ccc(F)c(F)c1
CHEMBL28533,200,=,IC50,6.7,37842,COc1cc(Cl)c(CC(=O)NO)cc1OC
CHEMBL29912,2200,=,IC50,5.66,38481,O=C(NO)N(CCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
CHEMBL26420,4100,=,IC50,5.39,37853,NNC(=O)C(NCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
CHEMBL286441,5,<,IC50,,50776,CCCCCN1C(=O)C(CC(=O)NO)Sc2ccccc21
CHEMBL286917,29,=,IC50,7.54,50902,O=C(CC1Sc2ccccc2N(CC2CC2)C1=O)NO
CHEMBL34426,63,=,IC50,7.2,51102,CC(C)CCN1C(=O)C(CC(=O)NO)Cc2ccccc21
CHEMBL284794,169,=,IC50,6.77,50325,O=C(CC1C=Cc2ccccc2NC1=O)NO
CHEMBL38016,5,<,IC50,,51518,O=C(CC1Sc2ccccc2N(CCC2OCCO2)C1=O)NO
CHEMBL35483,168,=,IC50,6.78,50308,NC(=O)CN1C(=O)C(CC(=O)NO)Sc2ccccc21
CHEMBL287247,230,=,IC50,6.64,50170,O=C(CC1Sc2ccccc2NC1=O)NOCc1ccccc1
CHEMBL285024,397,=,IC50,6.4,50377,O=C(CC1Sc2ccccc2N(CC(=O)N2CCCC2)C1=O)NO
CHEMBL38164,74,=,IC50,7.13,51098,CONC(=O)CC1Sc2ccccc2NC1=O
CHEMBL289736,41,=,IC50,7.39,50848,O=C(CC1Sc2ccccc2N(CC2CCC2)C1=O)NO
CHEMBL37719,5,<,IC50,,50981,O=C(CC1Sc2ccccc2NC1=O)NO
CHEMBL34024,18,=,IC50,7.75,50757,O=C(CC1Sc2ccccc2N(CC2CCCCO2)C1=O)NO
CHEMBL37522,73,=,IC50,7.14,51057,O=C(CC1Cc2ccccc2NC1=O)NO
CHEMBL287497,37,=,IC50,7.43,51672,CN1C(=O)C(CC(=O)NO)Sc2ccccc21
CHEMBL33924,302,=,IC50,6.52,50758,O=C(CC1Sc2ccccc2N(CC2CCCCC2)C1=O)NO
CHEMBL417683,343,=,IC50,6.46,51104,O=C(CC1Sc2ccccc2N(CC(=O)Nc2ccccn2)C1=O)NO
CHEMBL308333,5,<,IC50,,120740,CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N1CCC[C@H]1CO)C(C)C
CHEMBL36605,5,<,IC50,,51521,O=C(CC1Sc2ccccc2N(CCc2ccccc2)C1=O)NO
CHEMBL34597,330,=,IC50,6.48,51133,NNC(=O)CC1Sc2ccccc2NC1=O
CHEMBL285949,74,=,IC50,7.13,50361,O=C(CC1Sc2c(Br)cccc2NC1=O)NO
CHEMBL34553,58,=,IC50,7.24,50280,O=C(CC1Sc2ccccc2N(CC(=O)Nc2cc(F)ccc2F)C1=O)NO
CHEMBL35042,57,=,IC50,7.24,50756,O=C(CC1Sc2ccccc2N(CCC2CCCCC2)C1=O)NO
CHEMBL286560,175,=,IC50,6.76,50173,O=C(CC1Cc2ccccc2N(CC2CC2)C1=O)NO
CHEMBL287061,515,=,IC50,6.29,51434,N#CCN1C(=O)C(CC(=O)NO)Sc2ccccc21
CHEMBL36126,427,=,IC50,6.37,50791,CC(=O)N(O)CC1Sc2ccccc2NC1=O
CHEMBL36140,5,<,IC50,,51671,CC(C)CCN1C(=O)C(CC(=O)NO)Sc2ccccc21
CHEMBL35361,50,=,IC50,7.3,50362,CC(C)(C)C(=O)CN1C(=O)C(CC(=O)NO)Sc2ccccc21
CHEMBL285938,10,=,IC50,8.0,50171,O=CN(O)CC1Sc2ccccc2NC1=O
CHEMBL286238,44,=,IC50,7.36,50306,CC(C(N)=O)N1C(=O)C(CC(=O)NO)Sc2ccccc21
CHEMBL36229,5,<,IC50,,51476,COCCN1C(=O)C(CC(=O)NO)Sc2ccccc21
CHEMBL34538,5,<,IC50,,50936,CC(C)CCCN1C(=O)C(CC(=O)NO)Sc2ccccc21
CHEMBL285547,12,=,IC50,7.92,50935,O=C(CC1Sc2ccccc2N(Cc2ccccc2)C1=O)NO
CHEMBL399664,53500,=,IC50,4.27,418927,C[C@@H]1CCC/C=C/CCC(=O)C[C@@H](O)C/C=C\C=C\[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)C/C=C/C=C\C(=O)O1
CHEMBL399871,61500,=,IC50,4.21,418931,C[C@@H]1CCC/C=C/C=C/[C@H](O)C[C@@H](O)C/C=C/C=C/[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)C/C=C/C=C\C(=O)O1
CHEMBL252148,12100,=,IC50,4.92,418930,C[C@@H]1CCC/C=C\C=C\[C@H](O)C[C@@H](O)C/C=C\C=C\[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)C/C=C/C=C\C(=O)O1
