chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL553071,96.0,=,IC50,7.02,512375,Cc1c(Cl)cccc1S(=O)(=O)Nc1nc(CC(=O)N2CCN(C)CC2)cs1
CHEMBL553071,3341.0,=,IC50,5.48,512375,Cc1c(Cl)cccc1S(=O)(=O)Nc1nc(CC(=O)N2CCN(C)CC2)cs1
CHEMBL499915,108.0,=,IC50,6.97,454298,CC1(C)[C@@H](OC(=O)CCC(=O)O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C
CHEMBL499915,330.0,=,IC50,6.48,454298,CC1(C)[C@@H](OC(=O)CCC(=O)O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C
CHEMBL499915,83.0,=,IC50,7.08,454298,CC1(C)[C@@H](OC(=O)CCC(=O)O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C
CHEMBL196015,58700.0,=,IC50,4.23,326031,Cc1coc(NS(=O)(=O)c2cccc(Cl)c2C)n1
CHEMBL371074,17300.0,=,IC50,4.76,326164,Cc1c(Cl)cccc1S(=O)(=O)Nc1nc(-c2ccccc2)co1
CHEMBL197151,2300.0,=,IC50,5.64,326302,O=S(=O)(Nc1nc(-c2ccc(-c3ccccc3)cc2)co1)c1ccccc1
CHEMBL372623,100000.0,=,IC50,4.0,326333,CC(=O)N(C)c1ccc(S(=O)(=O)Nc2nc(C)c(C)o2)cc1
CHEMBL372179,1.4,=,IC50,8.85,332967,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3nc(-c4ccc(C(O)C(F)(F)F)cc4)no3)(CC1)CC2
CHEMBL198906,4.7,=,IC50,8.33,333043,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3n[nH]c(-c4ccc(F)cc4)n3)(CC1)CC2
CHEMBL370642,5.3,=,IC50,8.28,333042,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3nc(-c4ccc(F)cc4)c[nH]3)(CC1)CC2
CHEMBL370657,2.0,=,IC50,8.7,333010,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3noc(-c4ccc(F)cc4)n3)(CC1)CC2
