chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL327781,1940.0,=,Ki,5.71,657955,CN[C@H](C(=O)N1C(C#N)C[C@@H]2C[C@@H]21)C(C)C
CHEMBL90223,7500.0,=,Ki,5.12,653581,CCC(C)[C@H](N)C(=O)N1CC[C@@H]2C[C@@]21C#N
CHEMBL1627303,8.0,=,Ki,8.1,311858,CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1C#N
CHEMBL312855,11.0,=,Ki,7.96,657637,CC1(C(N)C(=O)N2C(C#N)C[C@@H]3C[C@@H]32)CCC1
CHEMBL86334,1620.0,=,Ki,5.79,653510,CCC(C)[C@H](N)C(=O)N1C(C#N)C[C@H]2C[C@H]21
CHEMBL315434,25.0,=,Ki,7.6,657680,CCC(C)[C@H](N)C(=O)N1C(C#N)C[C@@H]2C[C@@H]21
CHEMBL89272,135.0,=,Ki,6.87,653565,CSCC[C@H](N)C(=O)N1C(C#N)C[C@@H]2C[C@@H]21
CHEMBL88680,29.0,=,Ki,7.54,653550,CC(C)[C@H](N)C(=O)N1C(C#N)C[C@H]2C[C@H]21
CHEMBL88949,7.0,=,Ki,8.15,141735,CC(C)(C)[C@H](N)C(=O)N1C(C#N)C[C@@H]2C[C@@H]21
CHEMBL86677,4.0,=,Ki,8.4,653515,N#CC1C[C@@H]2C[C@@H]2N1C(=O)C(N)C1CCCC1
CHEMBL86800,7.0,=,Ki,8.15,653517,CC1(C(N)C(=O)N2C(C#N)C[C@@H]3C[C@@H]32)CCCC1
CHEMBL319514,200.0,=,Ki,6.7,156700,C[C@H](N)C(=O)N1CCC[C@H]1C#N
CHEMBL430452,15.0,=,Ki,7.82,659679,N#CC1C[C@@H]2C[C@@H]2N1C(=O)C(N)C1CCCCC1
CHEMBL328365,107.0,=,Ki,6.97,657965,N#CC1C[C@@H]2C[C@@H]2N1C(=O)[C@@H]1CCCN1N
CHEMBL89666,8.0,=,Ki,8.1,653573,CC1(C(N)C(=O)N2C(C#N)C[C@@H]3C[C@@H]32)CCCCC1
CHEMBL86539,14.0,=,Ki,7.85,653514,CC(C)(C)[C@H](N)C(=O)N1C[C@H]2C[C@H]2C1C#N
CHEMBL317944,23210.0,=,IC50,4.63,156084,NC(Cc1c[nH]cn1)C(=O)N1CCCC1
CHEMBL1627326,2.0,=,Ki,8.7,18023,CCC(C)C(N)C(=O)N1CCC[C@H]1C#N
CHEMBL87153,12.0,=,Ki,7.92,653524,CC(C)[C@H](N)C(=O)N1C[C@H]2C[C@H]2C1C#N
CHEMBL327435,15.0,=,Ki,7.82,657944,CCC(C)[C@H](N)C(=O)N1C[C@H]2C[C@H]2C1C#N
CHEMBL330523,65.0,=,Ki,7.19,658003,N#CC1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)Cc1ccccc1
CHEMBL89465,230.0,=,Ki,6.64,653569,N#CC1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)Cc1c[nH]c2ccccc12
CHEMBL313498,12.0,=,Ki,7.92,657647,N#CC1C[C@@H]2C[C@@H]2N1C(=O)C(N)C1CCC1
CHEMBL89273,10000.0,=,Ki,5.0,653566,N#CC1C[C@@H]2C[C@@H]2N1C(=O)C1CCCCN1
CHEMBL1790478,190.0,=,IC50,6.72,1154109,C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1B(O)O
CHEMBL66032,11.0,=,IC50,7.96,101598,CC[C@H](N)C(=O)N1CCC[C@H]1B(O)O
CHEMBL63726,95.0,=,IC50,7.02,101538,NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O
CHEMBL303131,17000.0,=,IC50,4.77,103115,N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1B(O)O
CHEMBL292342,250.0,=,IC50,6.6,103147,O=C([C@@H]1CCN1)N1CCC[C@H]1B(O)O
CHEMBL63698,44.0,=,IC50,7.36,103114,CC(C)C[C@H](N)C(=O)N1CCC[C@H]1B(O)O
CHEMBL291428,63.0,=,IC50,7.2,102330,N[C@H](C(=O)N1CCC[C@H]1B(O)O)c1ccccc1
CHEMBL66189,30000.0,=,IC50,4.52,101723,CC(C)(N)C(=O)N1CCC[C@H]1B(O)O
CHEMBL1790483,25.0,=,IC50,7.6,1154114,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O
CHEMBL67279,26.0,=,IC50,7.58,103029,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O
CHEMBL63860,15.0,=,IC50,7.82,101861,C[C@H](N)C(=O)N1CCC[C@H]1B(O)O
CHEMBL67089,16000.0,=,IC50,4.8,103030,NCC(=O)N1CCC[C@H]1B(O)O
CHEMBL65406,4000.0,=,IC50,5.4,101724,CC(C)[C@@H](N)C(=O)N1CCC[C@@H]1B(O)O
CHEMBL304007,32.0,=,IC50,7.5,102329,N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1B(O)O
CHEMBL63652,70.0,=,IC50,7.16,102296,N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1B(O)O
CHEMBL63406,60.0,=,IC50,7.22,102260,CC(C)(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O
CHEMBL63895,20.0,=,IC50,7.7,101536,O=C([C@@H]1CCCN1)N1CCC[C@H]1B(O)O
CHEMBL1182947,32000.0,=,IC50,4.5,656897,O=C([C@@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1
CHEMBL265344,400.0,=,IC50,6.4,401919,CC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(C)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1
CHEMBL9237,47000.0,=,IC50,4.33,651924,COP(=O)(Oc1ccccc1-c1ccccc1O)C1CCCN1C(=O)[C@@H]1CCCN1
CHEMBL9724,31000.0,=,IC50,4.51,651939,O=C([C@@H]1CCCN1)N1CCCC1P1(=O)Oc2ccccc2-c2ccccc2O1
CHEMBL9561,22000.0,=,IC50,4.66,651934,COc1ccc(OP(=O)(Oc2ccc(OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1
CHEMBL9238,36.0,=,IC50,7.44,651925,COC(=O)CCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1
CHEMBL9512,500.0,=,IC50,6.3,651932,NCC(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CN)cc2)C2CCCN2C(=O)C2CCCN2)cc1
CHEMBL269209,600.0,=,IC50,6.22,656790,C[C@H](N)C(=O)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)[C@@H](C)N)cc2)C2CCCN2C(=O)C2CCCN2)cc1
CHEMBL273851,5000.0,=,IC50,5.3,656904,O=C([C@H]1CCCN1)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1
CHEMBL9295,30.0,=,IC50,7.52,651927,CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1
CHEMBL269757,700.0,=,IC50,6.16,656802,O=C(CNC(=O)c1ccccc1)Nc1ccc(OP(=O)(Oc2ccc(NC(=O)CNC(=O)c3ccccc3)cc2)C2CCCN2C(=O)C2CCCN2)cc1
CHEMBL9263,800.0,=,IC50,6.1,651926,CC(=O)Nc1cccc(OP(=O)(Oc2cccc(NC(C)=O)c2)C2CCCN2C(=O)C2CCCN2)c1
CHEMBL9433,400.0,=,IC50,6.4,651929,CS(=O)(=O)Nc1ccc(OP(=O)(Oc2ccc(NS(C)(=O)=O)cc2)C2CCCN2C(=O)C2CCCN2)cc1
CHEMBL268527,1400.0,=,IC50,5.85,656776,COC(=O)C(Cc1ccc(OP(=O)(Oc2ccc(CC(NC(C)=O)C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1)NC(C)=O
CHEMBL9408,16.0,=,IC50,7.8,651928,COC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)OC)cc2)C2CCCN2C(=O)C2CCCN2)cc1
CHEMBL430281,2300.0,=,IC50,5.64,659677,NC(=O)Nc1cccc(OP(=O)(OC2=CC=CC(NC(N)=O)C2)C2CCCN2C(=O)C2CCCN2)c1
CHEMBL274829,23.0,=,IC50,7.64,401928,CCOC(=O)CNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCC(=O)OCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1
CHEMBL9527,5000.0,=,IC50,5.3,651933,O=C(C1CCCN1)N1CCCC1P(=O)(Oc1ccc(NN2CCCC2)cc1)Oc1ccc(NN2CCCC2)cc1
CHEMBL3084936,24.0,=,IC50,7.62,1594827,N#Cc1cccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)c1
CHEMBL3084942,18.0,=,IC50,7.75,1594833,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc3ccccc3c2)CC1
CHEMBL3084949,15.0,=,IC50,7.82,1594840,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1
CHEMBL3084939,35.0,=,IC50,7.46,1594830,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(F)c(F)c2)CC1
CHEMBL3084935,23.0,=,IC50,7.64,1594826,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(I)cc2)CC1
CHEMBL3084943,24.0,=,IC50,7.62,1594834,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)c(F)c2F)CC1
CHEMBL3084954,17.0,=,IC50,7.77,1594845,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(Cl)c(Cl)c2)CC1
CHEMBL3084937,7.5,=,IC50,8.12,1594828,CN(C)C(=O)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCSC3)CC2)cc1
CHEMBL3084938,26.0,=,IC50,7.58,1594829,CN(C)C(=O)Nc1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)CC2)cc1
CHEMBL3084940,64.0,=,IC50,7.19,1594831,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cncc3ccccc23)CC1
CHEMBL3084946,38.0,=,IC50,7.42,1594837,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(Cl)c(Cl)c2)CC1
CHEMBL3084947,33.0,=,IC50,7.48,1594838,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc(I)cc2)CC1
CHEMBL3084952,17.0,=,IC50,7.77,1594843,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2cccc3ccccc23)CC1
CHEMBL3084956,9.0,=,IC50,8.05,1594847,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cnc3ccccc3c2)CC1
CHEMBL3084948,21.0,=,IC50,7.68,1594839,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccc3ccccc3c2)CC1
CHEMBL3084955,55.0,=,IC50,7.26,1594846,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(OC(F)(F)F)cc2)CC1
CHEMBL3084941,98.0,=,IC50,7.01,1594832,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)c(F)c2F)CC1
CHEMBL3084953,10.0,=,IC50,8.0,1594844,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)Nc2ccc(I)cc2)CC1
CHEMBL3084944,46.0,=,IC50,7.34,1594835,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1
CHEMBL3084951,20.0,=,IC50,7.7,1594842,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccc3ccccc3c2)CC1
