chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL303519,5600.0,=,IC50,5.25,97517,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1
CHEMBL292943,72.0,=,IC50,7.14,97768,COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1
CHEMBL317757,145.0,=,Ki,6.84,161229,CN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2
CHEMBL309118,36.0,=,Ki,7.44,109320,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O
CHEMBL324896,2420.0,=,Ki,5.62,178056,c1ccc(N2CCN(CCCn3c4ccccc4c4ccccc43)CC2)cc1
CHEMBL61682,8.0,=,IC50,8.1,97527,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4F)CC3)c2)cc1
CHEMBL322179,430.0,=,Ki,6.37,178399,O=C(NCCCN1CCN(c2ccccc2)CC1)c1cccc2c1-c1ccccc1C2=O
CHEMBL419505,0.9,=,Ki,9.05,147993,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)-c1ccccc1-2
CHEMBL108527,170.0,=,Ki,6.77,177623,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1Cc1ccccc1-2
CHEMBL64487,710.0,=,IC50,6.15,98331,COc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1
CHEMBL64597,200.0,=,IC50,6.7,98330,c1cnc(N2CCN(Cc3cccc(-c4ccsc4)c3)CC2)nc1
CHEMBL291824,200.0,=,IC50,6.7,97563,Fc1ccc(-c2cncc(CN3CCN(c4ccc(F)cc4)CC3)c2)cc1
CHEMBL110411,1.4,=,Ki,8.85,178171,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)-c1ccccc1C2
CHEMBL267562,277.0,=,Ki,6.56,10125,Fc1ccc(C(OC2CC3CCC(C2)N3Cc2ccc(Cl)c(Cl)c2)c2ccc(F)cc2)cc1
CHEMBL292759,794.33,=,Ki,6.1,99770,COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1
CHEMBL301242,1.4,=,Ki,8.85,95881,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O
CHEMBL59942,59.0,=,IC50,7.23,97727,Fc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1
CHEMBL61657,300.0,=,IC50,6.52,97598,Fc1ccc(-c2cncc(CN3CCN(c4ccccn4)CC3)c2)cc1
CHEMBL310310,5380.0,=,Ki,5.27,115545,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2
CHEMBL108637,1460.0,=,Ki,5.84,177748,O=C(NCCCN1CCN(c2ccccc2)CC1)c1ccc2c(c1)Cc1ccccc1-2
CHEMBL67750,110.0,=,Ki,6.96,109902,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2
CHEMBL110120,4010.0,=,Ki,5.4,177215,OC1CCc2c(c3ccccc3n2CCCN2CCN(c3ccccc3)CC2)C1
CHEMBL3084884,220.0,=,Ki,6.66,1594775,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccc(Cl)cc1)c1ccc(Cl)cc1)C2
CHEMBL88837,870.5,=,Ki,6.06,146092,c1ccc(CN2CCN(c3cccc4[nH]cnc34)CC2)cc1
CHEMBL302183,150.0,=,IC50,6.82,97526,Fc1ccc(-c2cncc(CN3CCN(c4ncccn4)CC3)c2)cc1
CHEMBL323997,214.0,=,Ki,6.67,178307,Fc1ccc(C(OCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)c2ccc(F)cc2)cc1
CHEMBL304692,4000.0,=,IC50,5.4,97693,c1cnc(N2CCN(Cc3cccc4c3-c3ccccc3C4)CC2)nc1
CHEMBL307800,19.0,=,Ki,7.72,109319,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1c2ccccc2-c2ccccc21
CHEMBL306672,7.8,=,Ki,8.11,109940,O=C1c2ccccc2C(=O)N1CCCCCN1CCN(c2cccc(Cl)c2Cl)CC1
CHEMBL555670,80.0,=,IC50,7.1,2246,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1
CHEMBL110435,2520.0,=,Ki,5.6,177300,Fc1ccc(C(OCCOC2CC3CCC(C2)N3)c2ccc(F)cc2)cc1
CHEMBL69717,4.1,=,Ki,8.39,109857,O=C1c2ccccc2C(=O)N1CCCCN1CCN(c2cccc(Cl)c2Cl)CC1
CHEMBL302796,340.0,=,Ki,6.47,110168,O=C(NCCCN1CCN(c2ccccc2)CC1)C1c2ccccc2-c2ccccc21
CHEMBL328051,35.4,=,Ki,7.45,146649,c1ccc(CN2CCN(c3cccc4[nH]ccc34)CC2)cc1
CHEMBL320114,193.0,=,Ki,6.71,177327,CN1C2CCC1CC(OC1c3ccccc3Cc3ccccc31)C2
CHEMBL108495,6100.0,=,Ki,5.21,177278,CCN(CC)CCOCCOC1(c2ccccc2)CCCC1
CHEMBL542139,501.19,=,Ki,6.3,38445,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1
CHEMBL291380,320.0,=,IC50,6.5,97702,Fc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1
CHEMBL2308105,13.8,=,Ki,7.86,1507535,Fc1ccc(C(O[C@@H]2C[C@@H]3CC[C@H](C2)N3CCCCc2ccccc2)c2ccc(F)cc2)cc1
CHEMBL417249,130.0,=,Ki,6.89,10007,C=CCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2
CHEMBL68860,24.0,=,Ki,7.62,109900,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1c2ccccc2-c2ccccc21
CHEMBL90476,56.0,=,Ki,7.25,146648,Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12
CHEMBL88289,14.7,=,Ki,7.83,146093,FC(F)(F)c1nc2c(N3CCN(Cc4ccccc4)CC3)cccc2[nH]1
CHEMBL64671,1100.0,=,IC50,5.96,98291,COc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1
CHEMBL62829,200.0,=,IC50,6.7,97547,Fc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1
CHEMBL64119,5500.0,=,IC50,5.26,653139,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1
CHEMBL106660,72.7,=,Ki,7.14,177296,Clc1cccc(C(OC2CC3CCC(C2)N3CCCc2ccccc2)c2ccccc2)c1
CHEMBL302904,33.0,=,IC50,7.48,97515,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4)CC3)c2)cc1
CHEMBL68720,28.0,=,Ki,7.55,110194,O=C(NCCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O
CHEMBL311539,95.3,=,Ki,7.02,146684,Clc1ccc2[nH]ccc2c1N1CCN(Cc2ccccc2)CC1
CHEMBL60957,480.0,=,IC50,6.32,97510,Fc1ccc(-c2cncc(CN3CCN(c4cnccn4)CC3)c2)cc1
CHEMBL110349,430.0,=,Ki,6.37,177655,O=C(NCCCN1CCN(c2ccccc2)CC1)c1cccc2c1Cc1ccccc1-2
CHEMBL12004,112.0,=,Ki,6.95,10014,Fc1ccc(C(OC2CC3CCC(C2)N3Cc2cccc3ccccc23)c2ccc(F)cc2)cc1
CHEMBL109299,53.2,=,Ki,7.27,178510,Fc1ccc(C(OC2CC3CCC(C2)N3Cc2cc3ccccc3[nH]2)c2ccc(F)cc2)cc1
CHEMBL12375,63.3,=,Ki,7.2,9909,Fc1ccc(C(OC2CC3CCC(C2)N3Cc2ccccc2)c2ccc(F)cc2)cc1
CHEMBL92630,92.0,=,Ki,7.04,150577,CCCN1CCC[C@@H](c2cccc(OS(=O)(=O)c3ccc(C)cc3)c2)C1
CHEMBL311730,1305.0,=,Ki,5.88,129985,CCCN1CCC[C@@H](c2cccc(S(C)(=O)=O)c2)C1
CHEMBL49231,268.0,=,Ki,6.57,76169,COc1ccccc1N1CCN(CNC(=O)c2ccc(Cl)cc2)CC1
CHEMBL93534,67.0,=,Ki,7.17,150566,C=CCN1CCC2c3cccc(OS(=O)(=O)C(F)(F)F)c3CCC21
CHEMBL328894,522.0,=,Ki,6.28,150970,N#Cc1cccc([C@@H]2CCCN(CC3CC3)C2)c1
CHEMBL298763,177.0,=,Ki,6.75,75806,O=C(NCN1CCN(c2ccccc2Cl)CC1)c1ccccc1
CHEMBL92817,171.0,=,Ki,6.77,150627,CCCN1CCC[C@@H](c2cccc(Br)c2)C1
CHEMBL93917,509.0,=,Ki,6.29,150708,CCCN1CCC[C@@H](c2cccc(CC#N)c2)C1
CHEMBL90798,514.0,=,Ki,6.29,150473,CCN1CCC[C@@H](c2cccc(C#N)c2)C1
CHEMBL328119,19.0,=,Ki,7.72,150728,O=S(=O)(Oc1cccc([C@@H]2CCCN(CCc3ccccc3)C2)c1)C(F)(F)F
CHEMBL93570,56.0,=,Ki,7.25,151388,CCc1sccc1N1CCC[C@@H](c2cccc(C#N)c2)C1
CHEMBL300956,377.0,=,Ki,6.42,75330,Cc1ccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)cc1
CHEMBL49876,600.0,=,Ki,6.22,76255,N#Cc1ccccc1N1CCN(CNC(=O)c2ccc(Cl)cc2)CC1
CHEMBL45244,2810.0,=,Ki,5.55,68578,Cc1cccc(C(=O)NCN2CCN(c3ccccc3C#N)CC2)c1
CHEMBL315890,777.0,=,Ki,6.11,150622,CCCN1CCC[C@@H](c2ccccc2)C1
CHEMBL328785,86.0,=,Ki,7.07,150623,CCCc1cccc([C@@H]2CCCN(CCC)C2)c1
CHEMBL92938,139.0,=,Ki,6.86,150628,CCCN1CCC[C@@H](c2cccc(SC)c2)C1
CHEMBL329443,170.0,=,Ki,6.77,150859,CCCN1CCC[C@@H](c2cccc(S(=O)(=O)N(C)C)c2)C1
CHEMBL298166,464.0,=,Ki,6.33,75803,Cc1cccc(C(=O)NCN2CCN(c3ccccc3Cl)CC2)c1
CHEMBL93383,268.0,=,Ki,6.57,150877,CC(C)N1CCC[C@@H](c2cccc(C#N)c2)C1
CHEMBL92183,249.0,=,Ki,6.6,151375,CCCN1CCC[C@@H](c2cccc(C#N)c2)C1
CHEMBL314536,78.0,=,Ki,7.11,150670,CCCN1CCC[C@@H](c2cccc(-c3ccsc3)c2)C1
CHEMBL328448,1136.0,=,Ki,5.95,150124,CCCN1CCC[C@@H](c2ccc(OS(=O)(=O)C(F)(F)F)cc2)C1
CHEMBL92682,61.0,=,Ki,7.21,150567,CCCN1CCC2c3cccc(OS(=O)(=O)C(F)(F)F)c3CCC21
CHEMBL94811,36.0,=,Ki,7.44,151360,N#Cc1cccc([C@@H]2CCCN(CCCc3ccccc3)C2)c1
CHEMBL147159,3.4,=,Ki,8.47,244118,Oc1ccc(C2=CCN(C[C@@H]3CCC=C(c4ccc(O)cc4)C3)CC2)cc1
CHEMBL93234,573.0,=,Ki,6.24,150625,CCCN1CCC[C@@H](c2cccc(C)c2)C1
CHEMBL93101,1461.0,=,Ki,5.83,151406,CCCN1CCC[C@@H](c2cccc(CO)c2)C1
CHEMBL327263,587.0,=,Ki,6.23,150753,CCCN1CCCC2c3cccc(OS(=O)(=O)C(F)(F)F)c3CCC21
CHEMBL93582,1328.0,=,Ki,5.88,150465,CCCN1CCC[C@@H](c2cccc(OC)c2)C1
CHEMBL93682,631.0,=,Ki,6.2,150508,N#Cc1cccc([C@@H]2CCCNC2)c1
CHEMBL51536,49.0,=,Ki,7.31,76365,Cc1ccc(C(=O)NCN2CCN(c3ccccc3Cl)CC2)cc1
CHEMBL93212,658.0,=,Ki,6.18,150841,C=CCN1CCC[C@@H](c2cccc(C#N)c2)C1
CHEMBL328431,338.0,=,Ki,6.47,150226,CCCN1CCC[C@@H](c2ccc(OS(=O)(=O)C(F)(F)F)c(OS(=O)(=O)C(F)(F)F)c2)C1
CHEMBL90662,1759.0,=,Ki,5.75,150507,CN1CCC[C@@H](c2cccc(C#N)c2)C1
CHEMBL51023,174.0,=,Ki,6.76,75331,COc1ccccc1N1CCN(CNC(=O)c2ccc(C)cc2)CC1
CHEMBL93594,978.0,=,Ki,6.01,150516,CCCN1CCC[C@@H](c2cccc(OS(C)(=O)=O)c2)C1
CHEMBL327263,22.0,=,Ki,7.66,150753,CCCN1CCCC2c3cccc(OS(=O)(=O)C(F)(F)F)c3CCC21
CHEMBL93646,59.0,=,Ki,7.23,151002,N#Cc1cccc([C@@H]2CCCN(CCc3ccccc3)C2)c1
CHEMBL90359,68.0,=,Ki,7.17,150603,CCCN1CCC[C@@H](c2cccc(OS(=O)(=O)C(F)(F)F)c2)C1
CHEMBL93946,1414.0,=,Ki,5.85,150463,CCCN1CCC[C@@H](c2cccc(OCC(F)(F)F)c2)C1
CHEMBL356269,56.7,=,Ki,7.25,244378,Oc1ccc(C2=CCN(C[C@@H]3CCC=C(c4ccccc4)C3)CC2)cc1
CHEMBL296506,2480.0,=,Ki,5.61,75809,COc1ccccc1N1CCN(CNC(=O)c2cccc(C)c2)CC1
CHEMBL49502,2270.0,=,Ki,5.64,76172,N#Cc1ccccc1N1CCN(CNC(=O)c2cccc(Cl)c2)CC1
CHEMBL296953,66.0,=,Ki,7.18,76131,O=C(NCN1CCN(c2ccccc2Cl)CC1)c1ccc(Cl)cc1
CHEMBL90797,2150.0,=,Ki,5.67,150514,CCCN1CCC[C@@H](c2cccc(C(C)=O)c2)C1
CHEMBL93701,3113.0,=,Ki,5.51,150794,CCCN1CCC[C@@H](c2ccccc2OS(=O)(=O)C(F)(F)F)C1
CHEMBL2111566,173.0,=,Ki,6.76,1383817,C=CCN1CC[C@@H]2c3cccc(OS(=O)(=O)C(F)(F)F)c3CC[C@@H]21
CHEMBL413483,105.0,=,Ki,6.98,151003,CCC(C)N1CCC[C@@H](c2cccc(C#N)c2)C1
CHEMBL48819,1450.0,=,Ki,5.84,75356,COc1ccccc1N1CCN(CNC(=O)c2cccc(Cl)c2)CC1
CHEMBL295094,364.0,=,Ki,6.44,75328,O=C(NCN1CCN(c2ccccc2Cl)CC1)c1cccc(Cl)c1
CHEMBL93283,339.0,=,Ki,6.47,150626,C#Cc1cccc([C@@H]2CCCN(CCC)C2)c1
CHEMBL357416,0.52,=,Ki,9.28,244090,Oc1ccc(C2=CCC[C@@H](CN3CC=C(c4ccccc4)CC3)C2)cc1
CHEMBL92578,83.0,=,Ki,7.08,150568,CCCN1CCC[C@@H](c2cccc(C=O)c2)C1
CHEMBL48807,2470.0,=,Ki,5.61,76290,COc1ccccc1N1CCN(CNC(=O)c2ccccc2)CC1
CHEMBL90374,12000.0,=,Ki,4.92,146991,Clc1ccc(N2CCN(Cc3cccn4nccc34)CC2)cc1
