chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL21032,21.38,=,Ki,7.67,24699,CCCCCCOc1cccc(N2C(N)=NC(N)=NC2(C)C)c1
CHEMBL20129,6.761,=,Ki,8.17,24651,CCCCCCCCCOc1cccc(N2C(N)=NC(N)=NC2(C)C)c1
CHEMBL145169,12900.0,=,IC50,4.89,238902,COc1cc(/C=C/c2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC
CHEMBL52433,49.7,=,IC50,7.3,77500,CCN(Cc1cnc2nc(N)nc(N)c2c1C)c1cc(OC)c(OC)c(OC)c1
CHEMBL102303,9800.0,=,IC50,5.01,169018,Nc1nc(N)c2nc(Cc3ccccc3)[nH]c2n1
CHEMBL174107,251.19,=,Ki,6.6,293487,CSc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1
CHEMBL106383,13000.0,=,IC50,4.89,168985,COc1ccc(-c2nc3[nH]c(N)nc(N)c-3n2)c2ccccc12
CHEMBL106383,13000.0,=,IC50,4.89,168985,COc1ccc(-c2nc3[nH]c(N)nc(N)c-3n2)c2ccccc12
CHEMBL21031,5.37,=,Ki,8.27,24698,CC1(C)N=C(N)N=C(N)N1c1cccc(CSc2ccccc2)c1
CHEMBL280726,18.62,=,Ki,7.73,24650,CCCCCCCCCCCOc1cccc(N2C(N)=NC(N)=NC2(C)C)c1
CHEMBL414610,331.13,=,Ki,6.48,24648,CCCCCCCCCCCCCCOc1cccc(N2C(N)=NC(N)=NC2(C)C)c1
CHEMBL6771,38.02,=,Ki,7.42,1168,CC1(C)N=C(N)N=C(N)N1c1cccc(OCCCCOc2ccccc2)c1
CHEMBL20480,19.5,=,Ki,7.71,24633,Cc1cccc(OCc2cccc(N3C(N)=NC(N)=NC3(C)C)c2)c1
CHEMBL34158,2511.89,=,Ki,5.6,44742,CC1(C)N=C(N)N=C(N)N1c1ccc(O)cc1
CHEMBL7004,165.96,=,Ki,6.78,1042,Cc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1
CHEMBL367266,257.04,=,Ki,6.59,289586,CCCCCOc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1
CHEMBL7130,93.33,=,Ki,7.03,1419,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1
CHEMBL50514,200.0,=,IC50,6.7,77678,COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL33697,22.39,=,Ki,7.65,45739,CC1(C)N=C(N)N=C(N)N1c1ccc(CCCCc2ccc(S(=O)(=O)F)cc2Cl)c(Cl)c1
CHEMBL281618,16.98,=,Ki,7.77,24544,CC1(C)N=C(N)N=C(N)N1c1cccc(OCC23CC4CC(CC(C4)C2)C3)c1
CHEMBL281618,776.25,=,Ki,6.11,24544,CC1(C)N=C(N)N=C(N)N1c1cccc(OCC23CC4CC(CC(C4)C2)C3)c1
CHEMBL20424,4.467,=,Ki,8.35,24599,CC1(C)N=C(N)N=C(N)N1c1cccc(COc2cccc(-c3ccccc3)c2)c1
CHEMBL105523,22000.0,=,IC50,4.66,168939,COc1cc(OC)c(-c2nc3c(N)nc(N)nc3[nH]2)cc1OC
CHEMBL312688,19500.0,=,IC50,4.71,127350,Nc1nc(N)c2nc(-c3ccc(Cl)c(Cl)c3)[nH]c2n1
CHEMBL172558,7.943,=,Ki,8.1,289557,CCCCCCc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1
CHEMBL145691,7700.0,=,IC50,5.11,239268,COc1ccc(CCC2CNc3nc(N)nc(N)c3C2)cc1OC
CHEMBL145691,2100.0,=,IC50,5.68,239268,COc1ccc(CCC2CNc3nc(N)nc(N)c3C2)cc1OC
CHEMBL53693,210.0,=,IC50,6.68,77067,COc1cc(N(Cc2cnc3nc(N)nc(N)c3c2C)C(C)C)cc(OC)c1OC
CHEMBL22,103.0,=,IC50,6.99,1216,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL119,27.0,=,IC50,7.57,19101,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL21051,1174.9,=,Ki,5.93,25111,CC1(C)N=C(N)N=C(N)N1c1cccc(C(O)c2ccccc2)c1
CHEMBL6671,5.754,=,Ki,8.24,1081,CC1(C)N=C(N)N=C(N)N1c1cccc(OCCCCOc2cccc(C(F)(F)F)c2)c1
CHEMBL283740,8.318,=,Ki,8.08,24481,CC1(C)N=C(N)N=C(N)N1c1cccc(COc2cccc(C#N)c2)c1
CHEMBL441503,25.12,=,Ki,7.6,24634,CC1(C)N=C(N)N=C(N)N1c1cccc(COc2cccc(CO)c2)c1
CHEMBL22,151.36,=,Ki,6.82,1216,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL22,194.98,=,Ki,6.71,1216,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL102432,29000.0,=,IC50,4.54,168927,COc1ccc(OC)c(NCc2nc3c(N)nc(N)nc3[nH]2)c1
CHEMBL102432,29000.0,=,IC50,4.54,168927,COc1ccc(OC)c(NCc2nc3c(N)nc(N)nc3[nH]2)c1
CHEMBL20975,2.818,=,Ki,8.55,24697,CC1(C)N=C(N)N=C(N)N1c1cccc(SCc2ccccc2)c1
CHEMBL20975,42.66,=,Ki,7.37,24697,CC1(C)N=C(N)N=C(N)N1c1cccc(SCc2ccccc2)c1
CHEMBL7357,64.57,=,Ki,7.19,1274,CC1(C)N=C(N)N=C(N)N1c1cccc(OCc2ccccc2)c1
CHEMBL105759,17000.0,=,IC50,4.77,169003,COc1ccc(-c2nc3c(N)nc(N)nc3[nH]2)c(OC)c1OC
