chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL68920,41.0,=,IC50,7.39,107067,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL68920,300.0,=,IC50,6.52,107067,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL68920,7820.0,=,IC50,5.11,107067,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL69960,170.0,=,IC50,6.77,107375,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL69960,40.0,=,IC50,7.4,107375,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL69960,440.0,=,IC50,6.36,107375,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL137635,9300.0,=,IC50,5.03,225105,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12
CHEMBL77085,96000.0,=,IC50,4.02,122953,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-]
CHEMBL77085,24000.0,=,Ki,4.62,122953,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-]
CHEMBL443268,5310.0,=,IC50,5.28,107340,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21
CHEMBL76589,125.0,=,IC50,6.9,122396,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1
CHEMBL76904,11000.0,=,Ki,4.96,122795,N#CC(C#N)=Cc1ccc(O)c(O)c1
CHEMBL304271,0.45,=,IC50,9.35,106614,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1
CHEMBL296407,3500.0,=,Ki,5.46,69368,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O
CHEMBL309625,60000.0,=,IC50,4.22,122524,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1
CHEMBL310798,3000.0,=,IC50,5.52,122713,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1
CHEMBL310798,1000.0,=,Ki,6.0,122713,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1
CHEMBL135592,8000.0,=,IC50,5.1,225145,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1
CHEMBL308134,49000.0,=,Ki,4.31,122954,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1
