chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL431611,31.0,=,IC50,7.51,138181,Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2
CHEMBL316132,28.0,=,IC50,7.55,137607,Oc1ccc2c(c1)S[C@H](C1CCCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2
CHEMBL304552,143.0,=,IC50,6.84,109055,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1
CHEMBL85881,40.0,=,IC50,7.4,138125,Oc1ccc2c(c1)S[C@H](CC1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2
CHEMBL85536,60.0,=,IC50,7.22,138345,Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2
CHEMBL83451,8202.0,=,IC50,5.09,138346,Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2
CHEMBL267385,1.8,=,IC50,8.74,5474,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccc(OCCN4CCCCC4)cc2C3)cc1
CHEMBL315761,361.0,=,IC50,6.44,138301,Oc1ccc2c(c1)S[C@H](c1ccco1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2
CHEMBL281499,2.1,=,IC50,8.68,34190,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)cc1
CHEMBL25228,103.0,=,IC50,6.99,34248,O=C1c2ccccc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12
CHEMBL432454,223.0,=,IC50,6.65,34249,O=C1c2ccc(OCCN3CCCCC3)cc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12
CHEMBL24950,28.0,=,IC50,7.55,34246,Oc1cccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)c1
CHEMBL419110,43.0,=,IC50,7.37,138182,CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1
CHEMBL85090,16.0,=,IC50,7.8,138178,Oc1ccc2c(c1)S[C@H](C1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2
CHEMBL83060,8254.0,=,IC50,5.08,138305,Oc1ccc2c(c1)S[C@H](c1cccnc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2
CHEMBL85650,38.0,=,IC50,7.42,138209,CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1
CHEMBL313941,308.0,=,IC50,6.51,137851,Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1
CHEMBL313825,105.0,=,IC50,6.98,137397,CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1
CHEMBL25580,329.0,=,IC50,6.48,34247,O=C1c2ccccc2C(=O)C12C(c1cccc(O)c1)=Cc1cc(O)ccc12
CHEMBL83623,162.0,=,IC50,6.79,137809,Oc1ccc2c(c1)S[C@H](c1cccs1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2
CHEMBL315271,34.0,=,IC50,7.47,138156,Oc1ccc2c(c1)S[C@H](CC1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2
CHEMBL59146,380.0,=,Ki,6.42,88137,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1ccccc1
CHEMBL60538,4.0,=,Ki,8.4,87114,Oc1ccc2c(c1)CCC(c1ccccc1)N2Cc1ccc(OCCN2CCCCC2)cc1
CHEMBL122237,259.0,=,IC50,6.59,204022,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(COCCN3CCCCC3)cc2)cc1
CHEMBL334096,31.0,=,IC50,7.51,202826,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(C3=CCNCC3)cc2)cc1
CHEMBL121978,59.0,=,IC50,7.23,204021,CN1CCN(c2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1
CHEMBL293599,65.0,=,Ki,7.19,87157,Oc1ccc(C2CCc3cc(O)ccc3N2)cc1
CHEMBL56306,4.9,=,Ki,8.31,88166,Oc1ccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCC3)cc2)cc1
CHEMBL58688,5.5,=,Ki,8.26,87113,Oc1cccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)c1
