chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL460657,58000.0,=,Kd,4.24,465443,CCCCCCCC/C=C/CCCCCCCC(=O)O
CHEMBL46403,80000.0,=,Kd,4.1,66234,CCCCCCCCCCCCCCCCCC(=O)O
CHEMBL15594,180.0,=,Kd,6.75,16437,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
CHEMBL82293,83000.0,=,Kd,4.08,133028,CCCCCCCCCCCCCCCC(=O)O
CHEMBL362888,10000.0,=,IC50,5.0,307806,O=C(O)c1ccccc1S(=O)(=O)n1ccc2c(F)cccc21
CHEMBL184005,12000.0,=,IC50,4.92,307812,O=C(O)c1ccccc1S(=O)(=O)n1ccc2cc(Br)ccc21
CHEMBL360376,1000.0,=,IC50,6.0,307914,O=C(CSc1nc(O)cc(C(F)(F)F)n1)N1CCCCC1
CHEMBL184136,600.0,=,IC50,6.22,307846,COc1ccc(CSc2nc(O)cc(C(F)(F)F)n2)cc1
CHEMBL184125,37000.0,=,IC50,4.43,307853,O=C(CNc1nc(O)cc(C(F)(F)F)n1)N1CCCCC1
CHEMBL182801,3900.0,=,IC50,5.41,307788,COc1ccc(CNc2nc(O)cc(C(F)(F)F)n2)cc1
CHEMBL365655,33000.0,=,IC50,4.48,307799,Oc1cc(C(F)(F)F)nc(NCc2ccccc2)n1
CHEMBL184852,2900.0,=,IC50,5.54,308017,Oc1cc(C(F)(F)F)nc(NCc2ccc(Cl)cc2)n1
CHEMBL363720,33000.0,=,IC50,4.48,308026,Oc1cc(C(F)(F)F)nc(NCc2cccc(Cl)c2)n1
CHEMBL185924,23000.0,=,IC50,4.64,307945,Oc1cc(C(F)(F)F)nc(NCc2ccccc2Cl)n1
CHEMBL185467,33000.0,=,IC50,4.48,308049,Cc1ccc(CNc2nc(O)cc(C(F)(F)F)n2)cc1
CHEMBL184142,4000.0,=,IC50,5.4,307988,CN(Cc1ccc(Cl)cc1)c1nc(O)cc(C(F)(F)F)n1
CHEMBL185326,24000.0,=,IC50,4.62,307995,CN(Cc1ccccc1)c1nc(O)cc(C(F)(F)F)n1
CHEMBL184038,25000.0,=,IC50,4.6,307951,COc1ccc(CCc2nc(O)cc(C(F)(F)F)n2)cc1
CHEMBL185123,47000.0,=,IC50,4.33,307673,CCc1cc(O)nc(NCc2ccc(Cl)cc2)n1
CHEMBL82293,930.0,=,IC50,6.03,133028,CCCCCCCCCCCCCCCC(=O)O
CHEMBL184817,9400.0,=,IC50,5.03,307909,O=C(O)CCn1c2ccccc2c2ccccc21
CHEMBL185595,570.0,=,IC50,6.24,308015,O=C(O)CCCn1c2ccccc2c2ccccc21
CHEMBL184795,800.0,=,IC50,6.1,308016,O=C(O)CCCCn1c2ccccc2c2ccccc21
CHEMBL363032,1100.0,=,IC50,5.96,308101,O=C(O)c1sccc1S(=O)(=O)n1c2ccccc2c2ccccc21
CHEMBL364141,4300.0,=,IC50,5.37,307944,O=C(O)c1ccccc1S(=O)(=O)n1c2ccccc2c2ccccc21
CHEMBL183802,1500.0,=,IC50,5.82,308038,Cc1cn(S(=O)(=O)c2ccsc2C(=O)O)c2ccccc12
CHEMBL361037,7400.0,=,IC50,5.13,308047,Cc1cccc2c1ccn2S(=O)(=O)c1ccsc1C(=O)O
CHEMBL360007,7100.0,=,IC50,5.15,307986,Cc1ccc2c(ccn2S(=O)(=O)c2ccsc2C(=O)O)c1
CHEMBL184605,1300.0,=,IC50,5.89,307987,Cc1ccc2ccn(S(=O)(=O)c3ccsc3C(=O)O)c2c1
CHEMBL359763,13000.0,=,IC50,4.89,308096,COc1cccc2c1ccn2S(=O)(=O)c1ccsc1C(=O)O
CHEMBL183798,10000.0,=,IC50,5.0,307949,COc1ccc2c(ccn2S(=O)(=O)c2ccsc2C(=O)O)c1
CHEMBL185553,2600.0,=,IC50,5.58,307662,COc1ccc2ccn(S(=O)(=O)c3ccsc3C(=O)O)c2c1
CHEMBL185362,2600.0,=,IC50,5.58,307671,COc1cccc2ccn(S(=O)(=O)c3ccsc3C(=O)O)c12
CHEMBL365476,3500.0,=,IC50,5.46,307762,O=C(O)c1sccc1S(=O)(=O)n1ccc2cc(F)ccc21
CHEMBL184846,4700.0,=,IC50,5.33,307763,O=C(O)c1sccc1S(=O)(=O)n1ccc2ccc(F)cc21
