chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL607707,4400.0,=,Kd,5.36,604615,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
CHEMBL388978,68.0,=,Kd,7.17,373381,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL201307,4000.0,=,IC50,5.4,338094,COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN1CCC(CO)CC1
CHEMBL382608,100.0,=,IC50,7.0,344348,COc1cc(Nc2ncc(Br)c(Nc3ccccn3)n2)cc(OC)c1OC
CHEMBL426311,200.0,=,IC50,6.7,345111,COc1cc(Nc2ncc3c(n2)N(c2ccccn2)CCC3)cc(OC)c1OC
CHEMBL383300,200.0,=,IC50,6.7,345110,COc1cc(Nc2ncc3c(n2)N(c2ccccn2)C(O)CC3)cc(OC)c1OC
CHEMBL383241,100.0,=,IC50,7.0,344882,COc1cc(Nc2ncc3c(n2)N(c2ccccn2)CC3)cc(OC)c1OC
CHEMBL204933,200.0,=,IC50,6.7,344606,CCOC(=O)Cc1cnc(Nc2cc(OC)c(OC)c(OC)c2)nc1Nc1ccccn1
CHEMBL207147,800.0,=,IC50,6.1,344643,COc1cc(Nc2ncc3ccn(-c4ccnc(Cl)c4)c3n2)cc(OC)c1OC
CHEMBL383672,800.0,=,IC50,6.1,344637,COc1cc(Nc2ncc3ccn(-c4ccnc(Cl)n4)c3n2)cc(OC)c1OC
CHEMBL205316,300.0,=,IC50,6.52,344627,COc1ccncc1-n1ccc2cnc(Nc3cc(OC)c(OC)c(OC)c3)nc21
CHEMBL383006,500.0,=,IC50,6.3,345089,COc1cc(Nc2ncc3ccn(-c4cnccc4Cl)c3n2)cc(OC)c1OC
CHEMBL207820,800.0,=,IC50,6.1,345088,COc1cc(Nc2ncc3ccn(-c4cnccc4F)c3n2)cc(OC)c1OC
CHEMBL205588,500.0,=,IC50,6.3,345079,COc1cc(Nc2ncc3ccn(-c4nccs4)c3n2)cc(OC)c1OC
CHEMBL381161,9000.0,=,IC50,5.05,345101,COc1cc(Nc2ncc3ccn(-c4ccncc4)c3n2)cc(OC)c1OC
CHEMBL378811,100.0,=,IC50,7.0,345100,COc1cc(Nc2ncc3ccn(-c4cccnc4)c3n2)cc(OC)c1OC
CHEMBL205098,200.0,=,IC50,6.7,345093,COc1cc(Nc2ncc3ccn(-c4ccccn4)c3n2)cc(OC)c1OC
CHEMBL425599,7500.0,=,IC50,5.12,344675,COc1cc(Nc2ncc3ccn(CCc4ccncc4)c3n2)cc(OC)c1OC
