chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL432941,1350.0,=,IC50,5.87,144815,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1
CHEMBL420609,1080.0,=,IC50,5.97,144433,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2
CHEMBL419682,17500.0,=,IC50,4.76,145377,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1
CHEMBL88462,17700.0,=,IC50,4.75,143990,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2
CHEMBL431996,220.0,=,IC50,6.66,144468,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2
CHEMBL88771,1270.0,=,IC50,5.9,145086,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2
CHEMBL91815,880.0,=,IC50,6.06,144811,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1
CHEMBL328029,10500.0,=,IC50,4.98,145343,O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2
CHEMBL314995,270.0,=,IC50,6.57,144653,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2
CHEMBL88483,220.0,=,IC50,6.66,145336,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2
CHEMBL89363,30.0,=,IC50,7.52,141118,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O
CHEMBL276711,7080.0,=,IC50,5.15,12911,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
CHEMBL89010,310.0,=,IC50,6.51,145416,O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2
CHEMBL86531,200.0,=,IC50,6.7,144436,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2
CHEMBL315753,270.0,=,IC50,6.57,144685,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2
CHEMBL88606,13300.0,=,IC50,4.88,145380,O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2
CHEMBL313821,80.0,=,IC50,7.1,144788,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2
CHEMBL111913,5800.0,=,IC50,5.24,183214,CC(=O)Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
CHEMBL322298,210.0,=,IC50,6.68,182884,CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21
CHEMBL111434,2400.0,=,IC50,5.62,183293,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21
CHEMBL111197,370.0,=,IC50,6.43,183223,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1
CHEMBL113128,6800.0,=,IC50,5.17,182653,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NC3CCCCC3)nc21
CHEMBL109547,1500.0,=,IC50,5.82,183073,CCOC(=O)c1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1
CHEMBL323775,39.0,=,IC50,7.41,183382,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(OCCN4CCCCC4)cc3)nc21
CHEMBL111365,540.0,=,IC50,6.27,182916,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1
CHEMBL113521,66.0,=,IC50,7.18,183779,CCNCCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
CHEMBL110034,3150.0,=,IC50,5.5,183026,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3cccnc3)nc21
CHEMBL113023,450.0,=,IC50,6.35,183152,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C
