chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL140442,3.4,=,IC50,8.47,234597,COC(=O)CC[C@H](CCO)C[C@@H](C)[C@@H]1CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\C)[C@@H](OC)C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O1
CHEMBL33094,1100.0,=,Ki,5.96,46762,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)NCCCc1ccccc1
CHEMBL118858,8.7,=,Ki,8.06,196043,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)SCCCc1cccnc1
CHEMBL118937,6.0,=,Ki,8.22,195341,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)SCCCc1ccc2ccccc2c1
CHEMBL6367,7.5,=,Ki,8.12,925,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1
CHEMBL326317,820.0,=,Ki,6.09,195152,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)NCCCc1cccnc1
CHEMBL119228,11.0,=,Ki,7.96,195484,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)SCCCc1ccccc1
CHEMBL119580,86.0,=,Ki,7.07,195962,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)SCCC(c1ccccc1)c1ccccc1
CHEMBL118978,420.0,=,Ki,6.38,195154,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)NCCC(c1ccccc1)c1ccccc1
CHEMBL119280,12.2,=,Ki,7.91,195486,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)SCCc1ccccc1
CHEMBL413,0.6,=,IC50,9.22,923,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
CHEMBL119571,8.9,=,Ki,8.05,195275,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)SCCCc1ccc(OC)cc1
CHEMBL118884,7.0,=,Ki,8.15,195340,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)SCCC(c1ccccc1)c1ccccc1
CHEMBL70822,1.6,=,IC50,8.8,110308,CC[C@@H]1/C=C(\C)C[C@H](C)[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
CHEMBL127475,8300.0,=,Ki,5.08,209760,CCC(C)(C)C(=O)C(=O)N1C2CCCC1C(=O)OCCCCOC2=O
CHEMBL71849,10.0,=,IC50,8.0,110410,CC[C@@H]1/C=C(\C)C[C@H](C)[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Oc4ccccc4)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
CHEMBL126473,280.0,=,Ki,6.55,209718,COc1cc(C(=O)C(=O)N2[C@H]3CCC[C@@H]2C(=O)OCCCCOC3=O)cc(OC)c1OC
CHEMBL276123,1200.0,=,Ki,5.92,210111,COc1cc(C(=O)C(=O)N2[C@H]3CCC[C@@H]2C(=O)OCC(COCc2ccccc2)COC3=O)cc(OC)c1OC
CHEMBL339514,1500.0,=,Ki,5.82,209790,COc1cc(C(=O)C(=O)N2[C@H]3CCC[C@@H]2C(=O)OCC(CO[Si](C)(C)C(C)(C)C)COC3=O)cc(OC)c1OC
CHEMBL303180,2.8,=,IC50,8.55,110771,CC[C@@H]1/C=C(\C)[C@@H](O)[C@H](C)[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Oc4ccc5c(ccn5C)c4)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
CHEMBL126512,10000.0,=,Ki,5.0,210169,CCC(C)(C)C(=O)C(=O)N1[C@H]2CCC[C@@H]1C(=O)OCCCOC2=O
CHEMBL303852,0.7,=,IC50,9.15,110772,CC[C@@H]1/C=C(\C)[C@@H](O)[C@H](C)[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
CHEMBL302040,74.8,=,IC50,7.13,110553,CC[C@@H]1/C=C(\C)C[C@H](C)[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Oc4ccc5ccccc5c4)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
