chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL327756,599.79,=,IC50,6.22,163239,O=P(O)(O)C(Nc1nccn1-c1ccccc1)P(=O)(O)O
CHEMBL101716,246.04,=,IC50,6.61,163063,CN(CCCOc1ccccc1)CCCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL293116,346.74,=,IC50,6.46,84133,Cc1csc(NC(P(=O)(O)O)P(=O)(O)O)n1
CHEMBL101407,3.119,=,IC50,8.51,163577,CN(CCCOc1ccc(Cl)cc1)CCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL100441,3.89,=,IC50,8.41,163387,Cc1cccc(CCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O)c1
CHEMBL319519,4.074,=,IC50,8.39,163232,CN(CCOc1ccc(Cl)cc1)CCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL97920,1174.9,=,IC50,5.93,163702,CCCCN(CCCOc1ccccc1)CCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL100835,4.266,=,IC50,8.37,162850,Cc1cccc(OCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O)c1
CHEMBL98080,632.41,=,IC50,6.2,163240,CC(C)c1cnc(NC(P(=O)(O)O)P(=O)(O)O)s1
CHEMBL101886,1.288,=,IC50,8.89,164188,CN(CCCOc1ccccc1)CCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL100508,1.816,=,IC50,8.74,164190,CN(CCSc1ccccc1)CCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL318071,10.47,=,IC50,7.98,163430,Cc1nccn1CC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL316663,10.07,=,IC50,8.0,163662,CN(CCCCOc1ccccc1)CCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL54537,2.594,=,IC50,8.59,83941,CN(CCCc1ccccc1)CCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL98703,5.0,=,IC50,8.3,163615,Cc1ncn(CC(O)(P(=O)(O)O)P(=O)(O)O)c1C
CHEMBL100335,5.129,=,IC50,8.29,163598,Cc1cnc(NC(P(=O)(O)O)P(=O)(O)O)s1
CHEMBL100827,0.618,=,IC50,9.21,163237,CN(CCCSc1ccccc1)CCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL98787,64.57,=,IC50,7.19,163352,O=C(c1ccccc1)n1ccnc1CC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL101647,157.4,=,IC50,6.8,163322,O=P(O)(O)C(O)(CCn1ccnc1)P(=O)(O)O
CHEMBL318504,185.35,=,IC50,6.73,163285,O=P(O)(O)C(Nc1nccn1Cc1ccccc1)P(=O)(O)O
CHEMBL99006,2197.86,=,IC50,5.66,163445,O=P(O)(O)C(O)(Cn1cncn1)P(=O)(O)O
CHEMBL53982,3.981,=,IC50,8.4,84623,CN(CCOc1ccccc1)CCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL98476,2.692,=,IC50,8.57,163627,CCCCc1cnc(NC(P(=O)(O)O)P(=O)(O)O)s1
CHEMBL323300,18.45,=,IC50,7.73,163364,Cn1ccnc1NC(P(=O)(O)O)P(=O)(O)O
