chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL3350088,150.0,=,Ki,6.82,1798699,O=C(CCc1ccccc1)NC[C@@H]1N[C@H](CO)[C@H](O)[C@@H]1O
CHEMBL3350093,550.0,=,Ki,6.26,1798704,O=C(NC[C@H]1N[C@H](CO)[C@H](O)[C@@H]1O)c1cccc2ccccc12
CHEMBL3350086,25.1,=,Ki,7.6,1798697,NC[C@H]1N[C@H](CO)[C@H](O)[C@@H]1O
CHEMBL3350089,100.0,=,Ki,7.0,1798700,O=S(=O)(NC[C@H]1N[C@H](CO)[C@H](O)[C@@H]1O)c1cccc2ccccc12
CHEMBL3350092,1.2,=,Ki,8.92,1798703,CCN(CC)c1ccc2cc(C(=O)NC[C@H]3N[C@H](CO)[C@H](O)[C@@H]3O)c(=O)oc2c1
CHEMBL469844,200.0,=,Ki,6.7,443650,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H]1O
CHEMBL3350087,100.0,=,Ki,7.0,1798698,CCCCCCCCCCCC(=O)NC[C@H]1N[C@H](CO)[C@H](O)[C@@H]1O
CHEMBL13922,12800.0,=,Ki,4.89,13092,O[C@H]1CNC[C@H](O)[C@@H](O)[C@@H]1O
CHEMBL87120,83800.0,=,IC50,4.08,144304,NC1C(O)C(O)C(O)C1O
CHEMBL87120,7780.0,=,IC50,5.11,144304,NC1C(O)C(O)C(O)C1O
CHEMBL86865,2160.0,=,IC50,5.67,143727,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O
CHEMBL86865,200.0,=,IC50,6.7,143727,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O
CHEMBL87120,11700.0,=,IC50,4.93,144304,NC1C(O)C(O)C(O)C1O
CHEMBL86865,6390.0,=,IC50,5.19,143727,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O
CHEMBL86865,939.0,=,IC50,6.03,143727,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O
CHEMBL86865,24000.0,=,IC50,4.62,143727,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O
CHEMBL88413,29300.0,=,IC50,4.53,143792,NC1C(O)C(O)C(O)C1(O)CO
