chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL222519,260.0,=,Ki,6.58,370658,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12
CHEMBL275040,12221.0,=,Ki,4.91,11671,C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O
CHEMBL337577,218.0,=,Ki,6.66,231573,N[C@@H](Cn1c2c(c(=O)[nH]c1=O)CCC2)C(=O)O
CHEMBL121553,101.0,=,Ki,7.0,199593,N[C@@H](Cn1nc(I)c(=O)[nH]c1=O)C(=O)O
CHEMBL122005,898.0,=,Ki,6.05,198978,N[C@@H](Cn1ccc(=O)[nH]c1=O)C(=O)O
CHEMBL122656,461.0,=,Ki,6.34,199578,N[C@@H](Cn1ncc(=O)[nH]c1=O)C(=O)O
CHEMBL120808,372.0,=,Ki,6.43,199577,Cc1nn(C[C@H](N)C(=O)O)c(=O)[nH]c1=O
CHEMBL331696,16.7,=,Ki,7.78,199555,N[C@@H](Cn1nc(Cl)c(=O)[nH]c1=O)C(=O)O
CHEMBL123132,25.1,=,Ki,7.6,199497,N[C@@H](Cn1cc(F)c(=O)[nH]c1=O)C(=O)O
CHEMBL121915,176.0,=,Ki,6.75,199610,N[C@@H](Cn1cc(I)c(=O)[nH]c1=O)C(=O)O
CHEMBL331644,19.3,=,Ki,7.71,199443,N[C@@H](Cn1nc(Br)c(=O)[nH]c1=O)C(=O)O
CHEMBL333964,101.0,=,Ki,7.0,198946,N[C@@H](Cn1cc(Br)c(=O)[nH]c1=O)C(=O)O
CHEMBL121191,115.0,=,Ki,6.94,199591,N[C@@H](Cn1cc([N+](=O)[O-])c(=O)[nH]c1=O)C(=O)O
CHEMBL276815,107.0,=,Ki,6.97,14864,Cc1onc(O)c1C[C@H](N)C(=O)O
CHEMBL121388,53.1,=,Ki,7.28,198912,N[C@@H](Cn1cc(Cl)c(=O)[nH]c1=O)C(=O)O
CHEMBL298800,44900.0,=,Ki,4.35,80041,CC(C)/C=C(/C[C@H](N)C(=O)O)C(=O)O
CHEMBL275040,12200.0,=,Ki,4.91,11671,C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O
CHEMBL51660,3680.0,=,Ki,5.43,79414,N[C@@H](CC(C(=O)O)=C1CCCC1)C(=O)O
CHEMBL575060,940.0,=,Ki,6.03,573408,N[C@@H](CCC(=O)O)C(=O)O
CHEMBL299180,3700.0,=,Ki,5.43,79627,CC(C)/C=C(\C[C@H](N)C(=O)O)C(=O)O
CHEMBL72366,370.0,=,Ki,6.43,114918,NC(Cc1onc(O)c1Cl)C(=O)O
CHEMBL13378,17.0,=,Ki,7.77,11595,Cc1onc(O)c1CC(N)C(=O)O
CHEMBL73698,250.0,=,Ki,6.6,114960,NC(Cc1onc(O)c1Br)C(=O)O
CHEMBL73698,5400.0,=,EC50,5.27,114960,NC(Cc1onc(O)c1Br)C(=O)O
CHEMBL14935,2210.0,=,Ki,5.66,14665,O=C(O)[C@@H]1C[C@H]2C[C@@H](CCc3nn[nH]n3)CC[C@H]2CN1
CHEMBL189985,8260.0,=,Ki,5.08,317103,O=C(O)[C@@H]1C[C@H]2C[C@@H](Oc3ccccc3-c3nn[nH]n3)CC[C@H]2CN1
CHEMBL191249,5510.0,=,Ki,5.26,317749,O=C(O)[C@@H]1C[C@H]2C[C@@H](Nc3ccccc3-c3nn[nH]n3)CC[C@H]2CN1
CHEMBL222519,210.0,=,Ki,6.68,370658,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12
CHEMBL372643,1610.0,=,Ki,5.79,322165,CCCn1nnc(-c2onc(O)c2CC(N)C(=O)O)n1
CHEMBL193087,2930.0,=,Ki,5.53,321681,CC(C)n1nnc(-c2onc(O)c2CC(N)C(=O)O)n1
CHEMBL276815,16.8,=,Ki,7.78,14864,Cc1onc(O)c1C[C@H](N)C(=O)O
CHEMBL370038,3.89,=,Ki,8.41,321760,Cn1nnc(-c2onc(O)c2C[C@H](N)C(=O)O)n1
CHEMBL370941,80.2,=,Ki,7.1,322021,CCn1nnc(-c2onc(O)c2CC(N)C(=O)O)n1
CHEMBL217111,333.0,=,EC50,6.48,359283,CC(C)(C)c1ccc(-c2c(C(=O)O)sc(S(C)(=O)=O)c2C#N)cc1
CHEMBL435582,559.0,=,EC50,6.25,103927,CC(CNS(=O)(=O)C(C)C)c1ccc(-c2ccc(C#N)cc2)cc1
CHEMBL214834,78.0,=,EC50,7.11,359315,CC(C)(C)c1ccc(-c2c(C(=O)O)sc(C(F)(F)F)c2C#N)cc1
CHEMBL214833,47.0,=,EC50,7.33,359314,CCc1sc(C(=O)O)c(-c2ccc(C(C)(C)C)cc2)c1C#N
CHEMBL387304,1137.0,=,EC50,5.94,359285,CC(C)(C)c1ccc(-c2c(C(=O)O)sc(N3CCCC3)c2C#N)cc1
CHEMBL218347,176.0,=,EC50,6.75,359284,CN(C)c1sc(C(=O)O)c(-c2ccc(C(C)(C)C)cc2)c1C#N
CHEMBL384010,684.0,=,EC50,6.17,359357,CSc1c(C#N)c(-c2ccc(C(C)(C)C)cc2)c(C(=O)O)n1C
CHEMBL213197,97.0,=,EC50,7.01,359019,CSc1sc(C(=O)O)c(-c2ccc(C(C)(C)C)cc2)c1C#N
CHEMBL384847,82.0,=,EC50,7.09,359613,CCc1c(C#N)c(-c2ccc(-c3ccccc3C#N)cc2)c(C(=O)O)n1C
CHEMBL214804,395.0,=,EC50,6.4,359612,CCc1c(C#N)c(-c2ccc(-c3cccc(C#N)c3)cc2)c(C(=O)O)n1C
CHEMBL384953,423.0,=,EC50,6.37,359587,CCc1c(C#N)c(-c2ccc(-c3ccc(C#N)cc3)cc2)c(C(=O)O)n1C
CHEMBL384402,42.0,=,EC50,7.38,359910,CCc1c(C#N)c(-c2ccc(-c3ccccc3Cl)cc2)c(C(=O)O)n1C
CHEMBL217074,186.0,=,EC50,6.73,359884,CCc1c(C#N)c(-c2ccc(-c3cccc(Cl)c3)cc2)c(C(=O)O)n1C
CHEMBL385652,142.0,=,EC50,6.85,359883,CCc1c(C#N)c(-c2ccc(-c3ccc(Cl)cc3)cc2)c(C(=O)O)n1C
CHEMBL215575,111.0,=,EC50,6.96,359843,CCc1c(C#N)c(-c2ccc(-c3ccccc3F)cc2)c(C(=O)O)n1C
CHEMBL215574,426.0,=,EC50,6.37,359842,CCc1c(C#N)c(-c2ccc(-c3cccc(F)c3)cc2)c(C(=O)O)n1C
CHEMBL214599,345.0,=,EC50,6.46,359811,CCc1c(C#N)c(-c2ccc(-c3ccc(F)cc3)cc2)c(C(=O)O)n1C
CHEMBL215090,57.0,=,EC50,7.24,359810,CCc1c(C#N)c(-c2ccc(-c3ccccc3SC)cc2)c(C(=O)O)n1C
CHEMBL384271,83.0,=,EC50,7.08,359765,CCOc1ccccc1-c1ccc(-c2c(C#N)c(CC)n(C)c2C(=O)O)cc1
CHEMBL215013,280.0,=,EC50,6.55,359521,CCc1c(C#N)c(-c2ccc(-c3ccccc3OC)cc2)c(C(=O)O)n1C
CHEMBL215255,391.0,=,EC50,6.41,359493,CCc1c(C#N)c(-c2ccc(-c3cccc(OC)c3)cc2)c(C(=O)O)n1C
CHEMBL385384,423.0,=,EC50,6.37,359492,CCc1c(C#N)c(-c2ccc(-c3ccc(OC)cc3)cc2)c(C(=O)O)n1C
CHEMBL214903,270.0,=,EC50,6.57,359465,CCc1c(C#N)c(-c2ccc(-c3ccccc3C)cc2)c(C(=O)O)n1C
CHEMBL215877,965.0,=,EC50,6.01,359464,CCc1c(C#N)c(-c2ccc(-c3cccc(C)c3)cc2)c(C(=O)O)n1C
CHEMBL214844,412.0,=,EC50,6.38,359433,CCc1c(C#N)c(-c2ccc(-c3ccc(C)cc3)cc2)c(C(=O)O)n1C
CHEMBL385608,103.0,=,EC50,6.99,359432,CCc1c(C#N)c(-c2ccc(-c3ccccc3)cc2)c(C(=O)O)n1C
CHEMBL215272,308.0,=,EC50,6.51,359909,Cc1c(C#N)c(-c2ccc(-c3ccccc3)cc2)c(C(=O)O)n1C
CHEMBL385220,174.0,=,EC50,6.76,359388,CSc1c(C#N)c(-c2ccc(-c3ccccc3)cc2)c(C(=O)O)n1C
CHEMBL384847,73.0,=,EC50,7.14,359613,CCc1c(C#N)c(-c2ccc(-c3ccccc3C#N)cc2)c(C(=O)O)n1C
CHEMBL214804,974.0,=,EC50,6.01,359612,CCc1c(C#N)c(-c2ccc(-c3cccc(C#N)c3)cc2)c(C(=O)O)n1C
CHEMBL384953,370.0,=,EC50,6.43,359587,CCc1c(C#N)c(-c2ccc(-c3ccc(C#N)cc3)cc2)c(C(=O)O)n1C
CHEMBL384402,55.0,=,EC50,7.26,359910,CCc1c(C#N)c(-c2ccc(-c3ccccc3Cl)cc2)c(C(=O)O)n1C
CHEMBL217074,900.0,=,EC50,6.05,359884,CCc1c(C#N)c(-c2ccc(-c3cccc(Cl)c3)cc2)c(C(=O)O)n1C
CHEMBL385652,984.0,=,EC50,6.01,359883,CCc1c(C#N)c(-c2ccc(-c3ccc(Cl)cc3)cc2)c(C(=O)O)n1C
CHEMBL215575,143.0,=,EC50,6.84,359843,CCc1c(C#N)c(-c2ccc(-c3ccccc3F)cc2)c(C(=O)O)n1C
CHEMBL215574,1490.0,=,EC50,5.83,359842,CCc1c(C#N)c(-c2ccc(-c3cccc(F)c3)cc2)c(C(=O)O)n1C
CHEMBL214599,1035.0,=,EC50,5.99,359811,CCc1c(C#N)c(-c2ccc(-c3ccc(F)cc3)cc2)c(C(=O)O)n1C
CHEMBL215090,32.0,=,EC50,7.5,359810,CCc1c(C#N)c(-c2ccc(-c3ccccc3SC)cc2)c(C(=O)O)n1C
CHEMBL384271,36.0,=,EC50,7.44,359765,CCOc1ccccc1-c1ccc(-c2c(C#N)c(CC)n(C)c2C(=O)O)cc1
