chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL2093007,3300.0,=,IC50,5.48,1368196,C/C=C1\NC(=O)[C@@H](CSC)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCSC)OC(=O)[C@H](C(C)C)NC1=O
CHEMBL343448,47.0,=,IC50,7.33,246935,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O
CHEMBL146250,3.9,=,IC50,8.41,246802,C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O
CHEMBL336935,270.0,=,IC50,6.57,232370,O=CN(O)CCCCCC(C(=O)Nc1ccc2ncccc2c1)C(=O)Nc1ccc2ncccc2c1
CHEMBL140525,200.0,=,IC50,6.7,232394,O=CN(O)CCCCCC(C(=O)Nc1cnc2ccccc2c1)C(=O)Nc1cnc2ccccc2c1
CHEMBL141082,19000.0,=,IC50,4.72,232358,O=CN(O)CCCCCC(=O)Nc1ccccc1
CHEMBL141909,890.0,=,IC50,6.05,231664,O=CN(O)CCCCCCCC(=O)Nc1ccc2ccccc2c1
CHEMBL141885,41000.0,=,IC50,4.39,231665,O=CN(O)CCCCCNC(=O)CCc1ccccc1
CHEMBL137875,5900.0,=,IC50,5.23,231687,O=CN(O)CCCCCCCC(=O)Nc1cccc2ccccc12
CHEMBL139193,11000.0,=,IC50,4.96,232024,O=CN(O)CCCCCCC(=O)Nc1ccccc1
CHEMBL337584,26000.0,=,IC50,4.58,231631,O=CN(O)CCCCCNC(=O)c1ccccc1
CHEMBL343717,1400.0,=,IC50,5.85,232035,O=CN(O)CCCCCNC(=O)c1ccc2ccccc2c1
CHEMBL139192,7800.0,=,IC50,5.11,232023,O=CN(O)CCCCCCCC(=O)Nc1ccccc1
CHEMBL98,73.0,=,IC50,7.14,11305,O=C(CCCCCCC(=O)Nc1ccccc1)NO
CHEMBL99,39.0,=,IC50,7.41,11501,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1
CHEMBL216641,4.0,=,IC50,8.4,363404,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)NO)C(=O)NCCc3c(-c4ccccc4)[nH]c4ccccc34)c2c1
CHEMBL217651,170.0,=,IC50,6.77,363494,CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1
CHEMBL389687,156.0,=,IC50,6.81,382029,N[C@@H](Cc1ccccc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1
CHEMBL180911,6460.0,=,IC50,5.19,300856,CN(C)c1ccc(C(=O)NCCCCCNC(=O)CS)cc1
CHEMBL387924,113.0,=,IC50,6.95,382037,O=C(CCCCCCC(=O)Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)NO
CHEMBL227170,205.0,=,IC50,6.69,382035,N[C@@H](Cc1ccc(O)cc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1
CHEMBL389688,167.0,=,IC50,6.78,382033,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1
CHEMBL440018,4640.0,=,IC50,5.33,301132,CN(C)c1ccc(C(=O)NCCCCCCNC(=O)CS)cc1
CHEMBL227120,647.0,=,IC50,6.19,382032,CN(C)c1ccc(NC(=O)NCCCCCCC(=O)NO)cc1
CHEMBL227119,492.0,=,IC50,6.31,382031,CN(C)c1ccc(CNC(=O)NCCC(=O)NO)cc1
CHEMBL227118,1050.0,=,IC50,5.98,382030,O=C(CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)NO
CHEMBL178456,7380.0,=,IC50,5.13,301032,O=C(CS)NCCCCCC(=O)Nc1cccc2cccnc12
CHEMBL236902,272.0,=,IC50,6.57,399050,C[C@H]1CN(c2ccc(C(=O)Nc3ccccc3N)cn2)CCN1C(=O)OCc1ccccc1
CHEMBL235413,60.0,=,IC50,7.22,399333,COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4cccs4)ccc3O)cc2)cc1OC
CHEMBL235411,200.0,=,IC50,6.7,399330,COc1ccc(NCc2ccc(C(=O)Nc3ccccc3O)cc2)cc1OC
CHEMBL235192,70.0,=,IC50,7.16,399327,COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4ccoc4)ccc3N)cc2)cc1OC
CHEMBL392747,100.0,=,IC50,7.0,399319,COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4ccccc4)ccc3N)cc2)cc1OC
CHEMBL237584,80.0,=,IC50,7.1,399317,COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4cccs4)ccc3N)cc2)cc1OC
CHEMBL211625,500.0,=,IC50,6.3,354143,COc1ccc(NCc2ccc(C(=O)Nc3ccccc3N)cc2)cc1OC
CHEMBL235674,100.0,=,IC50,7.0,399306,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
CHEMBL399388,60.0,=,IC50,7.22,399326,COc1ccc(NCc2ccc(C(=O)Nc3cc(-c4ccsc4)ccc3N)cc2)cc1OC
CHEMBL356066,7.0,=,IC50,8.15,234707,O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO
CHEMBL236061,900.0,=,IC50,6.05,399344,COc1ccc(C(=O)Nc2ccccc2N)cc1
CHEMBL393242,200.0,=,IC50,6.7,399343,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc2nccnc2c1
CHEMBL236060,2000.0,=,IC50,5.7,399342,Nc1ccccc1NC(=O)c1ccc2nccnc2c1
CHEMBL235191,900.0,=,IC50,6.05,399340,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1
CHEMBL251144,313.0,=,IC50,6.5,414378,Nc1ccccc1NC(=O)c1ccc(C(C(=O)Nc2ccccc2)C(=O)Nc2ccccc2)cc1
CHEMBL250005,500.0,=,IC50,6.3,416401,COc1ccc(COC(CCCCCC(=O)NO)C(=O)Nc2ccc(OC)cc2)cc1
CHEMBL249198,500.0,=,IC50,6.3,416399,COc1ccc(NC(=O)C(CCCCCC(=O)NO)OCc2ccccc2)cc1
CHEMBL400482,500.0,=,IC50,6.3,416398,O=C(CCCCCC(Oc1cccc(Oc2ccccc2)c1)C(=O)Nc1ccccc1)NO
CHEMBL248798,500.0,=,IC50,6.3,416395,COc1cccc(COC(CCCCCC(=O)NO)C(=O)N(Cc2cccc(OC)c2)c2ccccc2)c1
CHEMBL402719,500.0,=,IC50,6.3,416383,C=CCOC(CCCCCC(=O)NO)C(=O)Nc1ccccc1
CHEMBL251010,500.0,=,IC50,6.3,416382,COC(CCCCCC(=O)NO)C(=O)Nc1ccccc1
CHEMBL251009,500.0,=,IC50,6.3,416381,O=C(CCCCCC(O)C(=O)Nc1ccccc1)NO
CHEMBL402718,500.0,=,IC50,6.3,416380,O=C(CCCCC(OCc1ccccc1)C(=O)Nc1ccccc1)NO
CHEMBL251406,500.0,=,IC50,6.3,416379,CCCOC(CCCCC(=O)NO)C(=O)Nc1ccccc1
CHEMBL251206,500.0,=,IC50,6.3,416378,COC(CCCCC(=O)NO)C(=O)Nc1ccccc1
CHEMBL27759,340.0,=,IC50,6.47,36237,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
CHEMBL253868,72.0,=,IC50,7.14,423415,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
CHEMBL235674,6.0,=,IC50,8.22,399306,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
CHEMBL398420,13.0,=,IC50,7.89,423436,COC(=O)NCc1ccc(C(=O)Nc2cc(-c3ccccc3)ccc2N)cc1
CHEMBL399494,71.0,=,IC50,7.15,423444,CCOC(=O)NCc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1
CHEMBL400721,105.0,=,IC50,6.98,423537,COC(=O)NCc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1
CHEMBL269935,200.0,=,IC50,6.7,436432,O=C(Nc1cc(-c2ccccc2)ccc1O)c1ccccc1
CHEMBL405072,3300.0,=,IC50,5.48,435637,Nc1ccccc1NC(=O)c1ccccc1
CHEMBL271949,360.0,=,IC50,6.44,435639,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccccc1
CHEMBL271741,780.0,=,IC50,6.11,435638,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccccc1
CHEMBL437029,640.0,=,IC50,6.19,435595,C[C@H]1CN(c2ccc(C(=O)Nc3cc(-c4ccccc4)ccc3N)cn2)CCN1C(=O)OCc1ccccc1
CHEMBL235842,49.0,=,IC50,7.31,399341,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1
CHEMBL272401,170.0,=,IC50,6.77,440127,CC(=O)CCCCC[C@H](NC1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1
CHEMBL402363,100.0,=,IC50,7.0,426196,CC(C)[C@H]1NC(=O)[C@@H](C)[C@@H](C/C=C\CCC(=O)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](C)NC1=O
CHEMBL261735,59.0,=,IC50,7.23,429709,CCC(=O)CCCCC[C@H](NC(=O)Cc1c(C)[nH]c2ccc(OC)cc12)c1ncc(-c2ccccc2)[nH]1
CHEMBL406927,880.0,=,IC50,6.06,429752,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)c3nc4ccc(Cl)cc4[nH]3)c2c1
CHEMBL407959,110.0,=,IC50,6.96,429751,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(C)=O)c3ncc(-c4ccccc4)[nH]3)c2c1
