chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL324842,9000.0,=,IC50,5.05,191163,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL304722,1400.0,=,IC50,5.85,103407,O=C(CC(O)CCc1ccc(O)c(O)c1)O[C@H]1Cc2cc(O)c(O)cc2O[C@H]1c1ccc(O)c(O)c1
CHEMBL304722,1000.0,=,IC50,6.0,103407,O=C(CC(O)CCc1ccc(O)c(O)c1)O[C@H]1Cc2cc(O)c(O)cc2O[C@H]1c1ccc(O)c(O)c1
CHEMBL67076,1700.0,=,IC50,5.77,103520,O=C(CCc1ccc(O)c(O)c1)c1ccc(O)c(O)c1O
CHEMBL67076,1000.0,=,IC50,6.0,103520,O=C(CCc1ccc(O)c(O)c1)c1ccc(O)c(O)c1O
CHEMBL177126,250.0,=,IC50,6.6,290480,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1
CHEMBL177126,460.0,=,IC50,6.34,290480,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1
CHEMBL145335,100.0,<,IC50,,242399,O=C(O)C(=O)CC(=O)c1cccc(Cc2cccc(Cl)c2)c1
CHEMBL143614,160.0,=,IC50,6.8,242458,O=C(O)C(=O)CC(=O)c1csc(Cc2ccccc2)c1
CHEMBL143614,100.0,=,IC50,7.0,242458,O=C(O)C(=O)CC(=O)c1csc(Cc2ccccc2)c1
CHEMBL144118,1000.0,=,IC50,6.0,242354,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccc(Cl)cc2)c1
CHEMBL144118,500.0,=,IC50,6.3,242354,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccc(Cl)cc2)c1
CHEMBL286494,10000.0,=,IC50,5.0,36295,Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65
