chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL318730,457.09,=,IC50,6.34,162252,CCc1cc(NCc2ccc3ccccc3c2)c(O)nc1C
CHEMBL68175,32100.0,=,IC50,4.49,106679,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(C)C1
CHEMBL69775,12600.0,=,IC50,4.9,107237,C=C(C)CN1Cc2cccc3[nH]c(=O)n(c23)C(C(C)C)C1
CHEMBL431274,346.74,=,IC50,6.46,161785,CCc1cc(NCc2nc3ccccc3s2)c(O)nc1C
CHEMBL68933,13400.0,=,IC50,4.87,105743,CC1C(C)n2c(S)nc3cccc(c32)CN1CC1CC1
CHEMBL69566,34.0,=,IC50,7.47,107274,CC1Cn2c(S)nc3cc(Cl)cc(c32)CN1CC1CC1
CHEMBL67451,1670.0,=,IC50,5.78,106437,CCCN1Cc2cccc3[nH]c(=S)n(c23)CC1C
CHEMBL121835,501.19,=,IC50,6.3,205034,CCc1cc(NCc2cc3ccccc3s2)c(O)nc1C
CHEMBL125510,338.84,=,IC50,6.47,205592,CCc1cc(NCc2cnc3ccccc3c2)c(O)nc1C
CHEMBL125873,2089.3,=,IC50,5.68,206315,CCc1cc(NCc2cccc3ccccc23)c(O)nc1C
CHEMBL223228,0.75,=,IC50,9.12,374719,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
CHEMBL66043,2220.0,=,IC50,5.65,106092,CC(C)=CCN1Cc2cccc3[nH]c(=S)n(c23)C(C)C1C
CHEMBL288626,5800.0,=,IC50,5.24,60009,S=C(NCN1CCCCC1)Nc1ccc(Br)cn1
CHEMBL420367,46.0,=,IC50,7.34,107251,CC(C)=CCN1CCn2c(=S)[nH]c3ccc(Cl)c(c32)C1
CHEMBL340255,22387.21,=,IC50,4.65,206421,CCc1cc(NCc2c[nH]c3ccccc23)c(O)nc1C
CHEMBL85975,301995.17,=,IC50,3.52,136962,CCc1cc(NCc2cccnc2)c(O)nc1C
CHEMBL593,21.0,=,IC50,7.68,19573,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
CHEMBL66434,60.0,=,IC50,7.22,106440,CC1Cn2c(S)nc3cccc(c32)CN1CC1CC1
CHEMBL57,230.0,=,IC50,6.64,4345,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
CHEMBL67675,180.0,=,IC50,6.75,106247,CC(C)=CCN1Cc2cc(Cl)cc3nc(O)n(c23)CC1C
CHEMBL308644,480.0,=,IC50,6.32,106111,CC(C)=CCN1[C@@H](C)c2cc(Cl)cc3nc(S)n(c23)C[C@H]1C
CHEMBL123968,104712.85,=,IC50,3.98,205562,CCc1cc(NCc2cc3ccncc3o2)c(O)nc1C
CHEMBL125702,144543.98,=,IC50,3.84,205559,CCc1cc(NCc2ccoc2)c(O)nc1C
CHEMBL66155,12.0,=,IC50,7.92,106432,CC(C)=CCN1CCn2c(=S)[nH]c3ccc(Cl)c(c32)C1C
CHEMBL415320,208.93,=,IC50,6.68,162173,CCc1cc(NCc2nc3ccccc3o2)c(O)nc1C
CHEMBL410036,11500.0,=,IC50,4.94,106413,CC(=O)OCCOCn1c2c(c(=O)[nH]c1=O)CNc1ccccc1S2
CHEMBL307994,160.0,=,IC50,6.8,106435,CC(C)=CCN1CCn2c(=O)[nH]c3cc(Cl)cc(c32)C1C
