chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL39102,16.0,=,Ki,7.8,56236,O=C(O)C[C@H](O)CP(=O)(O)CCc1c(Cl)cc(Cl)cc1OCc1ccccc1
CHEMBL39312,3.0,=,Ki,8.52,56273,O=C(O)C[C@H](O)C[C@H](O)CCc1c(Cl)cc(Cl)cc1OCc1ccccc1
CHEMBL93502,19.1,=,IC50,7.72,679347,CCc1c(-c2ccccc2)nc(C(C)C)c(CCP(=O)(O)C[C@H](O)CC(=O)O)c1-c1ccc(F)cc1
CHEMBL175236,13.0,=,IC50,7.89,675324,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
CHEMBL175236,29.0,=,IC50,7.54,675324,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
CHEMBL331453,40.0,=,IC50,7.4,200064,CC(C)c1c(C(=O)OCc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1
CHEMBL320666,29.0,=,IC50,7.54,680830,Cc1cc(F)ccc1C(=C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1nnnn1C)c1ccc(F)cc1C
CHEMBL318256,7900.0,=,IC50,5.1,680810,CC(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)=C(c1ccc(F)cc1)c1ccc(F)cc1
CHEMBL441642,1300.0,=,IC50,5.89,681766,Cc1ccc(C(=C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c2nnnn2C)c2ccc(C)cc2)cc1
CHEMBL503,37.0,=,IC50,7.43,9495,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
CHEMBL97121,1.2,=,IC50,8.92,679395,CC(C)c1nc2c(c(-c3ccc(F)cc3)c1COP(=O)(O)C[C@H](O)CC(=O)O)CCCc1ccccc1-2
CHEMBL432218,28.7,=,IC50,7.54,681661,CC(C)c1nc(-c2cccc3ccccc23)cc(-c2ccc(F)cc2)c1C#CP(=O)(O)C[C@H](O)CC(=O)O
CHEMBL318407,14.9,=,IC50,7.83,680811,CC(C)c1nc(C(c2ccccc2)c2ccccc2)cc(-c2ccc(F)cc2)c1C#CP(=O)(O)C[C@H](O)CC(=O)O
CHEMBL121658,28.0,=,IC50,7.55,200547,CC(C)c1c(Br)c(Br)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1
