chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL414883,19.0,=,Kd,7.72,136087,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1
CHEMBL414883,2.7,=,Kd,8.57,136087,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1
CHEMBL278315,1215.0,=,Kd,5.92,25906,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O
CHEMBL278315,775.0,=,Kd,6.11,25906,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O
CHEMBL262054,2500.0,=,EC50,5.6,286660,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCCCCOc3ccc4c(=O)cc(N5CCOCC5)oc4c3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O
CHEMBL109480,1000.0,=,EC50,6.0,183934,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O
CHEMBL355195,4000.0,=,EC50,5.4,286043,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCCCCCOc3ccc4c(=O)cc(N5CCOCC5)oc4c3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O
CHEMBL173055,28000.0,=,EC50,4.55,288690,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCCCCCCCOc3ccc4c(=O)cc(N5CCOCC5)oc4c3C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O
CHEMBL366754,7000.0,=,EC50,5.16,287748,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCC#Cc3cccc4c(=O)cc(N5CCOCC5)oc34)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O
CHEMBL424579,16000.0,=,EC50,4.8,287018,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCOCCOc3ccc4c(=O)cc(N5CCOCC5)oc4c3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O
CHEMBL173928,26000.0,=,EC50,4.58,287178,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCCOc3ccc4c(=O)cc(N5CCOCC5)oc4c3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O
CHEMBL263287,46000.0,=,EC50,4.34,288779,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCCCCCCOc3ccc4c(=O)cc(N5CCOCC5)oc4c3C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O
