chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL359618,2200.0,=,EC50,5.66,301554,CS(=O)(=O)c1ccc(C(CC2CCCC2)C(=O)Nc2nccs2)cc1
CHEMBL359618,1000.0,=,EC50,6.0,301554,CS(=O)(=O)c1ccc(C(CC2CCCC2)C(=O)Nc2nccs2)cc1
CHEMBL362642,16000.0,=,EC50,4.8,301569,CS(=O)(=O)c1ccc(N(CC2CCCC2)C(=O)Nc2nccs2)cc1
CHEMBL362642,9700.0,=,EC50,5.01,301569,CS(=O)(=O)c1ccc(N(CC2CCCC2)C(=O)Nc2nccs2)cc1
CHEMBL180605,34200.0,=,EC50,4.47,301588,CS(=O)(=O)c1ccc(N(CC2CCCC2)C(=O)Nc2nnc(C(F)(F)F)s2)cc1
CHEMBL359718,1500.0,=,EC50,5.82,301607,CS(=O)(=O)c1ccc(N(CC2CCCC2)C(=O)Nc2ncc(Cl)s2)cc1
CHEMBL359665,32900.0,=,EC50,4.48,301520,CS(=O)(=O)c1ccc(N(CC2CCCC2)C(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)cc1
CHEMBL181635,16300.0,=,EC50,4.79,301535,O=C(Nc1nccs1)N(CC1CCCC1)c1ccc(F)c(F)c1
CHEMBL178554,2600.0,=,EC50,5.58,301541,O=C(Nc1ncc(Cl)s1)N(CC1CCCC1)c1ccc(F)c(F)c1
CHEMBL181345,19200.0,=,EC50,4.72,301563,COc1ccc(N(CC2CCCC2)C(=O)Nc2nccs2)cn1
CHEMBL178307,2700.0,=,EC50,5.57,301576,COc1ccc(N(CC2CCCC2)C(=O)Nc2ncc(Cl)s2)cn1
CHEMBL178308,2000.0,=,EC50,5.7,301577,COc1ccc(N(CC2CCCC2)C(=O)Nc2ncc(Br)s2)cn1
CHEMBL181713,29100.0,=,EC50,4.54,301531,COc1ccc(N(CC2CCCC2)C(=O)NC2=NC(=O)CS2)cn1
CHEMBL360155,1800.0,=,EC50,5.75,301551,NS(=O)(=O)c1ccc(N(CC2CCCC2)C(=O)Nc2ncc(Cl)s2)cc1
CHEMBL179038,1300.0,=,EC50,5.89,301558,O=C(Nc1ncc(Cl)s1)N(CC1CCCC1)c1ccc(C(F)(F)F)cc1
CHEMBL361324,2400.0,=,EC50,5.62,301600,N#Cc1ccc(N(CC2CCCC2)C(=O)Nc2ncc(Cl)s2)cc1
CHEMBL181943,400.0,=,EC50,6.4,301518,Cc1ccc(N(CC2CCCC2)C(=O)Nc2ncc(Cl)s2)cc1Cl
CHEMBL541979,700.0,=,EC50,6.16,301533,O=C(Nc1ncc(Cl)s1)N(CC1CCCC1)c1ccc(Br)c(F)c1
CHEMBL360582,1400.0,=,EC50,5.85,301539,COc1cccc(N(CC2CCCC2)C(=O)Nc2ncc(Cl)s2)c1
CHEMBL180172,300.0,=,EC50,6.52,301555,CC(=O)Nc1cccc(N(CC2CCCC2)C(=O)Nc2ncc(Cl)s2)c1
CHEMBL178370,1000.0,=,EC50,6.0,301582,NC(=O)c1cccc(N(CC2CCCC2)C(=O)Nc2ncc(Cl)s2)c1
CHEMBL178162,7700.0,=,EC50,5.11,301583,N#Cc1ccc(N(CC2CCCC2)C(=O)Nc2ncc(Cl)s2)cn1
CHEMBL178392,6600.0,=,EC50,5.18,301593,CS(=O)(=O)c1ccc(N(Cc2cccs2)C(=O)Nc2ncc(Cl)s2)cc1
CHEMBL181679,6800.0,=,EC50,5.17,301594,CS(=O)(=O)c1ccc(N(Cc2ccsc2)C(=O)Nc2ncc(Cl)s2)cc1
CHEMBL181375,6500.0,=,EC50,5.19,301508,CS(=O)(=O)c1ccc(N(Cc2ccsc2)C(=O)Nc2ncc(Br)s2)cc1
CHEMBL180600,24100.0,=,EC50,4.62,301509,CS(=O)(=O)c1ccc(N(Cc2nccs2)C(=O)Nc2ncc(Br)s2)cc1
CHEMBL182246,11500.0,=,EC50,4.94,301521,CS(=O)(=O)c1ccc(N(Cc2ccco2)C(=O)Nc2ncc(Cl)s2)cc1
CHEMBL180858,21600.0,=,EC50,4.67,301528,CS(=O)(=O)c1ccc(N(CC2CCCO2)C(=O)Nc2ncc(Cl)s2)cc1
CHEMBL178604,21900.0,=,EC50,4.66,301542,CS(=O)(=O)c1ccc(N(CC2CCOC2)C(=O)Nc2ncc(Cl)s2)cc1
CHEMBL178813,4900.0,=,EC50,5.31,301547,CS(=O)(=O)c1ccc(N(CC2CCOCC2)C(=O)Nc2ncc(Cl)s2)cc1
CHEMBL191802,3200.0,=,EC50,5.5,323354,CSc1ccc(OCc2ccccc2)c(/C=C/c2ccc(C(=O)O)cn2)c1
CHEMBL372361,4220.0,=,EC50,5.38,324286,CSc1ccc(OCc2ccccc2)c(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL371462,910.0,=,EC50,6.04,323809,O=C(O)c1ccc(NC(=O)c2cccc(OCc3ccccc3Cl)c2)nc1
CHEMBL381434,570.0,=,EC50,6.24,324815,CC(C)COc1cc(OC(C)C)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL194102,400.0,=,EC50,6.4,323810,O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)nc1
CHEMBL373364,90.0,=,EC50,7.05,324326,O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc3ccccc3F)c2)nc1
CHEMBL194499,650.0,=,EC50,6.19,323714,CC(C)Oc1cc(OCC2CCCC2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL195431,170.0,=,EC50,6.77,324667,CC(C)Oc1cc(OCCC2CCCC2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL193757,1260.0,=,EC50,5.9,324047,CC(C)Oc1cc(OCCc2cccnc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL193718,1780.0,=,EC50,5.75,324633,CC(C)Oc1cc(OCCc2ccncc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL372860,130.0,=,EC50,6.89,324285,CC(C)Oc1cc(OCCc2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL373339,90.0,=,EC50,7.05,323983,CC(C)Oc1cc(OCCc2ccsc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL195128,290.0,=,EC50,6.54,324510,CC(C)Oc1cc(OCc2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL194137,420.0,=,EC50,6.38,323915,CC(C)Oc1cc(OCCCc2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL191239,100.0,=,EC50,7.0,323942,CC(C)Oc1cc(OCc2ccccc2F)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL195121,1330.0,=,EC50,5.88,326283,CC(C)Oc1cc(OCCC2CCOCC2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL379153,110.0,=,EC50,6.96,346287,CC(C)Oc1cc(O[C@@H](C)c2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL439344,90.0,=,EC50,7.05,346550,CC(C)Oc1cc(O[C@H](C)Cc2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL206986,5510.0,=,EC50,5.26,346518,COC[C@@H](C)Oc1cc(OC(C)C)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL210838,610.0,=,EC50,6.21,346510,COC[C@H](C)Oc1cc(OC(C)C)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL208197,950.0,=,EC50,6.02,346509,CC(C)Oc1cc(O[C@H](C)c2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1
CHEMBL489514,420.0,=,EC50,6.38,457866,Cc1csc(NC(=O)c2cc(Sc3nncn3C)ccc2N)n1
CHEMBL491325,7300.0,=,EC50,5.14,458001,Cc1csc(NC(=O)c2cccc(Sc3nncn3C)c2)n1
CHEMBL473760,700.0,=,EC50,6.16,457732,Cc1csc(NC(=O)c2cc(Oc3ccccc3)ccc2N)n1
CHEMBL474626,19000.0,=,EC50,4.72,476084,Cc1csc(NC(=O)c2cccc(Oc3ccccc3)c2)n1
CHEMBL474632,2400.0,=,EC50,5.62,476085,Cc1csc(NC(=O)c2cccc(Oc3ccccc3F)c2)n1
CHEMBL514512,6300.0,=,EC50,5.2,476156,Cc1csc(NC(=O)c2cccc(Oc3cccc(F)c3)c2)n1
CHEMBL474011,21000.0,=,EC50,4.68,476302,Cc1csc(NC(=O)c2cccc(Oc3ccc(F)cc3)c2)n1
CHEMBL474012,3200.0,=,EC50,5.5,476303,Cc1csc(NC(=O)c2cccc(Oc3ccccc3C)c2)n1
CHEMBL516371,8200.0,=,EC50,5.09,476304,Cc1cccc(Oc2cccc(C(=O)Nc3nc(C)cs3)c2)c1
CHEMBL474013,5900.0,=,EC50,5.23,476305,Cc1ccc(Oc2cccc(C(=O)Nc3nc(C)cs3)c2)cc1
CHEMBL474858,5500.0,=,EC50,5.26,476306,Cc1csc(NC(=O)c2cccc(Oc3ccccc3S(C)(=O)=O)c2)n1
CHEMBL474859,18000.0,=,EC50,4.75,476307,Cc1csc(NC(=O)c2cccc(Oc3cccc(S(C)(=O)=O)c3)c2)n1
CHEMBL475031,29000.0,=,EC50,4.54,476378,Cc1csc(NC(=O)c2cccc(Oc3ccc(S(C)(=O)=O)cc3)c2)n1
CHEMBL475032,2200.0,=,EC50,5.66,476379,COc1ccccc1Oc1cccc(C(=O)Nc2nc(C)cs2)c1
CHEMBL475033,5400.0,=,EC50,5.27,476380,CCOc1ccccc1Oc1cccc(C(=O)Nc2nc(C)cs2)c1
CHEMBL474050,11000.0,=,EC50,4.96,476456,COc1cc(Oc2ccccc2S(C)(=O)=O)cc(C(=O)Nc2nc(C)cs2)c1
CHEMBL475229,2400.0,=,EC50,5.62,476457,CCOc1cc(Oc2ccccc2S(C)(=O)=O)cc(C(=O)Nc2nc(C)cs2)c1
CHEMBL475057,2100.0,=,EC50,5.68,476458,Cc1csc(NC(=O)c2cc(Oc3ccccc3S(C)(=O)=O)cc(OC(C)C)c2)n1
CHEMBL475058,1100.0,=,EC50,5.96,476459,Cc1csc(NC(=O)c2cc(Oc3ccccc3)cc(Oc3ccccc3S(C)(=O)=O)c2)n1
CHEMBL483817,1100.0,=,EC50,5.96,476524,Cc1csc(NC(=O)c2cc(Oc3ccccc3)cc(Oc3cccc(S(C)(=O)=O)c3)c2)n1
CHEMBL483818,420.0,=,EC50,6.38,476525,Cc1csc(NC(=O)c2cc(Oc3ccccc3)cc(Oc3ccc(S(C)(=O)=O)cc3)c2)n1
CHEMBL484018,1100.0,=,EC50,5.96,476526,Cc1csc(NC(=O)c2cc(Oc3cccc(S(C)(=O)=O)c3)cc(OC(C)C)c2)n1
CHEMBL484019,330.0,=,EC50,6.48,476527,Cc1csc(NC(=O)c2cc(Oc3ccc(S(C)(=O)=O)cc3)cc(OC(C)C)c2)n1
CHEMBL489514,140.0,=,EC50,6.85,457866,Cc1csc(NC(=O)c2cc(Sc3nncn3C)ccc2N)n1
CHEMBL491325,1500.0,=,EC50,5.82,458001,Cc1csc(NC(=O)c2cccc(Sc3nncn3C)c2)n1
CHEMBL473760,130.0,=,EC50,6.89,457732,Cc1csc(NC(=O)c2cc(Oc3ccccc3)ccc2N)n1
CHEMBL474626,800.0,=,EC50,6.1,476084,Cc1csc(NC(=O)c2cccc(Oc3ccccc3)c2)n1
CHEMBL474632,450.0,=,EC50,6.35,476085,Cc1csc(NC(=O)c2cccc(Oc3ccccc3F)c2)n1
CHEMBL514512,2200.0,=,EC50,5.66,476156,Cc1csc(NC(=O)c2cccc(Oc3cccc(F)c3)c2)n1
CHEMBL474011,4200.0,=,EC50,5.38,476302,Cc1csc(NC(=O)c2cccc(Oc3ccc(F)cc3)c2)n1
CHEMBL474012,820.0,=,EC50,6.09,476303,Cc1csc(NC(=O)c2cccc(Oc3ccccc3C)c2)n1
