chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL336265,115.0,=,IC50,6.94,228307,CC(C)c1ccccc1SC1=CC=C(/C=C/C(=O)N2CCC(C(=O)O)CC2)C(F)C1F
CHEMBL336265,115.0,=,IC50,6.94,228307,CC(C)c1ccccc1SC1=CC=C(/C=C/C(=O)N2CCC(C(=O)O)CC2)C(F)C1F
CHEMBL19677,44.0,=,IC50,7.36,23222,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccccc3C(C)C)c([N+](=O)[O-])c2)CC1
CHEMBL19677,44.0,=,IC50,7.36,23222,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccccc3C(C)C)c([N+](=O)[O-])c2)CC1
CHEMBL138779,3900.0,=,IC50,5.41,228290,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCN(C(C)=O)CC2)c(F)c1
CHEMBL138779,3900.0,=,IC50,5.41,228290,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCN(C(C)=O)CC2)c(F)c1
CHEMBL101416,140.0,=,IC50,6.85,162407,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc(Cl)cc3Cl)c(Cl)c2)CC1
CHEMBL101416,140.0,=,IC50,6.85,162407,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc(Cl)cc3Cl)c(Cl)c2)CC1
CHEMBL341999,7.0,=,IC50,8.15,228569,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(Cl)c2Cl)CC1
CHEMBL341999,7.0,=,IC50,8.15,228569,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(Cl)c2Cl)CC1
CHEMBL337322,10.0,=,IC50,8.0,228833,CC(C)c1ccccc1Sc1ccc(/C=C/C(=O)N2CCC(C(=O)O)CC2)c(Cl)c1Cl
CHEMBL337322,10.0,=,IC50,8.0,228833,CC(C)c1ccccc1Sc1ccc(/C=C/C(=O)N2CCC(C(=O)O)CC2)c(Cl)c1Cl
CHEMBL275402,40.0,=,IC50,7.4,22746,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(Cl)c2)CC1
CHEMBL275402,40.0,=,IC50,7.4,22746,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(Cl)c2)CC1
CHEMBL140085,8.0,=,IC50,8.1,229047,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCC(C(=O)O)CC2)c(Cl)c1Cl
CHEMBL140085,8.0,=,IC50,8.1,229047,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCC(C(=O)O)CC2)c(Cl)c1Cl
CHEMBL136278,4300.0,=,IC50,5.37,228370,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc(Cl)cc3Cl)cc2)CC1
CHEMBL136278,4300.0,=,IC50,5.37,228370,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc(Cl)cc3Cl)cc2)CC1
CHEMBL139349,5.0,=,IC50,8.3,228702,O=C(O)C1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(Cl)c2C(F)(F)F)CC1
CHEMBL139349,5.0,=,IC50,8.3,228702,O=C(O)C1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(Cl)c2C(F)(F)F)CC1
CHEMBL336789,5.0,=,IC50,8.3,228168,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCC(C(=O)O)CC2)c(C(F)(F)F)c1C(F)(F)F
CHEMBL336789,5.0,=,IC50,8.3,228168,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCC(C(=O)O)CC2)c(C(F)(F)F)c1C(F)(F)F
CHEMBL139068,6.0,=,IC50,8.22,228478,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCC(C(=O)O)CC2)c(C(F)(F)F)c1Cl
CHEMBL139068,6.0,=,IC50,8.22,228478,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCC(C(=O)O)CC2)c(C(F)(F)F)c1Cl
CHEMBL344897,10.0,=,IC50,8.0,229050,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCOCC2)c(Cl)c1Cl
CHEMBL344897,10.0,=,IC50,8.0,229050,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCOCC2)c(Cl)c1Cl
CHEMBL137961,3750.0,=,IC50,5.43,228242,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3cccc(Cl)c3Cl)c(S(=O)(=O)N(C)C)c2)CC1
CHEMBL137961,3750.0,=,IC50,5.43,228242,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3cccc(Cl)c3Cl)c(S(=O)(=O)N(C)C)c2)CC1
CHEMBL423725,8.0,=,IC50,8.1,228479,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCOCC2)c(C(F)(F)F)c1Cl
CHEMBL423725,8.0,=,IC50,8.1,228479,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCOCC2)c(C(F)(F)F)c1Cl
CHEMBL130110,105.0,=,IC50,6.98,215546,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3cccc(Cl)c3Cl)c([N+](=O)[O-])c2)CC1
CHEMBL130110,105.0,=,IC50,6.98,215546,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3cccc(Cl)c3Cl)c([N+](=O)[O-])c2)CC1
CHEMBL136217,10700.0,=,IC50,4.97,228530,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCN(C(C)=O)CC2)cc1OC
CHEMBL136217,10700.0,=,IC50,4.97,228530,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCN(C(C)=O)CC2)cc1OC
CHEMBL140234,265.0,=,IC50,6.58,228266,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCC(C(=O)O)CC2)c(C(F)(F)F)c1
CHEMBL140234,265.0,=,IC50,6.58,228266,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCC(C(=O)O)CC2)c(C(F)(F)F)c1
CHEMBL136191,30.0,=,IC50,7.52,228373,O=C(/C=C/c1ccc(Sc2ccc3c(c2)OCCO3)c(C(F)(F)F)c1)N1CCOCC1
CHEMBL136191,30.0,=,IC50,7.52,228373,O=C(/C=C/c1ccc(Sc2ccc3c(c2)OCCO3)c(C(F)(F)F)c1)N1CCOCC1
CHEMBL139390,7.0,=,IC50,8.15,228827,O=C(O)C1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(Cl)c2Cl)CC1
CHEMBL139390,7.0,=,IC50,8.15,228827,O=C(O)C1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(Cl)c2Cl)CC1
CHEMBL138777,55.0,=,IC50,7.26,228589,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(C(F)(F)F)c2)CC1
CHEMBL138777,55.0,=,IC50,7.26,228589,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(C(F)(F)F)c2)CC1
CHEMBL538164,139.0,=,IC50,6.86,228143,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c([N+](=O)[O-])c2)CC1
CHEMBL538164,139.0,=,IC50,6.86,228143,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c([N+](=O)[O-])c2)CC1
CHEMBL138185,6.0,=,IC50,8.22,228798,Cn1ccc2cc(Sc3ccc(/C=C/C(=O)N4CCC(C(=O)O)CC4)c(Cl)c3Cl)ccc21
CHEMBL138185,6.0,=,IC50,8.22,228798,Cn1ccc2cc(Sc3ccc(/C=C/C(=O)N4CCC(C(=O)O)CC4)c(Cl)c3Cl)ccc21
CHEMBL136387,1400.0,=,IC50,5.85,228264,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCC(C(=O)O)CC2)c(Cl)c1
CHEMBL136387,1400.0,=,IC50,5.85,228264,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCC(C(=O)O)CC2)c(Cl)c1
CHEMBL342451,9100.0,=,IC50,5.04,228973,O=C(/C=C/c1ccc(Sc2cccc(Cl)c2Cl)cc1)N1CCOCC1
CHEMBL342451,9100.0,=,IC50,5.04,228973,O=C(/C=C/c1ccc(Sc2cccc(Cl)c2Cl)cc1)N1CCOCC1
CHEMBL138860,145.0,=,IC50,6.84,228970,O=C(O)C1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(Cl)c2)CC1
CHEMBL138860,145.0,=,IC50,6.84,228970,O=C(O)C1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(Cl)c2)CC1
CHEMBL343370,90.0,=,IC50,7.05,228952,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCOCC2)c(C)c1C
CHEMBL343370,90.0,=,IC50,7.05,228952,COc1ccccc1Sc1ccc(/C=C/C(=O)N2CCOCC2)c(C)c1C
