chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL607707,2000.0,=,Kd,5.7,604615,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
CHEMBL607707,2000.0,=,Kd,5.7,604615,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
CHEMBL535,940.0,=,Kd,6.03,13048,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
CHEMBL535,940.0,=,Kd,6.03,13048,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
CHEMBL386760,240.0,=,IC50,6.62,356252,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1
CHEMBL386760,240.0,=,IC50,6.62,356252,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1
CHEMBL557844,141.0,=,IC50,6.85,367970,COC[C@H](C)Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1
CHEMBL557844,141.0,=,IC50,6.85,367970,COC[C@H](C)Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1
CHEMBL221378,28.0,=,IC50,7.55,367986,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1)c1ccc(F)cc1
CHEMBL221378,28.0,=,IC50,7.55,367986,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1)c1ccc(F)cc1
CHEMBL375205,29.0,=,IC50,7.54,367971,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1
CHEMBL375205,29.0,=,IC50,7.54,367971,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1
CHEMBL220484,446.0,=,IC50,6.35,367970,COC[C@H](C)Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1
CHEMBL220484,446.0,=,IC50,6.35,367970,COC[C@H](C)Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1
CHEMBL220969,56.0,=,IC50,7.25,367964,C[C@H](Nc1cc(-c2cccc(C#N)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1
CHEMBL220969,56.0,=,IC50,7.25,367964,C[C@H](Nc1cc(-c2cccc(C#N)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1
CHEMBL374321,18.0,=,IC50,7.75,367947,C[C@H](Nc1cc(-c2ccc(C#N)cc2)nc(-n2cnc3ccncc32)n1)c1ccccc1
CHEMBL374321,18.0,=,IC50,7.75,367947,C[C@H](Nc1cc(-c2ccc(C#N)cc2)nc(-n2cnc3ccncc32)n1)c1ccccc1
CHEMBL221376,77.0,=,IC50,7.11,367938,C[C@H](Nc1cc(-c2cnn(C)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1
