chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL381219,6900.0,=,IC50,5.16,325158,CC(=O)N1N=C(c2ccccc2)CC1c1cccc(O)c1
CHEMBL196329,51.0,=,IC50,7.29,325281,CC(=O)N1N=C(c2cc(F)ccc2F)CC1c1cccc(O)c1
CHEMBL370875,23300.0,=,IC50,4.63,324915,CC(=O)N1N=C(c2ccccc2Br)CC1c1ccccc1
CHEMBL195232,26.0,=,IC50,7.58,325162,CC(=O)N1N=C(c2cc(F)ccc2F)C[C@H]1c1cccc(O)c1
CHEMBL194076,46200.0,=,IC50,4.33,324916,CC(=O)N1N=C(c2ccccc2C)CC1c1ccccc1
CHEMBL381220,12700.0,=,IC50,4.9,325106,CC(=O)N1N=C(c2cccc(F)c2F)CC1c1ccccc1
CHEMBL370498,37600.0,=,IC50,4.42,324922,CC(=O)N1N=C(c2ccc(Cl)cc2Cl)CC1c1ccccc1
CHEMBL191406,10900.0,=,IC50,4.96,324923,CC(=O)N1N=C(c2c(F)cccc2F)CC1c1ccccc1
CHEMBL370051,1200.0,=,IC50,5.92,324391,CCC(=O)N1N=C(c2ccccc2Cl)CC1c1cccc(O)c1
CHEMBL194147,1100.0,=,IC50,5.96,324392,CC(C)C(=O)N1N=C(c2ccccc2Cl)CC1c1cccc(O)c1
CHEMBL370956,460.0,=,IC50,6.34,324805,CC(C)(C)C(=O)N1N=C(c2ccccc2Cl)CC1c1cccc(O)c1
CHEMBL370246,6000.0,=,IC50,5.22,325155,NCCCC(=O)N1N=C(c2ccccc2Cl)CC1c1cccc(O)c1
CHEMBL195659,13500.0,=,IC50,4.87,325004,O=C(c1ccccc1)N1N=C(c2ccccc2Cl)CC1c1cccc(O)c1
CHEMBL204369,3100.0,=,IC50,5.51,343241,CC(C)[C@@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1
CHEMBL204408,2.7,=,IC50,8.57,343421,CC(C)(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1
CHEMBL203181,4000.0,=,IC50,5.4,343450,CC(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1
CHEMBL379690,3.6,=,IC50,8.44,343233,CC(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1
CHEMBL205437,2.6,=,IC50,8.59,343171,CN(C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CCNCC1
CHEMBL382835,50000.0,=,IC50,4.3,343104,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@@H]1c1ccccc1
CHEMBL380955,38.0,=,IC50,7.42,343100,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1
CHEMBL206289,113.0,=,IC50,6.95,343099,CC(C)(C)C(=O)N1N=C(c2cc(F)ccc2F)CC1c1ccccc1
CHEMBL414860,85.0,=,IC50,7.07,343094,CC(C)(C)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1ccccc1
CHEMBL365108,94.0,=,IC50,7.03,324506,CC(=O)N1N=C(c2cc(F)ccc2F)CC1c1ccccc1
CHEMBL378547,13.0,=,IC50,7.89,343767,CC(C)(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1
CHEMBL206249,5.5,=,IC50,8.26,344079,CN(C(=O)N1CC(c2cc(F)ccc2F)=CC1c1cccc(O)c1)C1CCNCC1
CHEMBL381533,7.0,=,IC50,8.15,344072,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1
CHEMBL377596,2.9,=,IC50,8.54,344125,O=C([C@@H](O)C1CC1)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1
CHEMBL208145,8330.0,=,IC50,5.08,344378,Cc1ccc2c(c1C)CNCC2c1ccccc1
CHEMBL207292,5440.0,=,IC50,5.26,344402,Cc1ccc2c(c1C)CN(C(=O)N(C)CCCN(C)C)CC2c1ccccc1
CHEMBL208226,12800.0,=,IC50,4.89,344345,Cc1ccc2c(c1C)CN(C(=O)N1CCCCC1)CC2c1ccccc1
CHEMBL203681,22300.0,=,IC50,4.65,344335,Cc1ccc2c(c1C)CN(C(=O)N1CCOCC1)CC2c1ccccc1
CHEMBL378389,2750.0,=,IC50,5.56,344334,Cc1ccc2c(c1C)CN(C(=O)N(C)C)CC2c1ccccc1
CHEMBL204411,14400.0,=,IC50,4.84,345118,COC(=O)N1Cc2c(ccc(C)c2C)C(c2ccccc2)C1
CHEMBL204372,16400.0,=,IC50,4.79,344972,Cc1ccc2c(c1C)CN(C(=O)c1ccccc1)CC2c1ccccc1
CHEMBL204371,17900.0,=,IC50,4.75,344971,CC(=O)N1Cc2c(ccc(C)c2C)C(c2ccccc2)C1
CHEMBL205297,5360.0,=,IC50,5.27,344962,Cc1ccc2c(c1C)CN(CCCCN(C)C)CC2c1ccccc1
CHEMBL207148,8880.0,=,IC50,5.05,344796,Cc1ccc2c(c1C)CN(CCCN(C)C)CC2c1ccccc1
CHEMBL205863,4650.0,=,IC50,5.33,344786,Cc1ccc2c(c1C)CN(CCCCN)CC2c1ccccc1
CHEMBL208309,3060.0,=,IC50,5.51,344781,Cc1ccc2c(c1C)CN(CCCN)CC2c1ccccc1
CHEMBL204278,11000.0,=,IC50,4.96,344563,Cc1ccc2c(c1C)CN(C(C)C)CC2c1ccccc1
CHEMBL207867,18400.0,=,IC50,4.74,344379,Cc1ccc2c(c1C)CN(C)CC2c1ccccc1
CHEMBL381794,639.0,=,IC50,6.19,344795,CN(C)C(=O)N1Cc2c(ccc3c2OCC3)C(c2cccc(O)c2)C1
CHEMBL377073,1270.0,=,IC50,5.9,344793,CN(C)C(=O)N1Cc2c(ccc(Cl)c2Cl)C(c2cccc(O)c2)C1
CHEMBL206258,12800.0,=,IC50,4.89,344785,COc1ccc2c(c1OC)CN(C(=O)N(C)C)CC2c1cccc(O)c1
