chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL352308,100.0,=,IC50,7.0,285372,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCNCCO
CHEMBL330863,21.0,=,IC50,7.68,205195,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCC(C)CC1
CHEMBL124660,170.0,=,IC50,6.77,205165,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1
CHEMBL126699,6.0,=,IC50,8.22,205521,COc1cc2c(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCCN1CCCCC1C
CHEMBL445636,4.0,=,IC50,8.4,205536,COc1cc2c(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCCN1CCC(C)CC1
CHEMBL941,260.0,=,IC50,6.58,88797,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL124035,190.0,=,IC50,6.72,206266,COCCOc1cc2ncnc(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)c2cc1OC
CHEMBL125898,60.0,=,IC50,7.22,205365,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCOCC1
CHEMBL107599,16.0,=,IC50,7.8,205429,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1C
CHEMBL444064,110.0,=,IC50,6.96,205427,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCN1CCCCC1
CHEMBL150894,57.0,=,IC50,7.24,250604,CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3
CHEMBL101683,240.0,=,IC50,6.62,165014,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1
CHEMBL101253,730.0,=,IC50,6.14,165012,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
CHEMBL99743,390.0,=,IC50,6.41,166761,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc([N+](=O)[O-])cc4)CC3)c2cc1OC
CHEMBL104067,50.0,=,IC50,7.3,170705,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C(C)C)cc4)CC3)c2cc1OC
CHEMBL102346,50.0,=,IC50,7.3,167335,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC
CHEMBL323336,130.0,=,IC50,6.89,170212,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Br)cc4)CC3)c2cc1OC
CHEMBL106966,480.0,=,IC50,6.32,170590,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC
CHEMBL276711,400.0,=,IC50,6.4,12911,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
CHEMBL78303,2500.0,=,IC50,5.6,120272,Cc1cccc(Nc2nnc(Cc3ccncc3)c3ccccc23)c1
CHEMBL153843,236.0,=,IC50,6.63,255408,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1
CHEMBL77555,2700.0,=,IC50,5.57,119856,FC(F)(F)c1cc(Nc2nnc(Cc3ccncc3)c3ccccc23)ccc1Cl
CHEMBL309331,1400.0,=,IC50,5.85,120872,c1ccc(-c2ccc(Nc3nnc(Cc4ccncc4)c4ccccc34)cc2)cc1
CHEMBL75034,3500.0,=,IC50,5.46,120056,COc1cc(Nc2nnc(Cc3ccncc3)c3ccccc23)ccc1Cl
CHEMBL306295,7900.0,=,IC50,5.1,120245,Oc1cccc(Nc2nnc(Cc3ccncc3)c3ccccc23)c1
CHEMBL75232,700.0,=,IC50,6.16,165012,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
CHEMBL75196,700.0,=,IC50,6.16,120244,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1Cl
CHEMBL431006,1000.0,=,IC50,6.0,120271,CC(C)(C)c1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
CHEMBL24828,343.0,=,IC50,6.46,33576,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
CHEMBL276711,660.0,=,IC50,6.18,12911,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
CHEMBL276711,35.0,=,IC50,7.46,12911,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
CHEMBL74197,2000.0,=,IC50,5.7,119891,Cc1cc(C)cc(Nc2nnc(Cc3ccncc3)c3ccccc23)c1
CHEMBL75232,620.0,=,IC50,6.21,165012,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
CHEMBL75462,3000.0,=,IC50,5.52,120319,COc1cccc(Nc2nnc(Cc3ccncc3)c3ccccc23)c1
CHEMBL347537,105.0,=,IC50,6.98,255485,O=C(Nc1cccc(-c2cncc3ccccc23)c1)c1ccccc1NCc1ccncc1
CHEMBL553824,800.0,=,IC50,6.1,232632,COc1cc2ncnc(N3CCN(C(=O)Nc4ccsc4)CC3)c2cc1OC
CHEMBL102301,220.0,=,IC50,6.66,167268,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC
CHEMBL319894,360.0,=,IC50,6.44,166726,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccccc4)CC3)c2cc1OC
CHEMBL178455,40.0,=,IC50,7.4,299423,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC
CHEMBL941,10000.0,=,IC50,5.0,88797,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL941,5000.0,=,IC50,5.3,88797,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
CHEMBL26559,400.0,=,IC50,6.4,33196,Cc1c2ccncc2c(C)c2c1[nH]c1ccc(O)cc12
CHEMBL26559,400.0,=,IC50,6.4,33196,Cc1c2ccncc2c(C)c2c1[nH]c1ccc(O)cc12
CHEMBL26559,10.0,=,IC50,8.0,33196,Cc1c2ccncc2c(C)c2c1[nH]c1ccc(O)cc12
CHEMBL26559,10.0,=,IC50,8.0,33196,Cc1c2ccncc2c(C)c2c1[nH]c1ccc(O)cc12
CHEMBL16699,400.0,=,IC50,6.4,17882,Cc1c2cc[n+](C)cc2c(C)c2c1[nH]c1ccc(O)cc12
CHEMBL16699,400.0,=,IC50,6.4,17882,Cc1c2cc[n+](C)cc2c(C)c2c1[nH]c1ccc(O)cc12
CHEMBL16699,10.0,=,IC50,8.0,17882,Cc1c2cc[n+](C)cc2c(C)c2c1[nH]c1ccc(O)cc12
CHEMBL16699,10.0,=,IC50,8.0,17882,Cc1c2cc[n+](C)cc2c(C)c2c1[nH]c1ccc(O)cc12
CHEMBL197585,450.0,=,IC50,6.35,329617,CCN(CC)CC[n+]1ccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c2c1
CHEMBL197585,300.0,=,IC50,6.52,329617,CCN(CC)CC[n+]1ccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c2c1
CHEMBL197585,10.0,=,IC50,8.0,329617,CCN(CC)CC[n+]1ccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c2c1
CHEMBL197585,10.0,=,IC50,8.0,329617,CCN(CC)CC[n+]1ccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c2c1
CHEMBL19954,800.0,=,IC50,6.1,23172,COc1ccc2[nH]c3c(C)c4ccncc4c(C)c3c2c1
CHEMBL19954,600.0,=,IC50,6.22,23172,COc1ccc2[nH]c3c(C)c4ccncc4c(C)c3c2c1
CHEMBL19954,500.0,=,IC50,6.3,23172,COc1ccc2[nH]c3c(C)c4ccncc4c(C)c3c2c1
CHEMBL19954,300.0,=,IC50,6.52,23172,COc1ccc2[nH]c3c(C)c4ccncc4c(C)c3c2c1
CHEMBL282444,1400.0,=,IC50,5.85,23455,CCN(CC)CCCNc1nccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c12
CHEMBL282444,1200.0,=,IC50,5.92,23455,CCN(CC)CCCNc1nccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c12
CHEMBL282444,10.0,<,IC50,,23455,CCN(CC)CCCNc1nccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c12
CHEMBL282444,10.0,<,IC50,,23455,CCN(CC)CCCNc1nccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c12
CHEMBL197610,2300.0,=,IC50,5.64,329631,CCN(CC)CCCNc1nccc2c(C)c3[nH]c4ncccc4c3cc12
CHEMBL197610,1900.0,=,IC50,5.72,329631,CCN(CC)CCCNc1nccc2c(C)c3[nH]c4ncccc4c3cc12
CHEMBL197610,250.0,=,IC50,6.6,329631,CCN(CC)CCCNc1nccc2c(C)c3[nH]c4ncccc4c3cc12
CHEMBL197610,300.0,=,IC50,6.52,329631,CCN(CC)CCCNc1nccc2c(C)c3[nH]c4ncccc4c3cc12
