chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL31634,300.0,=,IC50,6.52,42503,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br
CHEMBL2368961,34000.0,=,IC50,4.47,1543412,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1cc(Br)no1
CHEMBL3143229,3100.0,=,IC50,5.51,1632520,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1ccns1
CHEMBL2367583,2900.0,=,IC50,5.54,1542034,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1ccco1
CHEMBL1231486,3500.0,=,IC50,5.46,693836,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1ccc(Br)s1
CHEMBL2367580,51000.0,=,IC50,4.29,1542031,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1ccc(Br)o1
CHEMBL1791154,36000.0,=,IC50,4.44,1154785,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1ccno1
CHEMBL52609,1000.0,=,IC50,6.0,82982,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
CHEMBL3143224,62000.0,=,IC50,4.21,1632515,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1sc(Br)cc1Br
CHEMBL2367579,28000.0,=,IC50,4.55,1542030,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1ccc(Cl)o1
CHEMBL1791157,4000.0,=,IC50,5.4,1154788,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1ccsc1
CHEMBL1791149,2400.0,=,IC50,5.62,1154780,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1cccs1
CHEMBL1791152,2300.0,=,IC50,5.64,1154783,Cc1ccc(-c2cn([C@H]3C[C@H](O)[C@@H](CO)O3)c(=O)[nH]c2=O)s1
CHEMBL2367577,2300.0,=,IC50,5.64,1542028,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1ccc(Cl)s1
CHEMBL1791148,1500.0,=,IC50,5.82,1154779,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1ccoc1
CHEMBL3143226,61000.0,=,IC50,4.21,1632517,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1-c1sccc1Br
CHEMBL1160993,40000.0,=,Ki,4.4,642532,Cc1cn([C@H]2C[C@H](CF)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
CHEMBL1161004,4700.0,=,Ki,5.33,642543,Cc1cn([C@H]2C[C@H](CN)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
CHEMBL1160994,32000.0,=,Ki,4.5,642533,Cc1cn([C@H]2C[C@H](CN=[N+]=[N-])[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
CHEMBL1161003,43500.0,=,Ki,4.36,642542,Cc1cn([C@H]2C[C@H](CO)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
CHEMBL52609,2000.0,=,Ki,5.7,82982,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
CHEMBL306477,25000.0,=,Ki,4.6,120386,Nc1nc(O)c2ncn(CC=C(CO)CO)c2n1
CHEMBL431234,28000.0,=,IC50,4.55,168334,Cc1cn(C/C=C\CNC(=O)c2cccc(C(F)(F)F)c2)c(=O)[nH]c1=O
CHEMBL431234,72000.0,=,IC50,4.14,168334,Cc1cn(C/C=C\CNC(=O)c2cccc(C(F)(F)F)c2)c(=O)[nH]c1=O
CHEMBL316971,3500.0,=,IC50,5.46,168356,Cc1cn(C/C=C\CN(Cc2ccccc2)Cc2ccccc2)c(=O)[nH]c1=O
CHEMBL322466,33000.0,=,IC50,4.48,168325,Cc1cn(C/C=C\CNC(=O)C2c3ccccc3Oc3ccccc32)c(=O)[nH]c1=O
CHEMBL318978,57000.0,=,IC50,4.24,168906,Cc1cn(C/C=C\CNCc2ccccc2)c(=O)[nH]c1=O
CHEMBL105288,23000.0,=,IC50,4.64,168406,Cc1cn(C/C=C\CNC(=O)Cc2ccc(Cl)cc2)c(=O)[nH]c1=O
CHEMBL102986,27000.0,=,IC50,4.57,168907,Cc1cn(C/C=C\CNC(=O)C(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O
CHEMBL101135,1500.0,=,IC50,5.82,168389,Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O
CHEMBL101135,45000.0,=,IC50,4.35,168389,Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O
CHEMBL102650,4100.0,=,IC50,5.39,168936,Cc1cn(C/C=C\CNC(=O)Cc2ccc(-c3ccccc3)cc2)c(=O)[nH]c1=O
CHEMBL322230,2300.0,=,IC50,5.64,168405,Cc1cn(C/C=C\CNC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O
CHEMBL322230,26000.0,=,IC50,4.58,168405,Cc1cn(C/C=C\CNC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O
CHEMBL63910,3311.31,=,IC50,5.48,99831,CCCc1cccc(Nc2nc(O)c3[nH]cnc3n2)c1
CHEMBL65197,19952.62,=,IC50,4.7,99783,CCc1ccc(Nc2nc(O)c3[nH]cnc3n2)cc1
CHEMBL16026,6918.31,=,IC50,5.16,17128,CCc1cc(Nc2nc(O)c3[nH]cnc3n2)ccc1C
CHEMBL103810,1096.48,=,IC50,5.96,165161,Oc1[nH]c(Nc2cccc(I)c2)nc2ncnc1-2
CHEMBL63439,39810.72,=,IC50,4.4,99010,Oc1[nH]c(Nc2ccc3ccccc3c2)nc2ncnc1-2
CHEMBL101020,1412.54,=,IC50,5.85,165758,Oc1[nH]c(Nc2cccc(CCl)c2)nc2ncnc1-2
CHEMBL406058,5011.87,=,IC50,5.3,164854,N#Cc1cccc(Nc2nc3ncnc-3c(O)[nH]2)c1
CHEMBL405761,151.36,=,IC50,6.82,430599,O=c1[nH]c(Nc2cccc(C(F)(F)F)c2)nc2[nH]cnc12
CHEMBL15985,15135.61,=,IC50,4.82,17037,Oc1[nH]c(Nc2ccc3c(c2)CCC3)nc2ncnc1-2
CHEMBL101730,30199.52,=,IC50,4.52,164468,NCc1cccc(Nc2nc(O)c3[nH]cnc3n2)c1
CHEMBL36877,50118.72,=,IC50,4.3,52674,Cc1ccc(Nc2nc(O)c3[nH]cnc3n2)cc1
CHEMBL63463,12022.64,=,IC50,4.92,99753,Cc1ccc(Nc2nc(O)c3[nH]cnc3n2)cc1Cl
CHEMBL319254,39810.72,=,IC50,4.4,164851,CCCCc1ccc(Nc2nc(O)c3[nH]cnc3n2)cc1C
CHEMBL65438,3019.95,=,IC50,5.52,100000,Oc1[nH]c(Nc2ccc(Br)c(Br)c2)nc2ncnc1-2
CHEMBL296595,7943.28,=,IC50,5.1,81193,Oc1[nH]c(Nc2ccc(F)c(Cl)c2)nc2ncnc1-2
CHEMBL53835,1000.0,=,IC50,6.0,79856,Oc1[nH]c(Nc2ccc(Br)cc2)nc2ncnc1-2
CHEMBL101651,30199.52,=,IC50,4.52,164466,CCCc1ccc(Nc2nc(O)c3[nH]cnc3n2)cc1
CHEMBL51613,100000.0,=,IC50,4.0,79452,Oc1[nH]c(Nc2ccc(Cl)c(Cl)c2)nc2ncnc1-2
CHEMBL103645,1000.0,=,IC50,6.0,165162,Oc1[nH]c(Nc2cccc(CBr)c2)nc2ncnc1-2
CHEMBL299415,50118.72,=,IC50,4.3,80771,Oc1[nH]c(Nc2ccc(F)c(F)c2)nc2ncnc1-2
CHEMBL406300,1513.56,=,IC50,5.82,165785,Oc1[nH]c(Nc2cccc(Br)c2)nc2ncnc1-2
CHEMBL52562,1513.56,=,IC50,5.82,81256,Oc1[nH]c(Nc2cccc(Cl)c2)nc2ncnc1-2
CHEMBL101143,100000.0,=,IC50,4.0,165839,Oc1[nH]c(Nc2ccc(Cl)cc2)nc2ncnc1-2
CHEMBL35886,2511.89,=,IC50,5.6,52793,CCc1cccc(Nc2nc(O)c3[nH]cnc3n2)c1
CHEMBL287727,7943.28,=,IC50,5.1,52868,Oc1[nH]c(Nc2ccccc2)nc2ncnc1-2
CHEMBL16193,50118.72,=,IC50,4.3,16578,CCCCc1ccc(Nc2nc(O)c3[nH]cnc3n2)cc1
CHEMBL102001,794.33,=,IC50,6.1,165135,[N-]=[N+]=NCc1cccc(Nc2nc3ncnc-3c(O)[nH]2)c1
