chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL440201,701.0,=,Ki,6.15,289960,CCCCCCCCC#Cc1ccc2c(c1)[C@](C)(C(C)C)[C@H]1C(=O)N[C@H](CO)[C@@H]21
CHEMBL6453,70.0,=,Ki,7.16,1054,CCCCCCCCC#Cc1ccc2c(c1)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C
CHEMBL173348,1052.0,=,Ki,5.98,289750,CCCCCCCCCCCC(=O)Oc1ccc2c(c1)[C@@](C)(C(C)C)[C@H]1C(=O)N[C@H](CO)[C@@H]21
CHEMBL368720,593.0,=,Ki,6.23,289481,CCCCCCCCCCCC(=O)Oc1ccc2c(c1)[C@](C)(C(C)C)[C@H]1C(=O)N[C@H](CO)[C@@H]21
CHEMBL279115,1.8,=,Ki,8.74,128763,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O
CHEMBL111298,1440.0,=,IC50,5.84,181613,COc1ccccc1C1=C(c2cn(CCCO)c3ncccc23)C(=O)NC1=O
CHEMBL326688,240.0,=,IC50,6.62,181898,CN(C)CCCn1cc(C2=C(c3cccc4ccccc34)C(=O)NC2=O)c2cccnc21
CHEMBL325817,1850.0,=,IC50,5.73,182284,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccccc1C(F)(F)F
CHEMBL326208,1880.0,=,IC50,5.73,181952,COc1ccccc1C1=C(c2cn(CCCNS(C)(=O)=O)c3ncccc23)C(=O)NC1=O
CHEMBL111005,2380.0,=,IC50,5.62,181653,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccc(F)cc1Cl
CHEMBL324268,1100.0,=,IC50,5.96,181980,COc1ccccc1C1=C(c2cn(CCCN)c3ncccc23)C(=O)NC1=O
CHEMBL110000,1070.0,=,IC50,5.97,181690,CCn1cc(C2=C(c3cn(CCCO)c4ncccc34)C(=O)NC2=O)c2cccnc21
CHEMBL109977,2730.0,=,IC50,5.56,181951,COc1ccccc1C1=C(c2cn(CCCNC=O)c3ncccc23)C(=O)NC1=O
CHEMBL109834,1160.0,=,IC50,5.94,181899,CN(C)CCCn1cc(C2=C(c3ccccc3Cl)C(=O)NC2=O)c2cccnc21
CHEMBL423323,890.0,=,IC50,6.05,181981,COc1ccccc1C1=C(c2cn(CCCNS(N)(=O)=O)c3ncccc23)C(=O)NC1=O
CHEMBL326971,730.0,=,IC50,6.14,182257,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ccccc1Cl
CHEMBL109944,4360.0,=,IC50,5.36,181896,COCCCn1cc(C2=C(c3ccccc3O)C(=O)NC2=O)c2cccnc21
CHEMBL430694,270.0,=,IC50,6.57,181661,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cccc2ccccc12
CHEMBL109981,2260.0,=,IC50,5.65,182308,COc1ccccc1C1=C(c2cn(CCCNC(=O)OC(C)(C)C)c3ncccc23)C(=O)NC1=O
CHEMBL60254,32.0,=,IC50,7.5,95813,O=C(N[C@@H]1CNCCC[C@H]1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1
CHEMBL54382,20.0,=,IC50,7.7,83354,CCN1CCC(n2cc(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1
CHEMBL54382,5.0,=,IC50,8.3,83354,CCN1CCC(n2cc(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1
CHEMBL432130,4.7,=,IC50,8.33,144959,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1
CHEMBL432130,5.9,=,IC50,8.23,144959,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1
CHEMBL291975,22.0,=,IC50,7.66,83427,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccc5)C4)c4ccccc34)C(=O)NC2=O)c2ccccc21
CHEMBL291975,24.0,=,IC50,7.62,83427,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccc5)C4)c4ccccc34)C(=O)NC2=O)c2ccccc21
CHEMBL55788,30.0,=,IC50,7.52,83665,Cn1cc(C2=C(c3cn(C4CCNCC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
CHEMBL55788,30.0,=,IC50,7.52,83665,Cn1cc(C2=C(c3cn(C4CCNCC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
CHEMBL301860,19.0,=,IC50,7.72,83315,CC(C)N1CCC(n2cc(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1
CHEMBL301860,26.0,=,IC50,7.58,83315,CC(C)N1CCC(n2cc(C3=C(c4cn(C)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1
CHEMBL52654,20.0,=,IC50,7.7,83299,CN1CCC(n2cc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1
CHEMBL52654,10.0,=,IC50,8.0,83299,CN1CCC(n2cc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1
CHEMBL55394,30.0,=,IC50,7.52,83500,Cn1cc(C2=C(c3cn(C4CCN(CC5CC5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
CHEMBL55394,10.0,=,IC50,8.0,83500,Cn1cc(C2=C(c3cn(C4CCN(CC5CC5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21
