chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL69638,140.0,=,IC50,6.85,107721,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1
CHEMBL69638,1180.0,=,IC50,5.93,107721,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1
CHEMBL69638,1200.0,=,IC50,5.92,107721,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1
CHEMBL419082,1.0,<,IC50,,107748,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O
CHEMBL419082,240.0,=,IC50,6.62,107748,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O
CHEMBL419082,8.0,<,IC50,,107748,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O
CHEMBL419082,1320.0,=,IC50,5.88,107748,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O
CHEMBL304760,8.0,<,IC50,,107787,c1ccc(Oc2ccc(Nc3ncnc4ccccc34)cc2)cc1
CHEMBL307982,11.0,=,IC50,7.96,108087,CC(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21
CHEMBL68774,390.0,=,IC50,6.41,107684,Nc1ncnc2c1c(-c1ccccc1Oc1ccccc1)cn2C1CCCC1
CHEMBL69129,1.0,<,IC50,,107756,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1
CHEMBL69129,5.0,=,IC50,8.3,107756,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1
CHEMBL69129,1.0,<,IC50,,107756,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1
