chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL68958,3000.0,=,IC50,5.52,110368,N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)c1cccc(C(=O)O)c1
CHEMBL70658,14000.0,=,Ki,4.85,111004,N[C@@H](Cc1ccccc1)C(=O)Cc1ccccc1
CHEMBL444791,18.0,=,Ki,7.75,110371,N[C@H](CS)Cc1ccc(OCc2ccccc2)cc1
CHEMBL68478,800.0,=,IC50,6.1,110997,N[C@@H](Cc1ccc(OCc2ccccc2)cc1)[C@H](O)C(=O)OCc1ccccc1
CHEMBL302371,10000.0,=,IC50,5.0,110337,N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)c1ccc(C(F)(F)F)cc1
CHEMBL307799,20000.0,=,IC50,4.7,110999,N[C@@H](Cc1ccccc1)C(=O)CCCC(=O)O
CHEMBL68679,600.0,=,IC50,6.22,110996,COC(=O)C(=O)[C@@H](N)Cc1ccc(OCc2ccccc2)cc1
CHEMBL71853,500.0,=,IC50,6.3,110862,CC(C)C[C@H](NC(=O)C(=O)[C@@H](N)Cc1ccccc1)C(=O)O
CHEMBL67657,20000.0,=,IC50,4.7,110415,N[C@@H](Cc1ccccc1)[C@H](O)C(=O)OCc1ccccc1
CHEMBL68518,80000.0,=,IC50,4.1,111029,COC(=O)C(=O)[C@@H](N)Cc1ccccc1
CHEMBL71535,46.0,=,Ki,7.34,110420,N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)C(=O)OCc1ccccc1
CHEMBL70878,20000.0,=,IC50,4.7,110745,CC(C)C[C@H](NC(=O)[C@@H](O)[C@@H](N)Cc1ccccc1)C(=O)O
CHEMBL70599,100000.0,=,IC50,4.0,110487,N[C@H](Cc1ccccc1)[C@H](O)C(=O)NCCC(=O)O
CHEMBL306868,15000.0,=,Ki,4.82,110705,N[C@@H](Cc1ccccc1)[C@H](O)C(=O)NCC(=O)O
CHEMBL71105,80000.0,=,IC50,4.1,110453,N[C@@H](Cc1ccccc1)[C@H](O)C(=O)NCCC(=O)O
CHEMBL68387,50000.0,=,Ki,4.3,110213,COC(=O)[C@@H](O)[C@@H](N)Cc1ccccc1
CHEMBL67989,20000.0,=,IC50,4.7,110998,COC(=O)[C@@H](O)[C@@H](N)Cc1ccc(OCc2ccccc2)cc1
CHEMBL1560,70.0,=,IC50,7.16,444750,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
CHEMBL115170,390.0,=,IC50,6.41,188543,COC(=O)CC1CCN(CCOc2ccc(Cc3ccccc3)cc2)C1
