chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL3706781,920.0,=,IC50,6.04,2038787,N#Cc1c(N)cc2c(c1N)Cc1cc(O)c(O)cc1O2
CHEMBL3706766,180.0,=,IC50,6.75,2038772,N#Cc1c(N)cc2c(c1N)Cc1ccc(O)cc1O2
CHEMBL3706766,1080.0,=,IC50,5.97,2038772,N#Cc1c(N)cc2c(c1N)Cc1ccc(O)cc1O2
CHEMBL3706767,470.0,=,IC50,6.33,2038773,N#Cc1c(N)cc2c(c1N)Cc1cc(O)ccc1O2
CHEMBL3706767,25400.0,=,IC50,4.59,2038773,N#Cc1c(N)cc2c(c1N)Cc1cc(O)ccc1O2
CHEMBL3706770,330.0,=,IC50,6.48,2038776,COc1cc2c(cc1OC)Oc1cc(N)c(C#N)c(N)c1C2
CHEMBL3706770,64800.0,=,IC50,4.19,2038776,COc1cc2c(cc1OC)Oc1cc(N)c(C#N)c(N)c1C2
CHEMBL3706771,460.0,=,IC50,6.34,2038777,N#Cc1c(N)cc2c(c1N)Cc1cccc(O)c1O2
CHEMBL3706771,7120.0,=,IC50,5.15,2038777,N#Cc1c(N)cc2c(c1N)Cc1cccc(O)c1O2
CHEMBL3706773,490.0,=,IC50,6.31,2038779,N#Cc1c(N)cc2c(c1N)Cc1cc3c(cc1O2)OCCO3
CHEMBL3706773,55700.0,=,IC50,4.25,2038779,N#Cc1c(N)cc2c(c1N)Cc1cc3c(cc1O2)OCCO3
CHEMBL3706774,530.0,=,IC50,6.28,2038780,N#Cc1c(N)cc2c(c1N)Cc1cc(N)ccc1O2
CHEMBL3706775,560.0,=,IC50,6.25,2038781,N#Cc1c(N)cc2c(c1N)Cc1ccccc1O2
CHEMBL3706776,620.0,=,IC50,6.21,2038782,N#Cc1c(N)cc2c(c1N)Cc1cc(O)c(C3COCCO3)cc1O2
CHEMBL3706776,11900.0,=,IC50,4.92,2038782,N#Cc1c(N)cc2c(c1N)Cc1cc(O)c(C3COCCO3)cc1O2
CHEMBL3706777,690.0,=,IC50,6.16,2038783,N#Cc1c(N)cc2c(c1N)Cc1c(O)cc(O)cc1O2
CHEMBL3706778,770.0,=,IC50,6.11,2038784,CCOc1cc2c(cc1O)Cc1c(cc(N)c(C#N)c1N)O2
CHEMBL3706778,9400.0,=,IC50,5.03,2038784,CCOc1cc2c(cc1O)Cc1c(cc(N)c(C#N)c1N)O2
CHEMBL3706779,850.0,=,IC50,6.07,2038785,N#Cc1c(N)cc2c(c1N)Cc1ccc(O)c(O)c1O2
CHEMBL3706779,6920.0,=,IC50,5.16,2038785,N#Cc1c(N)cc2c(c1N)Cc1ccc(O)c(O)c1O2
CHEMBL3706782,1680.0,=,IC50,5.78,2038788,N#Cc1c(N)cc2c(c1N)Cc1ccc(OCN3CCCC3)cc1O2
CHEMBL3706782,2910.0,=,IC50,5.54,2038788,N#Cc1c(N)cc2c(c1N)Cc1ccc(OCN3CCCC3)cc1O2
CHEMBL3706783,237.0,=,IC50,6.62,2038789,N#Cc1c(N)cc2c(c1NCCO)Cc1cc(O)c(O)cc1O2
CHEMBL3706768,403.0,=,IC50,6.39,2038774,CCCNc1c(C#N)c(N)cc2c1Cc1cc(O)c(O)cc1O2
CHEMBL3706769,419.0,=,IC50,6.38,2038775,CCNc1c(C#N)c(N)cc2c1Cc1cc(O)c(O)cc1O2
CHEMBL360278,70000.0,=,IC50,4.16,302176,CN1c2ccccc2Cc2c1nc(N)c(C#N)c2N
