chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL134277,1900.0,=,IC50,5.72,218915,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3
CHEMBL415524,334.0,=,IC50,6.48,218997,CCc1ccccc1/C=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3
CHEMBL717,1197.0,=,IC50,5.92,34608,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
CHEMBL337856,1850.0,=,IC50,5.73,219109,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1C)Oc1c(F)cccc1-3
CHEMBL130141,363.0,=,IC50,6.44,218986,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccncc1C)Oc1ccc(F)cc1-3
CHEMBL103,14.0,=,IC50,7.85,12825,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL335992,2050.0,=,IC50,5.69,220445,CC1=CC(C)(C)Nc2ccc(-c3csc(C#N)c3)cc21
CHEMBL162569,2000.0,=,IC50,5.7,272915,C[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2[C@H]1C
CHEMBL131681,2700.0,=,IC50,5.57,220759,CC1(C)Nc2ccc(-c3csc(C#N)c3)cc2C(C)(C)C1=O
CHEMBL350932,2000.0,=,IC50,5.7,272493,Oc1cc(C(F)(F)F)c2cc3c(cc2n1)N[C@@H]1CCCC[C@H]31
CHEMBL132889,2100.0,=,IC50,5.68,221222,Cc1cc(C#N)sc1-c1ccc2c(c1)C(C)(C)C(=O)C(C)(C)N2
CHEMBL423620,570.0,=,IC50,6.24,273132,CC1(C)CCC[C@]2(C)c3cc4c(C(F)(F)F)cc(O)nc4cc3N[C@H]12
CHEMBL134260,1000.0,=,IC50,6.0,220761,Cc1cc(C#N)sc1-c1ccc2c(c1)C(C)CC(C)(C)N2
CHEMBL131855,2000.0,=,IC50,5.7,220762,CC1=CC(C)(C)Nc2ccc(-c3sc(C#N)cc3C)cc21
CHEMBL163425,2900.0,=,IC50,5.54,272512,Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)N[C@@H]1CCCC[C@H]31
CHEMBL351447,1900.0,=,IC50,5.72,273171,C[C@]12CCCC[C@H]1Nc1cc3nc(O)cc(C(F)(F)F)c3cc12
CHEMBL65929,681.0,=,IC50,6.17,100605,CC1=CC(C)(C)Nc2ccc3c(c21)C(=C1SCCCS1)Oc1ccc(F)cc1-3
CHEMBL417729,1500.0,=,IC50,5.82,77492,C=C1CCCC(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O
CHEMBL2112311,2800.0,=,IC50,5.55,1384562,CC[C@H]1c2cc3c(C(F)(F)F)cc(=O)oc3cc2NC[C@H]1C
CHEMBL2112312,3000.0,=,IC50,5.52,1384563,CC[C@@H]1c2cc3c(C(F)(F)F)cc(=O)oc3cc2NC[C@H]1C
CHEMBL7289,1500.0,=,IC50,5.82,791,CC1(C)CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1
CHEMBL2112310,1900.0,=,IC50,5.72,1384561,CC[C@@H]1CNc2cc3oc(=O)cc(C(F)(F)F)c3cc2[C@H]1CC
