chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL419409,1500.0,=,IC50,5.82,198656,COc1ccc(C#CC(C)(C)N)cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1
CHEMBL401930,4870.0,=,IC50,5.31,424433,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12
CHEMBL370808,1500.0,=,IC50,5.82,334686,COc1ccc(C#CC(C)(C)N)cc1-c1[nH]nc2nc(Nc3ccc(F)cc3F)ncc12
CHEMBL386760,2400.0,=,IC50,5.62,356252,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1
CHEMBL388978,130.0,=,IC50,6.89,373381,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL213618,1100.0,=,IC50,5.96,354665,CNc1nccc(-c2ccc(C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl)s2)n1
CHEMBL373882,25000.0,=,IC50,4.6,366622,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1
CHEMBL231568,13700.0,=,IC50,4.86,388417,CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(Cl)c(OC[C@@H]5CCCN5C)c4)nc3c2)ccn1
CHEMBL398610,3700.0,=,IC50,5.43,415776,CCOc1cccc2c1c(/C=C1\C(=O)NN=C1c1snnc1C)cn2C
CHEMBL246284,6500.0,=,IC50,5.19,411900,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)c1
CHEMBL246356,25000.0,=,IC50,4.6,411003,CNc1ncnc(-c2cccnc2Oc2cc(NC(=O)c3cccc(OC(F)(F)C(F)F)c3)ccc2C)n1
CHEMBL248108,3900.0,=,IC50,5.41,412187,NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1
CHEMBL251796,170.0,=,IC50,6.77,423090,Cc1ccc(Sc2cnc(Nc3cccc(Br)n3)s2)cc1C(=O)N1CCN(C(=O)[C@@H](C)N)CC1
CHEMBL254895,430.0,=,IC50,6.37,423087,Cc1ccc(Sc2cnc(Nc3cccc(Br)n3)s2)cc1C(=O)N1CCN(C(=O)CN)CC1
CHEMBL429430,650.0,=,IC50,6.19,441101,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccccc3)c2cc1OC
CHEMBL409933,210.0,=,IC50,6.68,440857,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)N[C@H](C)c3ccccc3)c2cc1OC
CHEMBL270306,460.0,=,IC50,6.34,440892,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)N[C@@H](C)c3ccccc3)c2cc1OC
CHEMBL270093,500.0,=,IC50,6.3,440891,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)NCc3ccc(C)cc3)c2cc1OC
CHEMBL272874,1600.0,=,IC50,5.8,440932,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)NCc3ccccc3)c2cc1OC
CHEMBL270545,1200.0,=,IC50,5.92,440934,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)NC(C)C)c2cc1OC
CHEMBL272875,1400.0,=,IC50,5.85,440933,CCNC(=O)N1CCOc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc21
CHEMBL272822,1100.0,=,IC50,5.96,440976,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccc(F)cc3)c2cc1OC
CHEMBL270548,300.0,=,IC50,6.52,441016,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccc(Cl)cc3)c2cc1OC
CHEMBL272878,230.0,=,IC50,6.64,441015,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3cccc(Cl)c3)c2cc1OC
CHEMBL270550,290.0,=,IC50,6.54,441018,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccccc3Cl)c2cc1OC
CHEMBL411630,370.0,=,IC50,6.43,441059,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccc(C)cc3)c2cc1OC
CHEMBL270057,350.0,=,IC50,6.46,441058,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3cccc(C)c3)c2cc1OC
CHEMBL270058,410.0,=,IC50,6.39,441060,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccccc3C)c2cc1OC
CHEMBL270954,260.0,=,IC50,6.58,440814,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccc(C)cc3)c2cc1C(N)=O
CHEMBL409867,160.0,=,IC50,6.8,440813,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccc(Cl)cc3)c2cc1C(N)=O
CHEMBL429743,450.0,=,IC50,6.35,439796,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC
CHEMBL260532,7400.0,=,IC50,5.13,441051,COc1cc2nccc(Oc3ccc4c(C(N)=O)cccc4c3)c2cc1C(N)=O
CHEMBL260531,6700.0,=,IC50,5.17,441050,COCCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(C(N)=O)cc34)ccc12
CHEMBL272250,20000.0,=,IC50,4.7,441095,COc1cc2nccc(Oc3ccc4c(C(=O)NC5CC5)cccc4c3)c2cc1C(N)=O
CHEMBL272252,20000.0,=,IC50,4.7,441097,COc1ccc2c(Oc3ccc4c(C(N)=O)cccc4c3)ccnc2c1
CHEMBL272251,20000.0,=,IC50,4.7,441096,COCCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)ccc34)ccc12
CHEMBL270342,20000.0,=,IC50,4.7,441099,COc1ccc2c(Oc3ccc4c(C(=O)NC5CC5)cccc4c3)ccnc2c1
CHEMBL270556,20000.0,=,IC50,4.7,441133,COc1cc2ncnc(Oc3ccc4c(C(N)=O)cccc4c3)c2cc1OC
CHEMBL412278,20000.0,=,IC50,4.7,441137,COCCNC(=O)c1cccc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12
CHEMBL411284,20000.0,=,IC50,4.7,441165,COc1cc2ncnc(Oc3ccc4c(C(=O)NC5CC5)cccc4c3)c2cc1OC
CHEMBL271984,6900.0,=,IC50,5.16,441171,COc1cc2nccc(Oc3ccc4c(C(N)=O)cccc4c3)c2cc1OC
CHEMBL271188,20000.0,=,IC50,4.7,440558,COCCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12
