chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL35482,2800.0,=,IC50,5.55,50222,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N
CHEMBL388978,2.5,=,IC50,8.6,373381,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL361708,9.0,=,IC50,8.05,307979,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1
CHEMBL151430,1288.0,=,IC50,5.89,250396,Nc1nc(C2CCNC(=O)c3[nH]c(Br)c(Br)c32)c[nH]1
CHEMBL440356,539.0,=,IC50,6.27,250345,O=C1CCNC(=O)c2[nH]c(Br)cc21
CHEMBL359106,6.0,=,IC50,8.22,250364,NC1=N/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)C(=O)N1
CHEMBL75680,22000.0,=,IC50,4.66,122337,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12
CHEMBL280074,7000.0,=,IC50,5.16,14090,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21
CHEMBL77155,50000.0,=,IC50,4.3,123900,CC(C)=CCNc1nc(N)nc2c1ncn2C(C)C
CHEMBL388978,1380.0,=,IC50,5.86,373381,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL388978,1.0,<,IC50,,373381,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL332551,89.0,=,IC50,7.05,201833,Nc1nc(C2=C3C(=Nc4ccccc43)C(=O)NCC2)c(O)[nH]1
CHEMBL361708,6.0,=,IC50,8.22,307979,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1
CHEMBL255465,824.0,=,IC50,6.08,425061,NC1=N/C(=C2/CCNC(=O)c3[nH]ccc32)C(=O)N1
CHEMBL364953,5000.0,=,Kd,5.3,317858,O=C(CSc1nc2ccccc2o1)Nc1ccc(-n2cnnn2)cc1
CHEMBL190710,16000.0,=,Kd,4.8,318152,N=C(N)Nc1nc(C2COc3ccccc3O2)cs1
CHEMBL363555,5000.0,=,Kd,5.3,318153,CCOc1ccc(/C=C2\SC(=O)N(CCN)C2=O)cc1
CHEMBL259551,1900.0,=,IC50,5.72,430594,Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12
CHEMBL369976,5100.0,=,IC50,5.29,334516,Nc1nn(CCO)c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12
CHEMBL199395,560.0,=,IC50,6.25,334474,C=CCn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21
CHEMBL370379,1400.0,=,IC50,5.85,334473,Cn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21
CHEMBL383104,280.0,=,IC50,6.55,339662,CCCCNC(=O)N1Cc2n[nH]c(NC(=O)Cc3ccc(N4CCCC4)cc3)c2C1
CHEMBL380946,380.0,=,IC50,6.42,339586,CCCCNC(=O)N1Cc2n[nH]c(NC(=O)[C@@H](C)c3ccc4ccccc4c3)c2C1
CHEMBL606964,12600.0,=,IC50,4.9,609883,COc1ccc(N2Cc3cnc(Nc4ccc(F)cc4)nc3N([C@@H]3CC[C@@H](O)C3)C2=O)cc1
CHEMBL383541,12850.0,=,IC50,4.89,342789,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
CHEMBL388978,370.0,=,IC50,6.43,373381,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL383264,910.0,=,IC50,6.04,344363,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL378627,3900.0,=,Ki,5.41,350051,COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1
