chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL151539,1.0,<,IC50,,251564,CCCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1
CHEMBL151718,0.5,<,IC50,,251223,COc1ccc(S(=O)(=O)N2C/C(=N\OC(C)(C)C)C[C@@H]2C(=O)NO)cc1
CHEMBL357728,0.4,<,IC50,,251908,CC(C)(C)O/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1
CHEMBL348210,3.0,=,IC50,8.52,251610,COc1ccc(S(=O)(=O)N2CC(NOC(C)(C)C)C[C@@H]2C(=O)NO)cc1
CHEMBL80814,2.0,=,IC50,8.7,125621,COc1ccc(CCN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1
CHEMBL346624,0.7,=,IC50,9.15,251258,CCOc1ccc(S(=O)(=O)N2C/C(=N\OC)C[C@@H]2C(=O)NO)cc1
CHEMBL276119,2.0,=,IC50,8.7,125165,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1
CHEMBL78934,5.0,=,IC50,8.3,126244,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1
CHEMBL78369,1.0,=,IC50,9.0,126242,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1
CHEMBL514138,8.0,=,IC50,8.1,1549,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1
CHEMBL151591,3.0,=,IC50,8.52,251679,CONC1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1
CHEMBL80453,4.0,=,IC50,8.4,126026,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1
CHEMBL312432,6.0,=,IC50,8.22,126174,Cc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OCc4ccc(Cl)cc4)cc3)CC2)cc1
CHEMBL150655,0.2,=,IC50,9.7,252065,COc1ccc(S(=O)(=O)N2C/C(=N\O)C[C@@H]2C(=O)NO)cc1
CHEMBL151331,1.0,<,IC50,,251845,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\N3CCNCC3)C[C@@H]2C(=O)NO)cc1
CHEMBL306617,2.0,=,IC50,8.7,126548,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1
CHEMBL79111,2.0,=,IC50,8.7,126044,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CC)CC2)cc1
CHEMBL150483,0.2,<,IC50,,251607,CO/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1
CHEMBL78798,1.0,=,IC50,9.0,125967,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OCCN4CCCCC4)cc3)CC2)cc1
CHEMBL440355,0.5,=,IC50,9.3,251575,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\OCC)C[C@@H]2C(=O)NO)cc1
CHEMBL80969,2.0,=,IC50,8.7,124508,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1
CHEMBL78909,1.0,=,IC50,9.0,126225,COc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(Oc4ccc(Cl)cc4)cc3)CC2)cc1
CHEMBL76137,3.0,=,IC50,8.52,125117,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4ccccc4)cc3)CC2)cc1
CHEMBL310340,1.4,=,IC50,8.85,125083,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCOCC2)cc1
CHEMBL150027,0.4,=,IC50,9.4,251881,O=C(NO)[C@H]1C/C(=N/Oc2ccccc2)CN1S(=O)(=O)c1ccc(Oc2ccncc2)cc1
CHEMBL346442,0.2,=,IC50,9.7,251838,CC(C)(C)O/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)C1
CHEMBL76836,3.0,=,IC50,8.52,125119,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OCCN4CCCCC4)cc3)CC2)cc1
CHEMBL150077,0.3,=,IC50,9.52,251224,CCCCOc1ccc(S(=O)(=O)N2C/C(=N\O)C[C@@H]2C(=O)NO)cc1
CHEMBL357796,8.0,=,IC50,8.1,251939,COCCOc1ccc(S(=O)(=O)N2CC(NOC)C[C@@H]2C(=O)NO)cc1
CHEMBL312429,2.0,=,IC50,8.7,125746,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc4ccccc4c3)CC2)cc1
CHEMBL78549,1.0,=,IC50,9.0,126440,CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1
CHEMBL78508,2.0,=,IC50,8.7,125944,CC(C)CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1
CHEMBL150242,0.4,<,IC50,,251678,CO/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccccc3)cc2)C1
CHEMBL80732,2.0,=,IC50,8.7,125945,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCNCC1
CHEMBL309311,1.0,=,IC50,9.0,126330,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1
CHEMBL151399,4.0,=,IC50,8.4,251348,C=C1C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)C1
CHEMBL79433,1.0,=,IC50,9.0,125914,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1
