chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL322395,280.0,=,IC50,6.55,165700,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl
CHEMBL97724,1400.0,=,IC50,5.85,157408,N#Cc1c(N)[nH]c(Sc2ccc3ccccc3c2)c1C#N
CHEMBL97406,900.0,=,IC50,6.05,157053,N#CC(=C(/N)Sc1ccccc1Cl)/C(C#N)=C(\N)Sc1ccccc1Cl
CHEMBL318939,1100.0,=,IC50,5.96,157659,N#CC(=C(/N)Sc1ccccc1Br)/C(C#N)=C(\N)Sc1ccccc1Br
CHEMBL95069,300.0,=,IC50,6.52,157230,N#CC(=C(/N)Sc1ccccc1O)/C(C#N)=C(\N)Sc1ccccc1O
CHEMBL316536,13500.0,=,IC50,4.87,157863,N#Cc1c(N)[nH]c(Sc2ccccc2N)c1C#N
CHEMBL95758,2600.0,=,IC50,5.58,157680,N#CC(=C(\N)Sc1ccccc1N)/C(C#N)=C(/N)Sc1ccccc1N
CHEMBL316510,700.0,=,IC50,6.16,157529,N#CC(=C1/Nc2ccccc2S1)/C(C#N)=C1\Nc2ccccc2S1
CHEMBL329492,300.0,=,IC50,6.52,157409,N#CC(=C(/N)Sc1cccs1)/C(C#N)=C(\N)Sc1cccs1
CHEMBL95905,3200.0,=,IC50,5.5,157956,N#CC(=C(/N)Sc1ccccc1N)/C(C#N)=C1\Nc2ccccc2S1
CHEMBL100473,500.0,=,IC50,6.3,157660,N#CC(=C(/N)Sc1ccccc1N)/C(C#N)=C(/N)Sc1ccccc1N
CHEMBL95728,2100.0,=,IC50,5.68,157548,N#CC(=C(/N)Sc1ccc(Cl)cc1)/C(C#N)=C(\N)Sc1ccc(Cl)cc1
CHEMBL94565,1900.0,=,IC50,5.72,157628,N#CC(=C(/N)Sc1cccc(Cl)c1)/C(C#N)=C(\N)Sc1cccc(Cl)c1
CHEMBL94971,400.0,=,IC50,6.4,157227,N#CC(=C(/N)Sc1ccc(O)cc1)/C(C#N)=C(\N)Sc1ccc(O)cc1
CHEMBL95400,2000.0,=,IC50,5.7,157919,Cc1ccccc1S/C(N)=C(C#N)/C(C#N)=C(\N)Sc1ccccc1C
CHEMBL330195,2100.0,=,IC50,5.68,157712,N#Cc1c(Sc2ccc3ccccc3c2)[nH]c(Sc2ccc3ccccc3c2)c1C#N
CHEMBL330393,900.0,=,IC50,6.05,157185,N#CC(=C(/N)Sc1ccccc1F)/C(C#N)=C(\N)Sc1ccccc1F
CHEMBL97067,2800.0,=,IC50,5.55,157508,N#CC(=C(/N)Sc1c(Cl)cccc1Cl)/C(C#N)=C(\N)Sc1c(Cl)cccc1Cl
CHEMBL316635,1900.0,=,IC50,5.72,157748,N#Cc1c(NS(=O)(=O)c2ccccc2)[nH]c(Sc2ccc3ccccc3c2)c1C#N
CHEMBL317720,500.0,=,IC50,6.3,157348,N#CC(=C(/N)Sc1ccc(N)cc1)/C(C#N)=C(\N)Sc1ccc(N)cc1
CHEMBL329698,900.0,=,IC50,6.05,157051,N#CC(=C(/N)Sc1ccccc1)/C(C#N)=C(\N)Sc1ccccc1
CHEMBL97586,4500.0,=,IC50,5.35,156721,COc1ccccc1S/C(N)=C(C#N)/C(C#N)=C(\N)Sc1ccccc1OC
CHEMBL97205,4800.0,=,IC50,5.32,156248,N#CC(=C(/N)Sc1cccc(N)c1)/C(C#N)=C(\N)Sc1cccc(N)c1
CHEMBL95057,2100.0,=,IC50,5.68,157626,N#CC(=C(/N)Sc1ccc2ccccc2c1N)/C(C#N)=C(\N)Sc1ccc2ccccc2c1N
CHEMBL397591,2500.0,=,IC50,5.6,407384,Nc1ncc(/C=C/CNC(=O)c2cc(Br)c(Br)[nH]2)[nH]1
CHEMBL388978,2.5,=,IC50,8.6,373381,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL356164,2500.0,=,IC50,5.6,250397,NC(=O)c1cc(Br)c(Br)[nH]1
CHEMBL361708,2500.0,=,IC50,5.6,307979,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1
