chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL542710,5370.0,=,IC50,5.27,665542,CCCCCC1N=C(N)CC1C
CHEMBL552936,8290.0,=,IC50,5.08,668551,CC1CC(N)=NC1Cc1ccccc1
CHEMBL7889,1600.0,=,IC50,5.8,3097,CC(=N)NCCCC[C@H](N)C(=O)O
CHEMBL62077,2200.0,=,IC50,5.66,92993,CCc1ccnc(N)c1
CHEMBL545291,3000.0,=,IC50,5.52,307420,CC1CCN=C1N
CHEMBL87187,130.0,=,IC50,6.89,138996,Nc1cccc(-c2ccc(CCN3CCN(c4cccc5cccnc45)CC3)cc2)n1
CHEMBL87187,212.0,=,IC50,6.67,138996,Nc1cccc(-c2ccc(CCN3CCN(c4cccc5cccnc45)CC3)cc2)n1
CHEMBL114500,6600.0,=,IC50,5.18,184420,COc1ccnc(NC2CCN(C(=O)c3ccc(C#N)cc3)CC2)c1
CHEMBL553678,38300.0,=,IC50,4.42,668944,NC1=NC(Cc2ccccc2)C(C(F)(F)F)C1
CHEMBL2448330,50000.0,=,IC50,4.3,693778,NC(N)=NCCC[C@H](N)B(O)O
CHEMBL112747,28000.0,=,IC50,4.55,184393,COc1ccnc(NC2CCN(C(=O)c3ccccc3)CC2)c1
CHEMBL545059,2530.0,=,IC50,5.6,667570,CCCCCC1N=C(N)CC1C(F)(F)F
CHEMBL227744,500.0,=,IC50,6.3,377219,N=C(NCCC[C@H](N)C(=O)O)N[N+](=O)[O-]
CHEMBL542710,3200.0,=,IC50,5.5,665542,CCCCCC1N=C(N)CC1C
CHEMBL552936,11200.0,=,IC50,4.95,668551,CC1CC(N)=NC1Cc1ccccc1
CHEMBL553678,12100.0,=,IC50,4.92,668944,NC1=NC(Cc2ccccc2)C(C(F)(F)F)C1
CHEMBL543888,20000.0,=,IC50,4.7,266517,NC1=NCCC1
CHEMBL555587,9800.0,=,IC50,5.01,307422,CC1CCC(N)=N1
CHEMBL112198,96000.0,=,IC50,4.02,184498,CCOC(=O)N1CCC(Nc2cc(OCC)ccn2)CC1
CHEMBL553119,850.0,=,IC50,6.07,668647,CCCCC1N=C(N)CC1C
CHEMBL545059,9050.0,=,IC50,5.04,667570,CCCCCC1N=C(N)CC1C(F)(F)F
CHEMBL420671,21000.0,=,IC50,4.68,185862,CCOC(=O)N1CCC(Nc2cc(C)ccn2)CC1
CHEMBL541090,4700.0,=,IC50,5.33,307421,CC1CN=C(N)C1
CHEMBL40833,110.0,=,IC50,6.96,59752,Cc1ccnc(N)c1
CHEMBL256147,10000.0,=,IC50,5.0,425372,CNC(=N)NCCC[C@H](N)C(=O)O
CHEMBL112866,7800.0,=,IC50,5.11,184392,COc1ccnc(NC2CCN(C(=O)c3ccc(Cl)cc3)CC2)c1
CHEMBL87529,247.0,=,IC50,6.61,139006,Nc1cccc(-c2ccc(CCN3CCN(CCc4ccccc4)CC3)cc2)n1
CHEMBL87529,264.0,=,IC50,6.58,139006,Nc1cccc(-c2ccc(CCN3CCN(CCc4ccccc4)CC3)cc2)n1
CHEMBL59925,98.0,=,IC50,7.01,93362,Cc1cc(C)nc(N)c1
CHEMBL302657,10.0,=,IC50,8.0,93201,CCCc1cc(C)cc(N)n1
CHEMBL112246,32000.0,=,IC50,4.5,185125,CCOC(=O)N1CCC(Nc2cc(OC)ccn2)CC1
CHEMBL86810,193.0,=,IC50,6.71,139035,CC(C)CN1CCN(CCc2ccc(-c3cccc(N)n3)cc2)CC1
CHEMBL86810,350.0,=,IC50,6.46,139035,CC(C)CN1CCN(CCc2ccc(-c3cccc(N)n3)cc2)CC1
