chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL291345,4000.0,=,Ki,5.4,100328,CC(=O)NC1C(O)C=C(C(=O)O)OC1[C@H](O)[C@H](O)CO
CHEMBL157939,1.0,=,Ki,9.0,261895,CC(=O)NC1C(NC(=N)N)C=C(C(=O)O)OC1C(O)[C@H](O)CO
CHEMBL345693,40.0,=,Ki,7.4,261860,CC(=O)NC1C(N)C=C(C(=O)O)OC1[C@H](O)[C@H](O)CO
CHEMBL115522,40000.0,=,IC50,4.4,192895,CC(=O)N[C@@H]([C@H](O)[C@H](O)CO)[C@H]1OC(O)(C(=O)O)C[C@@H]1O
CHEMBL119140,100.0,=,IC50,7.0,192931,CCCCC(NC(C)=O)[C@@H]1CC(C(=O)O)C[C@H]1N=C(N)N
CHEMBL96712,10000.0,=,IC50,5.0,153113,CC(=O)N[C@@H]1[C@@H](O)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
CHEMBL139367,1.4,=,IC50,8.85,228354,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N
CHEMBL139367,11.0,=,IC50,7.96,228354,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N
CHEMBL222813,20.0,=,IC50,7.7,373806,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
CHEMBL305240,87000.0,=,IC50,4.06,113440,CC(=O)N[C@@H]1[C@@H](NC(=O)OC(C)(C)C)C=C(C(=O)OC(c2ccccc2)c2ccccc2)O[C@H]1c1n[nH]c(Cc2ccccc2)n1
CHEMBL303175,23000.0,=,IC50,4.64,113610,CC(=O)N[C@@H]1[C@@H](N)C=C(C(=O)O)O[C@H]1c1nc(C)no1
CHEMBL303175,43000.0,=,IC50,4.37,113610,CC(=O)N[C@@H]1[C@@H](N)C=C(C(=O)O)O[C@H]1c1nc(C)no1
CHEMBL70627,12000.0,=,IC50,4.92,113441,CCCn1nc([C@@H]2OC(C(=O)OC(c3ccccc3)c3ccccc3)=C[C@H](NC(=O)OC(C)(C)C)[C@H]2NC(C)=O)nc1Cc1ccccc1
CHEMBL674,2.2,=,IC50,8.66,28675,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O
CHEMBL674,24.3,=,IC50,7.61,28675,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O
CHEMBL308831,14000.0,=,IC50,4.85,113019,CC(=O)N[C@@H]1[C@@H](N)C=C(C(=O)O)O[C@H]1c1nc(-c2ccccc2)no1
CHEMBL308831,80000.0,=,IC50,4.1,113019,CC(=O)N[C@@H]1[C@@H](N)C=C(C(=O)O)O[C@H]1c1nc(-c2ccccc2)no1
CHEMBL302133,70.0,=,IC50,7.16,115118,CCCn1nc(Cc2ccccc2)nc1[C@@H]1OC(C(=O)OC(c2ccccc2)c2ccccc2)=C[C@H](NC(=O)OC(C)(C)C)[C@H]1NC(C)=O
CHEMBL302133,56000.0,=,IC50,4.25,115118,CCCn1nc(Cc2ccccc2)nc1[C@@H]1OC(C(=O)OC(c2ccccc2)c2ccccc2)=C[C@H](NC(=O)OC(C)(C)C)[C@H]1NC(C)=O
CHEMBL303919,99000.0,=,IC50,4.0,115205,CC(=O)N[C@@H]1[C@@H](N)C=C(C(=O)O)O[C@H]1c1nc(Cc2ccccc2)no1
CHEMBL222813,1.7,=,IC50,8.77,373806,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
CHEMBL72024,56000.0,=,IC50,4.25,115241,CCCCc1noc([C@@H]2OC(C(=O)O)=C[C@H](N)[C@H]2NC(C)=O)n1
CHEMBL70936,330.0,=,IC50,6.48,115150,CCCCc1nnc([C@@H]2OC(C(=O)O)=C[C@H](N)[C@H]2NC(C)=O)n1CCC
CHEMBL70936,13000.0,=,IC50,4.89,115150,CCCCc1nnc([C@@H]2OC(C(=O)O)=C[C@H](N)[C@H]2NC(C)=O)n1CCC
CHEMBL52862,25000.0,=,IC50,4.6,82383,CCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NS(C)(=O)=O
CHEMBL53507,140.0,=,IC50,6.85,82381,CCCO[C@@H]1C=C(C(=O)O)C[C@H](/N=C/N)[C@H]1NC(C)=O
CHEMBL53768,1500.0,=,IC50,5.82,82195,CCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(=O)CC
CHEMBL54758,130.0,=,IC50,6.89,81970,CCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O
CHEMBL53049,225.0,=,IC50,6.65,82050,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1OCCC(F)(F)F
CHEMBL53050,2200.0,=,IC50,5.66,82312,C=CCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O
CHEMBL54806,2000.0,=,IC50,5.7,81969,COCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O
CHEMBL55921,1.8,=,IC50,8.74,129882,CCCO[C@@H]1C=C(C(=O)O)C[C@H](N=C(N)N)[C@H]1NC(C)=O
CHEMBL52195,1400.0,=,IC50,5.85,82311,CCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(=O)C(F)(F)F
CHEMBL432329,4.6,=,IC50,8.34,659725,CCCO[C@@H]1C=C(C(=O)O)C[C@H](/N=C(\N)NC)[C@H]1NC(C)=O
CHEMBL54479,22.0,=,IC50,7.66,82165,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1OC1CCCC1
CHEMBL320978,85.0,=,IC50,7.07,185320,CCC(CC)N[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O
CHEMBL674,1.3,=,IC50,8.89,28675,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O
CHEMBL115466,31000.0,=,IC50,4.51,192658,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1N
CHEMBL325456,1640.0,=,IC50,5.79,192681,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1NCCCc1ccccc1
CHEMBL51311,22000.0,=,IC50,4.66,75186,CCC(CC)C(=O)N1N=C(C(=O)O)C[C@H](N=C(N)N)[C@H]1NC(C)=O
CHEMBL300199,62000.0,=,IC50,4.21,75023,CCC(CC)C(=O)N1N=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O
CHEMBL674,3.6,=,IC50,8.44,28675,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O
CHEMBL22350,26.0,=,IC50,7.58,28702,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1N1CCCCCCC1
CHEMBL22350,14.0,=,IC50,7.85,28702,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1N1CCCCCCC1
