chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL338088,230.0,=,IC50,6.64,206175,O=[N+]([O-])c1ccc(-c2nc(O)c3cccc(O)c3n2)cc1
CHEMBL541203,440.0,=,IC50,6.36,206233,Cc1cccc2c(O)nc(-c3ccc(N)cc3)nc12
CHEMBL419424,8000.0,=,IC50,5.1,205958,NC(=O)c1cccc(O)c1
CHEMBL127101,190.0,=,IC50,6.72,206236,COc1ccc(-c2nc(O)c3cccc(C)c3n2)cc1
CHEMBL123798,39000.0,=,IC50,4.41,206241,COc1cccc2c(O)nc(-c3ccc(C(F)(F)F)cc3)nc12
CHEMBL339695,15800.0,=,IC50,4.8,206146,Oc1nccc2ccccc12
CHEMBL126167,520.0,=,IC50,6.28,205713,Nc1ccc(-c2nc(O)c3cccc(O)c3n2)cc1
CHEMBL339631,1340.0,=,IC50,5.87,206272,COc1cccc2c(O)nc(-c3ccc(C#N)cc3)nc12
CHEMBL125154,850.0,=,IC50,6.07,206057,COc1cccc2c(O)nc(-c3ccc([N+](=O)[O-])cc3)nc12
CHEMBL124749,870.0,=,IC50,6.06,206018,Cc1cccc2c(O)nc(-c3ccccc3)nc12
CHEMBL123904,400.0,=,IC50,6.4,205991,Cc1nc2c(O)cccc2c(=O)[nH]1
CHEMBL127335,290.0,=,IC50,6.54,205640,Oc1ccc(-c2nc(O)c3cccc(O)c3n2)cc1
CHEMBL125244,220.0,=,IC50,6.66,205639,Cc1cccc2c(O)nc(-c3ccc(O)cc3)nc12
CHEMBL341142,1060.0,=,IC50,5.97,206148,Oc1nc(-c2ccccc2)nc2c(O)cccc12
CHEMBL123797,270.0,=,IC50,6.57,206240,Cc1cccc2c(O)nc(-c3ccc(C#N)cc3)nc12
CHEMBL81977,19100.0,=,IC50,4.72,128215,NC(=O)c1cccc(N)c1
CHEMBL125200,440.0,=,IC50,6.36,205171,Cc1cccc2c1CCNC2=O
CHEMBL127396,130.0,=,IC50,6.89,206058,Cc1cccc2c(O)nc(-c3ccc([N+](=O)[O-])cc3)nc12
CHEMBL151549,390.0,=,IC50,6.41,249240,Cc1nc(O)c2cccc(C)c2n1
CHEMBL340620,4800.0,=,IC50,5.32,206176,COC(=O)c1ccc(-c2nc(O)c3cccc(C)c3n2)cc1
CHEMBL126871,4200.0,=,IC50,5.38,206059,COc1cccc2c(O)nc(-c3ccccc3)nc12
CHEMBL340481,2000.0,=,IC50,5.7,206234,COc1ccc(-c2nc(O)c3cccc(OC)c3n2)cc1
CHEMBL435871,780.0,=,IC50,6.11,249208,COc1cccc2c(O)nc(C)nc12
CHEMBL147359,1930.0,=,IC50,5.71,249112,COc1cccc2c(O)nc(-c3ccc(N=[N+]=[N-])cc3)nc12
CHEMBL355633,18000.0,=,IC50,4.75,282618,CCNCC(=O)Nc1cccc2c1CNC2=O
CHEMBL607928,700.0,=,IC50,6.16,607802,Nc1ncnc2c1ncn2C1O[C@H](C(=O)NCCC(=O)Nc2cccc3c2CNC3=O)[C@@H](O)[C@H]1O
CHEMBL352926,30000.0,=,IC50,4.52,281853,O=C1N=Cc2ccccc21
CHEMBL424399,5000.0,=,IC50,5.3,281988,Nc1ncnc2c1ncn2C1OC(CNC(=O)CCC(=O)Nc2cccc(-c3ccccc3)c2)[C@@H](O)[C@H]1O
CHEMBL608792,250.0,=,IC50,6.6,607963,CN(CCC(=O)Nc1cccc2c1CNC2=O)C(=O)[C@H]1OC(n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEMBL607657,10000.0,=,IC50,5.0,607845,Nc1ncnc2c1ncn2C1O[C@H](CNC(=O)/C=C/c2ccc(C(=O)Nc3cccc4c3CNC4=O)cc2)[C@@H](O)[C@H]1O
CHEMBL172743,3000.0,=,IC50,5.52,282404,CNc1ncnc2c1ncn2CC(=O)Nc1cccc2c1CNC2=O
CHEMBL608784,2000.0,=,IC50,5.7,607891,Nc1ncnc2c1ncn2C1O[C@H](CNC(=O)CCCCCCCC(=O)Nc2cccc3c2CNC3=O)[C@@H](O)[C@H]1O
CHEMBL170272,30000.0,=,IC50,4.52,281708,CNCCCCCCCC(=O)Nc1cccc2c1CNC2=O
CHEMBL168212,30000.0,=,IC50,4.52,281851,O=C(CN1CCc2ccccc2C1)Nc1cccc2c1CNC2=O
CHEMBL355675,3000.0,=,IC50,5.52,282051,O=C(Cn1cnc2ccccc21)Nc1cccc2c1CNC2=O
CHEMBL169140,30000.0,=,IC50,4.52,282377,Nc1cccc2c1CNC2=O
