chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL43736,80.0,=,IC50,7.1,63292,Cc1c(COc2cccc(Cl)c2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL140167,0.12,=,IC50,9.92,234337,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1
CHEMBL118,9.3,=,IC50,8.03,18694,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL143653,10.9,=,IC50,7.96,233997,c1ccc(-c2sc(-c3ccccc3)c3ccccc23)cc1
CHEMBL341652,10.0,=,IC50,8.0,234202,c1ccc(-c2cc3n(c2-c2ccccc2)CCC3)cc1
CHEMBL140092,32.4,=,IC50,7.49,234242,c1ccc(C2NC(c3ccccc3)c3ccccc32)cc1
CHEMBL42801,100000.0,=,IC50,4.0,62666,Cc1c(CN(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL140991,1.67,=,IC50,8.78,234118,Cc1ccc(-c2[nH]c(-c3ccc(C)cc3)c3c2CCCC3)cc1
CHEMBL43210,10200.0,=,IC50,4.99,62947,CS(=O)(=O)c1ccc(-c2cccn2-c2ccc(F)cc2)cc1
CHEMBL44152,30.0,=,IC50,7.52,63332,Cc1c(COc2ccc(Cl)cc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL43664,4600.0,=,IC50,5.34,63489,COc1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(C(C)=O)cc2)cc1
CHEMBL43664,2400.0,=,IC50,5.62,63489,COc1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(C(C)=O)cc2)cc1
CHEMBL141298,10.0,=,IC50,8.0,234888,c1ccc([C@H]2N[C@H](c3ccccc3)c3ccccc32)cc1
CHEMBL344837,28.7,=,IC50,7.54,234889,c1ccc(-c2cn3c(c2-c2ccccc2)CCC3)cc1
CHEMBL43864,520.0,=,IC50,6.28,63589,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C1CCCCC1
CHEMBL44244,60.0,=,IC50,7.22,62874,Cc1c(S(=O)(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL143776,0.08,=,IC50,10.1,235438,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1
CHEMBL143523,50.0,=,IC50,7.3,233996,c1ccc(-c2cc(-c3ccccc3)n3c2CCC3)cc1
CHEMBL43755,7500.0,=,IC50,5.12,63167,CN(C)S(=O)(=O)c1ccc(-n2c(CCC(=O)O)ccc2-c2ccc(F)cc2)cc1
CHEMBL91832,5.0,=,IC50,8.3,146233,CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL91118,1.2,=,IC50,8.92,145922,C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1
CHEMBL92443,2.2,=,IC50,8.66,146266,C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C
CHEMBL282185,730.0,=,IC50,6.14,43574,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1C(=O)c1ccc(Cl)cc1
CHEMBL144658,34000.0,=,IC50,4.47,240543,CCCCSc1ccccc1OC(C)=O
CHEMBL19286,2000.0,=,IC50,5.7,22872,C[C@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1
CHEMBL342799,12000.0,=,IC50,4.92,240288,CCCCCCC[Se]c1ccccc1OC(C)=O
CHEMBL144547,26000.0,=,IC50,4.58,240915,CCCCC#CCSc1ccccc1OC(=O)CBr
CHEMBL143339,2000.0,=,IC50,5.7,240420,CCCCCCCSc1ccccc1OC(C)=O
CHEMBL328003,110.0,=,IC50,6.96,145921,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C2)cc1
CHEMBL420987,2.8,=,IC50,8.55,146270,CC1(C)C(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL416542,22000.0,=,IC50,4.66,22080,CC(C(=O)O)c1ccc(CC2CCCC2O)cc1
CHEMBL122,530.0,=,IC50,6.28,21697,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
CHEMBL330516,61.0,=,IC50,7.21,146824,CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)/C1=N/O
CHEMBL42485,2.1,=,IC50,8.68,65500,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1
CHEMBL345018,800.0,=,IC50,6.1,239763,CCCCC#CCSc1ccccc1OC(C)=O
CHEMBL6,5.9,=,IC50,8.23,173,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
