chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL371695,23000.0,=,IC50,4.64,334157,Cc1n[nH]c2sc(C(N)=O)c(NC(=O)c3ccccc3Cl)c12
CHEMBL370199,8000.0,=,IC50,5.1,334275,COC(=O)C(=O)Nc1c(C(N)=O)sc2[nH]nc(C)c12
CHEMBL197923,17000.0,=,IC50,4.77,334200,O=C(NCCc1ccccc1)c1cc2c(-c3ccccc3)[nH]nc2s1
CHEMBL199755,12000.0,=,IC50,4.92,334343,O=C(NC1CCCCC1)c1cc2c(-c3ccccc3)[nH]nc2s1
CHEMBL373001,16000.0,=,IC50,4.8,334047,Cc1n[nH]c2sc(C(=O)NCc3ccccc3)cc12
CHEMBL200796,21000.0,=,IC50,4.68,334132,COC(=O)c1cc2c(Nc3ccccc3)[nH]nc2s1
CHEMBL402548,3500.0,=,IC50,5.46,436278,CO[C@@H](C(=O)N1Cc2n[nH]c(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1
CHEMBL219899,125.89,=,IC50,6.9,369230,COc1cc2ncn(-c3cc(OCc4ccc(S(C)(=O)=O)cc4)c(C(N)=O)s3)c2cc1OC
CHEMBL373751,794.33,=,IC50,6.1,369152,COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(C#N)s3)c2cc1OC
CHEMBL375787,10000.0,<,IC50,,369239,COc1cc2ncn(-c3cc(OCC4CCCO4)c(C#N)s3)c2cc1OC
CHEMBL220032,251.19,=,IC50,6.6,369238,COc1cc2ncn(-c3cc(OCC4CCCO4)c(C(N)=O)s3)c2cc1OC
CHEMBL219711,630.96,=,IC50,6.2,369231,COc1cc2ncn(-c3cc(OCc4ccc(S(C)(=O)=O)cc4)c(C#N)s3)c2cc1OC
CHEMBL222312,630.96,=,IC50,6.2,369248,COc1cc2ncn(-c3cc(OCc4ccccc4)c(C(=O)O)s3)c2cc1OC
CHEMBL223367,940.0,=,Ki,6.03,370955,N#Cc1ncc2nc1OCCCCCOc1cc(CCCO)c(Cl)cc1NC(=O)N2
CHEMBL223460,2330.0,=,Ki,5.63,370919,CS(=O)(=O)Nc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO2
CHEMBL373598,1280.0,=,Ki,5.89,370916,N#Cc1ncc2nc1OCCCCCOc1cc(OCCCO)c(Cl)cc1NC(=O)N2
CHEMBL242237,730.0,=,IC50,6.14,386467,NC(=O)c1ccccc1Nc1ccnc(Nc2cccc(O)c2)n1
CHEMBL248757,6560.0,=,Ki,5.18,418190,N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2
CHEMBL259084,53000.0,=,IC50,4.28,428508,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1
CHEMBL263902,50000.0,=,IC50,4.3,428285,Cc1cccc(C2=Nc3c(N)ncnc3NCC2)c1
CHEMBL98350,2100.0,=,IC50,5.68,157152,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12
CHEMBL428496,5.8,=,IC50,8.24,11985,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O
CHEMBL524266,574.0,=,IC50,6.24,494338,Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1
CHEMBL525907,1301.0,=,IC50,5.89,493665,Cc1nn(-c2ccccc2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL496954,7685.0,=,IC50,5.11,493666,Cc1ccccc1-n1nc(C)c2cnc(N[C@@H](C)c3ccccc3)cc21
CHEMBL497158,474.0,=,IC50,6.32,493667,Cc1cccc(-n2nc(C)c3cnc(N[C@@H](C)c4ccccc4)cc32)c1
CHEMBL523423,4528.0,=,IC50,5.34,493668,Cc1ccc(-n2nc(C)c3cnc(N[C@@H](C)c4ccccc4)cc32)cc1
CHEMBL497159,14451.0,=,IC50,4.84,493669,COc1ccccc1-n1nc(C)c2cnc(N[C@@H](C)c3ccccc3)cc21
CHEMBL495926,5928.0,=,IC50,5.23,493732,COc1cccc(-n2nc(C)c3cnc(N[C@@H](C)c4ccccc4)cc32)c1
CHEMBL523233,703.0,=,IC50,6.15,493733,COc1ccc(-n2nc(C)c3cnc(N[C@@H](C)c4ccccc4)cc32)cc1
CHEMBL496125,4516.0,=,IC50,5.34,493734,Cc1nn(-c2ccccc2F)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL522392,464.0,=,IC50,6.33,493735,Cc1nn(-c2cccc(F)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL498189,3241.0,=,IC50,5.49,493736,Cc1nn(-c2ccc(F)cc2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL478028,121.0,=,IC50,6.92,491205,Cc1nn(-c2cccc(Cl)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL491850,1476.0,=,IC50,5.83,492985,Cc1nn(-c2cccc(C(C)C)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL508139,412.0,=,IC50,6.38,492986,Cc1nn(-c2cccc(C#N)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL492055,977.0,=,IC50,6.01,492987,Cc1nn(-c2cccc(N(C)C)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL485295,225.0,=,IC50,6.65,493083,Cc1nn(-c2cccc(S(C)(=O)=O)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL519858,149.0,=,IC50,6.83,493084,Cc1cc(C)cc(-n2nc(C)c3cnc(N[C@@H](C)c4ccccc4)cc32)c1
CHEMBL485496,641.0,=,IC50,6.19,493085,Cc1nn(-c2cc(Cl)cc(Cl)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL485497,274.0,=,IC50,6.56,493086,Cc1nn(-c2cc(Cl)cc(Br)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL484473,21.0,=,IC50,7.68,493087,Cc1nn(-c2cc(Cl)cc(CCC(=O)O)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL525911,32.0,=,IC50,7.5,493737,Cc1nn(-c2cc(Cl)cc(CCC(N)=O)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL498190,48.0,=,IC50,7.32,493738,Cc1nn(-c2cc(Cl)cc(CCC(=O)NCCO)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL498191,59.0,=,IC50,7.23,493739,Cc1nn(-c2cc(Cl)cc(CCCN)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL497167,207.0,=,IC50,6.68,493740,CC(=O)Nc1ccccc1-c1cc(Cl)cc(-n2nc(C)c3cnc(N[C@@H](C)c4ccccc4)cc32)c1
CHEMBL496337,42.0,=,IC50,7.38,493827,Cc1nn(-c2ccccc2C(N)=O)c2cc(N[C@@H](C)c3ccccc3)ncc12
CHEMBL507529,50.0,=,IC50,7.3,493828,C[C@H](Nc1cc2c(cn1)cnn2-c1ccccc1C(N)=O)c1ccccc1
CHEMBL514499,2.0,=,IC50,8.7,475734,COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(N)=O)s3)c2cc1OC
CHEMBL514162,2.0,=,IC50,8.7,475801,COc1cc2ncn(-c3cc(OCc4ccccc4Cl)c(C(N)=O)s3)c2cc1OC
CHEMBL222419,0.8,=,IC50,9.1,369247,COc1cc2ncn(-c3cc(O[C@H](C)c4ccccc4Cl)c(C(N)=O)s3)c2cc1OC
CHEMBL521806,30.0,=,IC50,7.52,477501,COc1cc2ncn(-c3cc(O[C@@H](C)c4ccccc4Cl)c(C(N)=O)s3)c2cc1OC
CHEMBL493326,1.0,=,IC50,9.0,477572,COc1ccc2ncn(-c3cc(O[C@H](C)c4ccccc4Cl)c(C(N)=O)s3)c2c1
CHEMBL522709,3.0,=,IC50,8.52,477728,COc1ccc2ncn(-c3cc(O[C@H](C)c4ccccc4C(F)(F)F)c(C(N)=O)s3)c2c1
CHEMBL1794067,1.0,=,IC50,9.0,1157698,C[C@@H](Oc1cc(-n2cnc3ccc(OC[C@@H](O)CO)cc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1964261,4.0,=,IC50,8.4,1285552,C[C@@H](Oc1cc(-n2cnc3ccc(OCCCN(C)C)cc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1964262,3.0,=,IC50,8.52,1285553,C[C@@H](Oc1cc(-n2cnc3ccc(OC[C@H](O)CN4CCCC4)cc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1794068,7.0,=,IC50,8.15,1157699,C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
CHEMBL1794069,6.0,=,IC50,8.22,1157700,C[C@@H](Oc1cc(-n2cnc3ccc(OCC4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1Cl
CHEMBL1964263,3.0,=,IC50,8.52,1285554,C[C@@H](Oc1cc(-n2cnc3ccc(OC4CCNCC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
