chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL176448,160.0,=,Ki,6.8,291188,Nc1nc(O)c2ncn(COCCCCCP(=O)(O)O)c2n1
CHEMBL7193,10.0,=,Ki,8.0,1491,Nc1nc(O)c2ncn(COCCOP(=O)(O)OP(=O)(O)O)c2n1
CHEMBL368064,360.0,=,Ki,6.44,291358,Nc1nc(O)c2nnn(CCCCCCP(=O)(O)O)c2n1
CHEMBL366963,190.0,=,Ki,6.72,291549,Nc1nc(O)c2nnn(COCCCCCCP(=O)(O)O)c2n1
CHEMBL32496,5200.0,=,IC50,5.28,47928,Nc1nc2c(O)nc(N)n(Cc3ccco3)c-2n1
CHEMBL172306,550.0,=,Ki,6.26,291560,Nc1nc(O)c2nn(COCCCCCP(=O)(O)O)nc2n1
CHEMBL285627,170.0,=,IC50,6.77,48137,Nc1nc(O)c2nc(N)n(Cc3cccs3)c2n1
CHEMBL33416,29600.0,=,IC50,4.53,47543,Nc1nc(O)c2ncn(Cc3ccccc3)c2n1
CHEMBL173083,630.0,=,Ki,6.2,291359,Nc1nc2c(cnn2COCCCCCCP(=O)(O)O)c(=O)[nH]1
CHEMBL285767,95000.0,=,IC50,4.02,657178,Nc1[nH]c[n+](Cc2ccccc2)c2ncnc1-2
CHEMBL368924,49.0,=,Ki,7.31,291016,Nc1nc2c(cnn2CCCCCCC(F)(F)P(=O)(O)O)c(=O)[nH]1
CHEMBL175305,7300.0,=,Ki,5.14,290420,Nc1nc(O)c2nnn(CCCCP(=O)(O)O)c2n1
CHEMBL369052,65.0,=,Ki,7.19,292754,Nc1nc(O)c2nnn(CCCCCP(=O)(O)O)c2n1
CHEMBL173142,96.0,=,Ki,7.02,291438,Nc1nc(O)c2nnn(COCCCCCP(=O)(O)O)c2n1
CHEMBL35812,11400.0,=,IC50,4.94,48108,Nc1nc(O)c2ncnc-2n1Cc1ccccc1
CHEMBL8230,470.0,=,IC50,6.33,3505,Nc1nc(O)c2nc(N)n(Cc3ccccc3)c2n1
CHEMBL35668,42600.0,=,IC50,4.37,47874,Nc1nc2c(O)ncn(Cc3ccccc3)c-2n1
CHEMBL177948,56.0,=,Ki,7.25,293802,Nc1nc(O)c2ncn(COCCCCP(=O)(O)O)c2n1
CHEMBL172316,51.0,=,Ki,7.29,291430,Nc1nc(O)c2ncn(COCCCCOP(=O)(O)O)c2n1
CHEMBL177945,220.0,=,Ki,6.66,293801,Nc1nc(O)c2ncn(COCCCCCCP(=O)(O)O)c2n1
CHEMBL177190,57.0,=,Ki,7.24,292762,Nc1nc(O)c2ncn(CCCCCCC(F)(F)P(=O)(O)O)c2n1
CHEMBL284608,4600.0,=,IC50,5.34,48024,Nc1nc2c(O)nc(N)n(Cc3cccs3)c-2n1
CHEMBL36178,8900.0,=,IC50,5.05,47876,COc1ccc(Cn2c(N)nc(O)c3nc(N)nc2-3)cc1
CHEMBL175362,230.0,=,Ki,6.64,290421,Nc1nc2c(cnn2COCCCCCP(=O)(O)O)c(=O)[nH]1
CHEMBL176649,1100.0,=,Ki,5.96,293347,Nc1nc2c(cnn2CCCCCCCCP(=O)(O)O)c(=O)[nH]1
CHEMBL176447,1600.0,=,Ki,5.8,291187,Nc1nc(O)c2ncn(CCCCCCCCCCP(=O)(O)O)c2n1
CHEMBL285258,5000.0,=,IC50,5.3,48060,Nc1nc2c(O)nc(N)n(Cc3ccccc3)c-2n1
CHEMBL33189,250.0,=,IC50,6.6,47546,Nc1nc(O)c2nc(N)n(Cc3ccco3)c2n1
CHEMBL354409,390.0,=,Ki,6.41,291419,Nc1nc(O)c2ncn(CCCCCCCCP(=O)(O)O)c2n1
CHEMBL174603,48.0,=,Ki,7.32,292894,Nc1nc(O)c2nnn(COCCCCP(=O)(O)O)c2n1
CHEMBL176480,580.0,=,Ki,6.24,290944,Nc1nc2c(cnn2CCCCCCCP(=O)(O)O)c(=O)[nH]1
CHEMBL33826,13400.0,=,IC50,4.87,47848,O=c1[nH]c(=O)n(Cc2ccccc2)c2nc[nH]c12
CHEMBL172844,530.0,=,Ki,6.28,291103,Nc1nc(O)c2ncn(CCCCCCCP(=O)(O)O)c2n1
CHEMBL38998,5400.0,=,IC50,5.27,60800,Nc1nc(O)c2[nH]c(N)c(Cc3ccco3)c2n1
CHEMBL288737,31400.0,=,IC50,4.5,61651,COc1ccccc1Cc1c(N)[nH]c2c(O)nc(N)nc12
CHEMBL3143997,2900.0,=,Ki,5.54,1633288,NC1=NC(=O)C2NC=C([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=N1
CHEMBL604864,200.0,=,Ki,6.7,605579,Oc1ncnc2c(C3O[C@H](CCl)[C@@H](O)[C@H]3O)c[nH]c12
CHEMBL555096,1000.0,=,IC50,6.0,669607,Nc1nc(O)c2[nH]c(N)c(Cc3cccs3)c2n1
CHEMBL285627,67.0,=,Ki,7.17,48137,Nc1nc(O)c2nc(N)n(Cc3cccs3)c2n1
