chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL118483,2700.0,=,EC50,5.57,197313,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(OCCc3ccccc3)cc2)c1)C(=O)O
CHEMBL318351,0.615,=,EC50,9.21,175067,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccc(Oc3ccc(F)cc3)cc2)c1)C(=O)O
CHEMBL318351,667.0,=,EC50,6.18,175067,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccc(Oc3ccc(F)cc3)cc2)c1)C(=O)O
CHEMBL318351,14.0,=,EC50,7.85,175067,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccc(Oc3ccc(F)cc3)cc2)c1)C(=O)O
CHEMBL331206,1000.0,=,EC50,6.0,197046,CCCCC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL120611,740.0,=,EC50,6.13,197614,CCC(Cc1ccc(OC)c(C(=O)NCCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL116540,43.0,=,EC50,7.37,196872,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(OC(F)(F)F)cc2)c1)C(=O)O
CHEMBL94496,2100.0,=,IC50,5.68,154231,CCCc1cc(Oc2ccc(C(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1
CHEMBL420441,100.0,=,IC50,7.0,154115,CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1
CHEMBL420441,180.0,=,EC50,6.75,154115,CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1
CHEMBL262558,860.0,=,EC50,6.07,197044,CCC(Cc1ccc(OC)c(CCCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL120444,1500.0,=,EC50,5.82,196758,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(OCc3ccccc3)cc2)c1)C(=O)O
CHEMBL118413,1300.0,=,EC50,5.89,197172,COc1ccc(CCC(=O)O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1
CHEMBL119682,3100.0,=,EC50,5.51,196870,CCC(Cc1ccc(OC)c(C(=O)NCc2cccc(OC)c2)c1)C(=O)O
CHEMBL333778,2800.0,=,EC50,5.55,196766,CCC(CC)(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL328615,162.0,=,IC50,6.79,154702,CCCc1cc(Oc2ccc(Cl)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1
CHEMBL328615,156.0,=,EC50,6.81,154702,CCCc1cc(Oc2ccc(Cl)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1
CHEMBL325723,1600.0,=,EC50,5.8,197435,CCSC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL322086,3380.0,=,EC50,5.47,175009,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccccc2)c1)C(=O)O
CHEMBL322086,11400.0,=,EC50,4.94,175009,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccccc2)c1)C(=O)O
CHEMBL120744,1600.0,=,EC50,5.8,197152,CCOC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL96107,47.0,=,IC50,7.33,154897,O=C1NC(=O)C(c2cccc(OCCCOc3ccc(Oc4ccccc4)cc3)c2)S1
CHEMBL119911,230.0,=,EC50,6.64,197182,COc1ccc(CC(OC)C(=O)O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1
CHEMBL118939,40.0,=,EC50,7.4,197338,CCC(Cc1ccc(OC)c(CNC(=O)c2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL116947,400.0,=,EC50,6.4,196903,CCC(Cc1ccc(OC)c(C(=O)NCc2cccc(Oc3ccccc3)c2)c1)C(=O)O
CHEMBL122070,90.0,=,EC50,7.05,196860,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(Oc3ccccc3)cc2)c1)C(=O)O
CHEMBL120456,240.0,=,EC50,6.62,197399,COc1ccc(CC(C)C(=O)O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1
CHEMBL94397,950.0,=,IC50,6.02,154234,CCCc1cc(Oc2ccc(O)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1
CHEMBL331557,2900.0,=,EC50,5.54,196733,COc1ccc(CC(C)(C)C(=O)O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1
CHEMBL118198,2300.0,=,EC50,5.64,197578,CCC(Cc1ccc(OC)c(C(=O)NCc2ccccc2)c1)C(=O)O
CHEMBL97529,2000.0,=,IC50,5.7,154433,CCCc1cc(Oc2ccc(C3CCCC3)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1
CHEMBL107789,80.3,=,EC50,7.09,174917,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL107789,2820.0,=,EC50,5.55,174917,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL107789,309.0,=,EC50,6.51,174917,CC[C@@H](Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
