chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL120611,1500.0,=,EC50,5.82,197614,CCC(Cc1ccc(OC)c(C(=O)NCCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL116540,900.0,=,EC50,6.05,196872,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(OC(F)(F)F)cc2)c1)C(=O)O
CHEMBL262558,640.0,=,EC50,6.19,197044,CCC(Cc1ccc(OC)c(CCCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL330191,3000.0,=,IC50,5.52,154341,CCCc1cc(Oc2ccccc2)ccc1OCCCCOc1cccc(C2SC(=O)NC2=O)c1
CHEMBL325723,3000.0,=,EC50,5.52,197435,CCSC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL120744,3000.0,=,EC50,5.52,197152,CCOC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL96107,190.0,=,IC50,6.72,154897,O=C1NC(=O)C(c2cccc(OCCCOc3ccc(Oc4ccccc4)cc3)c2)S1
CHEMBL118939,120.0,=,EC50,6.92,197338,CCC(Cc1ccc(OC)c(CNC(=O)c2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL122070,3000.0,=,EC50,5.52,196860,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(Oc3ccccc3)cc2)c1)C(=O)O
CHEMBL120456,2800.0,=,EC50,5.55,197399,COc1ccc(CC(C)C(=O)O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1
CHEMBL94397,3800.0,=,IC50,5.42,154234,CCCc1cc(Oc2ccc(O)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1
CHEMBL118976,8000.0,=,EC50,5.1,197302,CCC(Cc1ccc(OC)c(CNCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL332465,2400.0,=,EC50,5.62,197365,CCCC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL120676,6600.0,=,EC50,5.18,196906,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(OC)cc2)c1)C(=O)O
CHEMBL120009,3600.0,=,EC50,5.44,197107,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL120748,400.0,=,EC50,6.4,197366,CCC(Cc1ccc(OC)c(OCCc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL307728,630.0,=,EC50,6.2,124334,CC(C)OC(Cc1ccc(OCc2noc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)n2)cc1)C(=O)O
CHEMBL307728,790.0,=,EC50,6.1,124334,CC(C)OC(Cc1ccc(OCc2noc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)n2)cc1)C(=O)O
CHEMBL81208,7040.0,=,IC50,5.15,127819,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(Oc2ccccc2)C(=O)O)cc1
CHEMBL82602,5137.0,=,IC50,5.29,128448,Cc1oc(-c2cccs2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1
CHEMBL82193,7232.0,=,IC50,5.14,128961,CCCCC(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)(Oc1ccccc1)C(=O)O
CHEMBL412371,3014.0,=,EC50,5.52,128916,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@](C)(Oc2ccccc2)C(=O)O)cc1
CHEMBL78529,5074.0,=,IC50,5.29,127165,CCC(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)(Oc1ccccc1)C(=O)O
CHEMBL317424,93.0,=,EC50,7.03,164562,CC(C)(Oc1cccc(CCCN(Cc2ccc(C(F)(F)F)cc2C(F)(F)F)C(=O)COc2ccc(Cl)c(Cl)c2)c1)C(=O)O
CHEMBL443218,430.0,=,EC50,6.37,164750,CC(C)(Oc1cccc(CCCN(C(=O)Cc2ccc(C(F)(F)F)cc2)c2cccc(-c3ncon3)c2C2CC2)c1)C(=O)O
CHEMBL322690,1000.0,=,EC50,6.0,164749,CC(C)(Oc1cccc(CCCN(C(=O)COc2ccc(Cl)c(Cl)c2)c2cccc(-c3ncon3)c2C2CC2)c1)C(=O)O
CHEMBL101123,1000.0,=,EC50,6.0,164561,CC(C)(Oc1cccc(CCCN(C(=O)c2ccc(C(F)(F)F)c(C(F)(F)F)c2)c2cccc(-c3ncon3)c2C2CC2)c1)C(=O)O
CHEMBL102004,19.0,=,EC50,7.72,164560,CC(C)(Oc1cccc(CCCN(Cc2ccc(C(F)(F)F)cc2C(F)(F)F)C(=O)Cc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL102004,19.0,=,EC50,7.72,164560,CC(C)(Oc1cccc(CCCN(Cc2ccc(C(F)(F)F)cc2C(F)(F)F)C(=O)Cc2ccc(C(F)(F)F)cc2)c1)C(=O)O
CHEMBL318696,160.0,=,EC50,6.8,164599,CC(C)(Oc1cccc(CCCN(CCOC(=O)c2ccc(N=C=O)cc2)Cc2ccc(C(F)(F)F)cc2C(F)(F)F)c1)C(=O)O
CHEMBL86817,1000.0,=,EC50,6.0,141247,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(-c3ccco3)cc2)c2ccc(-c3ccco3)cc2)cc1)C(=O)O
CHEMBL328455,500.0,=,EC50,6.3,141302,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(-c3ccccc3)cc2)c2ccc(-c3ccccc3)cc2)cc1)C(=O)O
CHEMBL420973,2200.0,=,EC50,5.66,140326,CCO[C@@H](Cc1ccc(OC/C=C(\c2ccccc2)c2ccc(-c3ccccc3)cc2)cc1)C(=O)O
CHEMBL314483,5700.0,=,EC50,5.24,141166,CCO[C@@H](Cc1ccc(OCC=C(c2ccccc2)c2ccccc2)cc1)C(=O)O
CHEMBL421729,2200.0,=,EC50,5.66,141369,CCO[C@@H](Cc1ccc(OC/C=C(/c2ccccc2)c2ccc(-c3ccccc3)cc2)cc1)C(=O)O
CHEMBL89152,900.0,=,EC50,6.05,140168,CCO[C@@H](Cc1ccc(OC/C=C(\c2ccccc2)c2ccc(Br)cc2)cc1)C(=O)O
CHEMBL86688,3400.0,=,EC50,5.47,141167,CCO[C@@H](Cc1ccc(OC/C=C(/c2ccccc2)c2ccc(Br)cc2)cc1)C(=O)O
CHEMBL87928,600.0,=,EC50,6.22,140855,CCO[C@@H](Cc1ccc(OC/C=C(\c2ccccc2)c2ccc(-c3ccco3)cc2)cc1)C(=O)O
CHEMBL327481,8300.0,=,EC50,5.08,141563,CCO[C@@H](Cc1ccc(OC/C=C(\c2ccccc2)c2ccc(F)cc2)cc1)C(=O)O
CHEMBL87380,2000.0,=,EC50,5.7,141422,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(C)cc2)c2ccc(C)cc2)cc1)C(=O)O
CHEMBL315048,3400.0,=,EC50,5.47,140706,CCO[C@@H](Cc1ccc(OC/C=C(/c2ccccc2)c2ccc(F)cc2)cc1)C(=O)O
