chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL111217,63.0,=,EC50,7.2,179188,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F)=C\C(=O)O
CHEMBL111217,6.4,=,EC50,8.19,179188,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)F)=C\C(=O)O
CHEMBL130231,51.0,=,EC50,7.29,217307,CCC(C)(C)c1cc(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)c(OCC(F)F)c(C(C)(C)CC)c1
CHEMBL130231,2.7,=,EC50,8.57,217307,CCC(C)(C)c1cc(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)c(OCC(F)F)c(C(C)(C)CC)c1
CHEMBL337393,40.0,=,EC50,7.4,217364,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cc(F)cc(F)c2)cc(C(C)C)c1OCC(F)F
CHEMBL337393,2.7,=,EC50,8.57,217364,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cc(F)cc(F)c2)cc(C(C)C)c1OCC(F)F
CHEMBL131826,47.0,=,EC50,7.33,217069,CCCCOc1c(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(C)C
CHEMBL131826,4.1,=,EC50,8.39,217069,CCCCOc1c(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(C)C
CHEMBL335242,30.0,=,EC50,7.52,217057,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)(F)F)=C\C(=O)O
CHEMBL335242,12.2,=,EC50,7.91,217057,CC(/C=C/C(F)=C(/C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1OCC(F)(F)F)=C\C(=O)O
CHEMBL131122,29.0,=,EC50,7.54,217408,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(F)(F)C(F)(F)F
CHEMBL131122,15.1,=,EC50,7.82,217408,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(C)C)cc1C(F)(F)C(F)(F)F
CHEMBL130317,37.0,=,EC50,7.43,217045,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccco2)cc(C(C)C)c1OCC(F)F
CHEMBL130317,7.4,=,EC50,8.13,217045,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccco2)cc(C(C)C)c1OCC(F)F
CHEMBL130232,36.0,=,EC50,7.44,217308,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccc(F)c2)cc(C(C)C)c1OCC(F)F
CHEMBL130232,0.8,=,EC50,9.1,217308,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccc(F)c2)cc(C(C)C)c1OCC(F)F
CHEMBL133915,32.0,=,EC50,7.5,217494,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccc(F)cc2)cc(C(C)C)c1OCC(F)F
CHEMBL133915,1.3,=,EC50,8.89,217494,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccc(F)cc2)cc(C(C)C)c1OCC(F)F
CHEMBL422088,46.0,=,EC50,7.34,217021,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccccc2F)cc(C(C)C)c1OCC(F)F
CHEMBL422088,0.4,=,EC50,9.4,217021,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2ccccc2F)cc(C(C)C)c1OCC(F)F
CHEMBL133896,99.0,=,EC50,7.0,217484,CCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL133896,0.7,=,EC50,9.15,217484,CCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL75133,54.0,=,EC50,7.27,119754,CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O
CHEMBL75133,8.6,=,EC50,8.07,119754,CC(/C=C/[C@@H]1C[C@]1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C)=C\C(=O)O
CHEMBL424269,71.0,=,EC50,7.15,217452,CCCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL424269,7.4,=,EC50,8.13,217452,CCCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL132568,59.0,=,EC50,7.23,217481,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL132568,2.7,=,EC50,8.57,217481,CCCOc1c(/C(C)=C\C=C\C(C)=C\C(=O)O)cc(C(F)(F)C(F)(F)F)cc1C(C)C
CHEMBL288436,161.0,=,EC50,6.79,61111,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C
CHEMBL288436,18.6,=,EC50,7.73,61111,Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C
CHEMBL130374,15.0,=,EC50,7.82,217046,C/C(=C/C=C/C(C)=C/C(=O)O)c1cc(-c2cccs2)cc(C(C)C)c1OCC(F)F
