chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL301254,1540.0,=,IC50,5.81,90823,COC(=O)c1ccc(C2=CC(=O)C(=O)c3ccccc32)cc1
CHEMBL58435,10130.0,=,IC50,4.99,90612,CC(C)C1=CC(=O)C(=O)c2ccccc21
CHEMBL57157,610.0,=,IC50,6.21,90935,CCN(CC)C(=O)CCC1=C(c2ccccc2)c2ccccc2C(=O)C1=O
CHEMBL292444,1010.0,=,IC50,6.0,91080,CCOC(=O)c1ccc(CCC2=C(c3ccccc3)c3ccccc3C(=O)C2=O)cc1
CHEMBL60707,1130.0,=,IC50,5.95,91333,O=C1C=C(c2c[nH]c3ccccc23)c2ccccc2C1=O
CHEMBL58292,34880.0,=,IC50,4.46,91217,CN(C1=CC(=O)C(=O)c2ccccc21)c1ccccc1
CHEMBL292386,1420.0,=,IC50,5.85,91227,O=C1C=C(Cc2ccccc2)c2ccccc2C1=O
CHEMBL57841,1010.0,=,IC50,6.0,91378,O=C(O)COc1ccc(CC2=C(n3ccc4ccccc43)c3ccccc3C(=O)C2=O)cc1
CHEMBL61245,5290.0,=,IC50,5.28,679125,O=C1C=C(S(=O)(=O)O)c2ccccc2C1=O
CHEMBL60918,680.0,=,IC50,6.17,90701,COC(=O)CCC1=C(c2ccccc2)c2cc(CCC(=O)OC)ccc2C(=O)C1=O
CHEMBL59240,2150.0,=,IC50,5.67,91334,O=C1C=C(c2cccc3ccccc23)c2ccccc2C1=O
CHEMBL58747,5050.0,=,IC50,5.3,90789,O=C1C=C(c2cc(Cl)ccc2Cl)c2ccccc2C1=O
CHEMBL433065,2250.0,=,IC50,5.65,90332,O=C(Nc1ccc2c(c1)C(=O)C(=O)C=C2c1ccccc1)OCc1ccccc1
CHEMBL57796,29110.0,=,IC50,4.54,90711,COC1=CC(=O)C(=O)c2ccccc21
CHEMBL298849,2070.0,=,IC50,5.68,91163,O=C1C=C(n2ccc3ccccc32)c2ccc(OC(Cc3ccccc3)C(=O)O)cc2C1=O
CHEMBL58354,1480.0,=,IC50,5.83,90954,CC(C)(C)OC(=O)COc1ccc(CC2=C(c3ccccc3)c3ccccc3C(=O)C2=O)cc1
CHEMBL58288,4200.0,=,IC50,5.38,90682,O=C1C=C(C2CCCC2)c2ccccc2C1=O
CHEMBL61044,2540.0,=,IC50,5.59,91164,COC(=O)C(Cc1ccccc1)Oc1ccc2c(c1)C(=O)C(=O)C=C2c1ccccc1
CHEMBL60824,24590.0,=,IC50,4.61,90699,NC1=CC(=O)C(=O)c2ccccc21
CHEMBL52347,1640.0,=,IC50,5.79,77985,O=C1C=Cc2ccccc2C1=O
CHEMBL57880,650.0,=,IC50,6.19,90455,CCOC(=O)Nc1cccc2c1C(=O)C(=O)C=C2c1ccccc1
CHEMBL51447,860.0,=,IC50,6.07,78211,O=C1C=C(c2ccccc2)c2ccccc2C1=O
CHEMBL58762,500.0,=,IC50,6.3,90856,O=C1C=C(c2cc(F)ccc2F)c2ccccc2C1=O
CHEMBL59239,1170.0,=,IC50,5.93,91335,O=C1C=C(c2ccccc2[N+](=O)[O-])c2ccccc2C1=O
CHEMBL58795,2040.0,=,IC50,5.69,90488,COc1ccc2c(c1)C(=O)C(=O)C=C2c1ccccc1
CHEMBL60763,920.0,=,IC50,6.04,90828,COC(=O)CCc1ccc2c(c1)C(n1ccc3ccccc31)=CC(=O)C2=O
CHEMBL56948,650.0,=,IC50,6.19,90710,CC(C)(C)OC(=O)COc1ccc(CC2=C(n3ccc4ccccc43)c3ccccc3C(=O)C2=O)cc1
CHEMBL61359,36470.0,=,IC50,4.44,90913,O=C1C=C(OCCCO)c2ccccc2C1=O
CHEMBL57036,2150.0,=,IC50,5.67,90841,CCOC(=O)COc1ccccc1C1=CC(=O)C(=O)c2ccccc21
CHEMBL57391,920.0,=,IC50,6.04,90489,CCCCCOc1ccc2c(c1)C(=O)C(=O)C=C2c1ccccc1
CHEMBL58032,940.0,=,IC50,6.03,90700,COC(=O)CCC1=C(n2ccc3ccccc32)c2ccc(CCC(=O)OC)cc2C(=O)C1=O
CHEMBL292843,1070.0,=,IC50,5.97,90419,CCOC(=O)COc1ccc(C2=CC(=O)C(=O)c3ccccc32)cc1
CHEMBL59402,440.0,=,IC50,6.36,90452,O=C1C=C(c2ccc(O)cc2)c2ccccc2C1=O
CHEMBL435374,4560.0,=,IC50,5.34,91415,O=C1C=C(c2c[nH]c3cc(C(=O)O)ccc23)c2ccccc2C1=O
CHEMBL58848,330.0,=,IC50,6.48,91077,COC(=O)CCc1ccc2c(c1)C(c1ccccc1)=CC(=O)C2=O
CHEMBL291310,1340.0,=,IC50,5.87,90331,O=C(Nc1cccc2c1C(=O)C(=O)C=C2c1ccccc1)OCc1ccccc1
CHEMBL58996,5240.0,=,IC50,5.28,90788,COc1ccc(C2=CC(=O)C(=O)c3ccccc32)cc1
CHEMBL301909,430.0,=,IC50,6.37,90793,CCOC(=O)CCC1=C(c2ccccc2)c2ccccc2C(=O)C1=O
CHEMBL61186,270.0,=,IC50,6.57,91114,CCOC(=O)CCC1=C(n2ccc3ccccc32)c2ccccc2C(=O)C1=O
CHEMBL58287,5400.0,=,IC50,5.27,90681,O=C1C=C(c2ccc(-c3ccccc3)cc2)c2ccccc2C1=O
CHEMBL59241,5730.0,=,IC50,5.24,91336,CC(C)(C)c1cc(C2=CC(=O)C(=O)c3ccccc32)cc(C(C)(C)C)c1O
CHEMBL58840,2690.0,=,IC50,5.57,90528,CCCCCOC1=C(c2ccccc2)c2ccccc2C(=O)C1=O
CHEMBL301436,1540.0,=,IC50,5.81,91379,O=C(O)COc1ccc(CC2=C(c3ccccc3)c3ccccc3C(=O)C2=O)cc1
CHEMBL300119,3000.0,=,IC50,5.52,91416,O=C1C=C(c2c[nH]c3ccc(C(=O)O)cc23)c2ccccc2C1=O
CHEMBL58737,320.0,=,IC50,6.5,90804,O=C1C=C(C2CCCCC2)c2ccccc2C1=O
CHEMBL60925,1600.0,=,IC50,5.8,90417,O=C1C=C(c2ccccc2O)c2ccccc2C1=O
CHEMBL57920,3300.0,=,IC50,5.48,90718,CCCCCCC1=CC(=O)C(=O)c2ccccc21
CHEMBL108308,0.42,=,IC50,9.38,179920,C/C=C1/C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C
CHEMBL108308,3.0,=,IC50,8.52,179920,C/C=C1/C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C
CHEMBL280487,1.24,=,IC50,8.91,18873,C=C1[C@@H]([C@@H](O)C[C@H](C)[C@H]2O[C@@]3(CCCCO3)CC[C@H]2C)O[C@@H]2CC[C@@]3(CC[C@H](/C=C/[C@@H](C)[C@@H]4CC(C)=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)O3)O[C@H]2[C@@H]1O
CHEMBL280487,1300.0,=,IC50,5.89,18873,C=C1[C@@H]([C@@H](O)C[C@H](C)[C@H]2O[C@@]3(CCCCO3)CC[C@H]2C)O[C@@H]2CC[C@@]3(CC[C@H](/C=C/[C@@H](C)[C@@H]4CC(C)=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)O3)O[C@H]2[C@@H]1O
CHEMBL444092,1.17,=,IC50,8.93,3858,C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C
CHEMBL509059,1.49,=,IC50,8.83,484964,COC[C@@H]([C@H](O)[C@H](O)C(=O)N[C@H](C)C[C@H](C)c1nc(/C=C/C[C@@H]2O[C@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C
CHEMBL430266,1.2,=,IC50,8.92,18835,COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@@H]2O[C@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C
CHEMBL505512,0.67,=,IC50,9.17,604634,CO[C@H]([C@H](O)CC(=O)[C@@H](C)[C@@H](O)CC[C@@H](C)[C@@H]1O[C@@]2(CC[C@@H]1C)CC[C@@H](C)[C@H](CC[C@H](C)C(C)=O)O2)[C@H](OC(=O)C[C@@H](O)C1=C(C)C(=O)OC1=O)C(C)C
CHEMBL416598,179.0,=,IC50,6.75,55809,O=C(O)[C@@H](Cc1ccccc1)Oc1c(I)cc(-c2c3ccccc3cc3sc4ccccc4c23)cc1I
CHEMBL290295,284.0,=,IC50,6.55,56289,Cc1oc2cc3sc4ccccc4c3c(-c3cc(I)c(O[C@H](C)C(=O)O)c(I)c3)c2c1C
CHEMBL290496,61.0,=,IC50,7.21,56288,O=C(O)[C@@H](Cc1ccccc1)Oc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br
CHEMBL39626,74.0,=,IC50,7.13,55808,Cc1oc2cc3sc4ccccc4c3c(-c3cc(I)c(O[C@H](Cc4ccccc4)C(=O)O)c(I)c3)c2c1C
CHEMBL55799,1200.0,=,Ki,5.92,86178,CCCCCNC(=O)C(Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c(CC)c1)NC(C)=O
CHEMBL1169,1200000.0,=,Kd,2.92,190484,Nc1ccc(C(=O)O)c(O)c1
CHEMBL303333,1100.0,=,Ki,5.96,102734,CCCCCNC(=O)C(Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c2ccccc12)NC(C)=O
CHEMBL280487,60.0,=,IC50,7.22,18873,C=C1[C@@H]([C@@H](O)C[C@H](C)[C@H]2O[C@@]3(CCCCO3)CC[C@H]2C)O[C@@H]2CC[C@@]3(CC[C@H](/C=C/[C@@H](C)[C@@H]4CC(C)=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)O3)O[C@H]2[C@@H]1O
CHEMBL115406,800000.0,=,Kd,3.1,192485,O=C(O)c1cc(-c2ccc(Br)cc2)on1
CHEMBL89067,18200.0,=,IC50,4.74,144538,CSc1ccnc(C[S+]([O-])c2nc3cc(OC(C)C)ccc3[nH]2)c1
CHEMBL89067,55200.0,=,IC50,4.26,144538,CSc1ccnc(C[S+]([O-])c2nc3cc(OC(C)C)ccc3[nH]2)c1
CHEMBL430266,0.5,=,IC50,9.3,18835,COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@@H]2O[C@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C
CHEMBL64934,26000.0,=,Kd,4.58,103515,O=C(O)C(=O)N(c1ccccc1C(=O)O)c1cccc2ccccc12
CHEMBL64934,39000.0,=,Ki,4.41,103515,O=C(O)C(=O)N(c1ccccc1C(=O)O)c1cccc2ccccc12
CHEMBL65459,100000.0,=,Kd,4.0,102083,Cc1cccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c1C
CHEMBL65459,293000.0,=,Ki,3.53,102083,Cc1cccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c1C
CHEMBL117699,42.0,=,Ki,7.38,190106,CCc1cc(CC(NC(C)=O)C(=O)NCCCCOc2cccc(O)c2C(=O)O)ccc1N(C(=O)C(=O)O)c1ccccc1C(=O)O
CHEMBL333158,148000.0,=,Ki,3.83,192451,CCCC(=O)Nc1cccc(-c2cc(C(=O)O)no2)c1
CHEMBL299120,2000.0,=,Ki,5.7,78324,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
CHEMBL175257,5000.0,=,Ki,5.3,292748,CCCC[C@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(N)=O
CHEMBL368340,590.0,=,Ki,6.23,291806,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)Cc1ccc(C(F)(F)F)cc1
CHEMBL369005,670.0,=,Ki,6.17,293750,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)Cc1ccc(OC)cc1
CHEMBL175198,220.0,=,Ki,6.66,292749,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)CCC(=O)O
CHEMBL172302,14000.0,=,Ki,4.85,292269,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](C)NC(=O)OC(C)(C)C
CHEMBL407272,700.0,=,Ki,6.16,291080,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)Cn1nnnc1S
CHEMBL173943,9000.0,=,Ki,5.05,293056,CCCCCNC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
CHEMBL369818,870.0,=,Ki,6.06,290712,CCCCCNC(=O)[C@H](Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)[C@H](Cc1ccccc1)NC(=O)Oc1ccccc1
