chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL607957,0.25,=,Kd,9.6,607996,Nc1nc(O)c2cc(CN(C(=O)CSCC(=O)NC3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)ccc2n1
CHEMBL167304,710.0,=,Ki,6.15,275433,C[C@](CCC(=O)O)(NC(=O)c1ccc(CCC2CNc3nc(N)nc(N)c3C2)o1)C(=O)O
CHEMBL354249,56000.0,=,Ki,4.25,275226,C[C@](CCC(=O)O)(NC(=O)c1ccc(CCC2CNc3nc(N)nc(N)c3C2)cc1)C(=O)O
CHEMBL168069,9200.0,=,Ki,5.04,275434,C[C@](CCC(=O)O)(NC(=O)c1ccc(CCC2CNc3nc(N)nc(N)c3C2)s1)C(=O)O
CHEMBL289923,4800.0,=,IC50,5.32,60180,NCCCC(NC(=O)c1ccc(NCC2CNc3nc(N)nc(O)c3C2)cc1)C(=O)O
CHEMBL289923,1400.0,=,Ki,5.85,60180,NCCCC(NC(=O)c1ccc(NCC2CNc3nc(N)nc(O)c3C2)cc1)C(=O)O
CHEMBL152172,18000.0,=,IC50,4.75,254930,Nc1nc(N)c(CCCN(C=O)c2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)c(O)n1
CHEMBL152172,7600.0,=,IC50,5.12,254930,Nc1nc(N)c(CCCN(C=O)c2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)c(O)n1
CHEMBL153550,4300.0,=,IC50,5.37,254979,CN(CCCc1c(N)nc(N)nc1O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
CHEMBL23977,2000.0,=,Ki,5.7,29321,Nc1nc(O)c2cc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1
CHEMBL22344,1300.0,=,Ki,5.89,28539,CC(=O)N(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
CHEMBL140448,4000.0,=,Ki,5.4,232692,Nc1nc(O)c2cc(CN(C=O)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1
CHEMBL267890,10.0,=,IC50,8.0,108236,CCC1c2c(O)nc(N)nc2NCC1CCc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
