chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL326611,900.0,=,IC50,6.05,195291,O=C(Nc1ccccc1Oc1ccc(C(=O)O)c(C(=O)O)c1)c1cccc([N+](=O)[O-])c1
CHEMBL118643,6000.0,=,IC50,5.22,194969,O=C(Nc1ccccc1Oc1ccc(C(=O)O)c(C(=O)O)c1)c1cccc(Cl)c1
CHEMBL324288,11.0,=,Ki,7.96,195028,CCN1C(C)=C(C(=O)OC(C)C)[C@@H](c2ccccc2)C(C(=O)O)=C1C(=O)O
CHEMBL117003,3000.0,=,Ki,5.52,195326,O=C1NC(=O)[C@]2(C[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)N1
CHEMBL428690,1000.0,=,IC50,6.0,14366,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1
CHEMBL331779,50000.0,=,IC50,4.3,194875,CC(=O)c1cccc(C(=O)Nc2ccccc2Oc2ccc(C(=O)O)c(C(=O)O)c2)c1
CHEMBL99889,500.0,=,IC50,6.3,162867,O=C(N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC(O)CC1)c1cc2cc(Cl)ccc2[nH]1
CHEMBL118313,50000.0,=,IC50,4.3,195328,COc1cccc(C(=O)Nc2ccccc2Oc2ccc(C(=O)O)c(C(=O)O)c2)c1
CHEMBL3351144,4200.0,=,Ki,5.38,1799751,O=C1NC(=O)[C@@]2(N1)O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O
CHEMBL3351144,26000.0,=,Ki,4.58,1799751,O=C1NC(=O)[C@@]2(N1)O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O
CHEMBL489798,5100.0,=,Ki,5.29,491348,O=C1NC(=S)N[C@@]12O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O
CHEMBL489798,10900.0,=,Ki,4.96,491348,O=C1NC(=S)N[C@@]12O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O
CHEMBL342364,105.0,=,IC50,6.98,227334,CN1C(=O)C(NC(=O)c2cc3cc(Cl)ccc3[nH]2)CCc2ccccc21
CHEMBL342664,2440.0,=,IC50,5.61,227936,O=C(NC1CCc2ccccc2NC1=O)c1cc2ccccc2[nH]1
CHEMBL136712,240.0,=,IC50,6.62,227390,O=C(N[C@H]1CCc2ccccc2NC1=O)c1cc2cc(Cl)ccc2[nH]1
CHEMBL337378,550.0,=,IC50,6.26,227606,CN1C(=O)C(NC(=O)c2cc3cc(C(F)(F)F)ccc3[nH]2)Cc2ccccc21
CHEMBL337012,57.0,=,IC50,7.24,227400,CN1C(=O)[C@@H](NC(=O)c2cc3cc(Cl)ccc3[nH]2)Cc2ccccc21
CHEMBL137196,110.0,=,IC50,6.96,227761,CN1C(=O)C(NC(=O)c2cc3cc(C#N)ccc3[nH]2)Cc2ccccc21
CHEMBL136418,6800.0,=,IC50,5.17,227972,CN1C(=O)C(NC(=O)c2cc3cccc(N)c3[nH]2)Cc2ccccc21
CHEMBL139461,38.0,=,IC50,7.42,228393,O=C(NC1Cc2ccccc2NC1=O)c1cc2cc(Cl)ccc2[nH]1
CHEMBL138822,120.0,=,IC50,6.92,228560,CN1C(=O)C(NC(=O)c2cc3cccc([N+](=O)[O-])c3[nH]2)Cc2ccccc21
CHEMBL138874,21700.0,=,IC50,4.66,228360,O=C(NC1CCc2ccccc2NC1=O)c1ccc(Cl)c(Cl)c1
CHEMBL134797,83.0,=,IC50,7.08,227362,O=C(N[C@@H]1CCc2ccccc2NC1=O)c1cc2cc(Cl)ccc2[nH]1
CHEMBL136168,88.0,=,IC50,7.06,227926,CN1C(=O)C(NC(=O)c2cc3cccc(Cl)c3[nH]2)Cc2ccccc21
CHEMBL136218,56.0,=,IC50,7.25,227308,CN1C(=O)C(NC(=O)c2cc3ccccc3[nH]2)Cc2ccccc21
CHEMBL134793,73.0,=,IC50,7.14,227232,CN1C(=O)C(NC(=O)c2cc3cc(Br)ccc3[nH]2)Cc2ccccc21
CHEMBL136572,98.0,=,IC50,7.01,227230,Cc1ccc2[nH]c(C(=O)NC3Cc4ccccc4N(C)C3=O)cc2c1
CHEMBL136327,55.0,=,IC50,7.26,227998,O=C(NC1CCc2ccccc2NC1=O)c1cc2cc(Cl)ccc2[nH]1
CHEMBL344170,2100.0,=,IC50,5.68,227925,CN1C(=O)C(NC(=O)c2cc3c(Cl)cccc3[nH]2)Cc2ccccc21
CHEMBL139581,2310.0,=,IC50,5.64,228359,O=C(NC1Cc2ccccc2NC1=O)c1ccc(Cl)c(Cl)c1
CHEMBL337332,32.0,=,IC50,7.5,227435,CN1C(=O)C(NC(=O)c2cc3cc(Cl)ccc3[nH]2)Cc2ccccc21
CHEMBL136573,89.0,=,IC50,7.05,227231,CN1C(=O)C(NC(=O)c2cc3cc(F)ccc3[nH]2)Cc2ccccc21
CHEMBL139472,14.0,=,IC50,7.85,228419,O=C(N[C@@H]1Cc2ccccc2NC1=O)c1cc2cc(Cl)ccc2[nH]1
CHEMBL136295,1700.0,=,IC50,5.77,227797,COc1ccc2[nH]c(C(=O)NC3Cc4ccccc4N(C)C3=O)cc2c1
CHEMBL342880,55.0,=,IC50,7.26,228025,CN1C(=O)C(NC(=O)c2cc3cc(Cl)cc(F)c3[nH]2)Cc2ccccc21
CHEMBL134854,39.0,=,IC50,7.41,227363,O=C(N[C@H]1Cc2ccccc2NC1=O)c1cc2cc(Cl)ccc2[nH]1
CHEMBL422632,69.0,=,IC50,7.16,227929,CN1C(=O)C(NC(=O)c2cc3ccc(Cl)cc3[nH]2)Cc2ccccc21
CHEMBL136182,58.0,=,IC50,7.24,227401,CN1C(=O)[C@H](NC(=O)c2cc3cc(Cl)ccc3[nH]2)Cc2ccccc21
CHEMBL138069,850.0,=,IC50,6.07,227798,CCc1ccc2[nH]c(C(=O)NC3Cc4ccccc4N(C)C3=O)cc2c1
CHEMBL136188,2700.0,=,IC50,5.57,227699,COC(=O)c1ccc2[nH]c(C(=O)NC3Cc4ccccc4N(C)C3=O)cc2c1
CHEMBL440528,12.0,=,IC50,7.92,220670,COc1ccnc(C(=O)Nc2cc3ccccc3cc2Oc2ccc(C(=O)O)c(C(=O)O)c2)c1
CHEMBL134802,3.0,=,IC50,8.52,220668,O=C(Nc1cc2ccccc2cc1Oc1ccc(C(=O)O)c(C(=O)O)c1)c1cc([N+](=O)[O-])ccn1
