chembl_id,standard_value,standard_relation,standard_type,pchembl_value,molregno,canonical_smiles
CHEMBL140210,37200.0,=,IC50,4.43,235493,N#CCc1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL140210,4570.0,=,IC50,5.34,235493,N#CCc1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL342581,8910.0,=,IC50,5.05,235086,N#C/C(C(=O)Nc1ccncc1)=C(/O)C1CC1
CHEMBL342581,11700.0,=,IC50,4.93,235086,N#C/C(C(=O)Nc1ccncc1)=C(/O)C1CC1
CHEMBL143438,28200.0,=,IC50,4.55,235691,N#C/C(C(=O)Nc1ccc(C(F)(F)F)cc1)=C(/O)C1CCCC1
CHEMBL139937,282.0,=,IC50,6.55,234669,Cc1cc(NC(=O)/C(C#N)=C(\O)C2CC2)ccc1C(F)(F)C(F)(F)F
CHEMBL139937,11.0,=,IC50,7.96,234669,Cc1cc(NC(=O)/C(C#N)=C(\O)C2CC2)ccc1C(F)(F)C(F)(F)F
CHEMBL543919,31600.0,=,IC50,4.5,666594,N#C/C(C(=O)Nc1ccc(N)cc1)=C(/O)C1CC1
CHEMBL543919,21900.0,=,IC50,4.66,666594,N#C/C(C(=O)Nc1ccc(N)cc1)=C(/O)C1CC1
CHEMBL139818,3720.0,=,IC50,5.43,235108,Cc1cc(Cl)ccc1NC(=O)/C(C#N)=C(\O)C1CC1
CHEMBL139818,1250.0,=,IC50,5.9,235108,Cc1cc(Cl)ccc1NC(=O)/C(C#N)=C(\O)C1CC1
CHEMBL142996,1580.0,=,IC50,5.8,235768,N#C/C(C(=O)Nc1ccc(-c2ccccc2)cc1)=C(/O)C1CC1
CHEMBL142996,1480.0,=,IC50,5.83,235768,N#C/C(C(=O)Nc1ccc(-c2ccccc2)cc1)=C(/O)C1CC1
CHEMBL139647,630.0,=,IC50,6.2,234659,N#C/C(C(=O)Nc1ccc(CCc2ccccc2)cc1)=C(/O)C1CC1
CHEMBL139647,138.0,=,IC50,6.86,234659,N#C/C(C(=O)Nc1ccc(CCc2ccccc2)cc1)=C(/O)C1CC1
CHEMBL538406,12600.0,=,IC50,4.9,234660,N#C/C(C(=O)Nc1ccc(/C=C/c2ccc(Cl)cc2)cc1)=C(/O)C1CC1
CHEMBL538406,11700.0,=,IC50,4.93,234660,N#C/C(C(=O)Nc1ccc(/C=C/c2ccc(Cl)cc2)cc1)=C(/O)C1CC1
CHEMBL143319,3800.0,=,IC50,5.42,236058,CC(=O)c1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL143319,68.0,=,IC50,7.17,236058,CC(=O)c1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL344405,3720.0,=,IC50,5.43,235394,N#C/C(C(=O)Nc1ccc(C(=O)O)cc1)=C(/O)C1CC1
CHEMBL344405,1480.0,=,IC50,5.83,235394,N#C/C(C(=O)Nc1ccc(C(=O)O)cc1)=C(/O)C1CC1
CHEMBL334922,3720.0,=,IC50,5.43,235686,COc1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL334922,186.0,=,IC50,6.73,235686,COc1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL143816,445.0,=,IC50,6.35,235406,CSc1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL143816,13.0,=,IC50,7.89,235406,CSc1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL142074,63.0,=,IC50,7.2,235072,Cc1cc(NC(=O)/C(C#N)=C(\O)C2CC2)ccc1Br
CHEMBL142074,50.0,=,IC50,7.3,235072,Cc1cc(NC(=O)/C(C#N)=C(\O)C2CC2)ccc1Br
CHEMBL357498,22400.0,=,IC50,4.65,235720,C[S+]([O-])c1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL357498,832.0,=,IC50,6.08,235720,C[S+]([O-])c1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL344913,173.0,=,IC50,6.76,235687,N#C/C(C(=O)Nc1ccc(OC(F)(F)F)cc1)=C(/O)C1CC1
CHEMBL344913,5.0,=,IC50,8.3,235687,N#C/C(C(=O)Nc1ccc(OC(F)(F)F)cc1)=C(/O)C1CC1
CHEMBL143116,40.0,=,IC50,7.4,235085,Cc1cc(NC(=O)/C(C#N)=C(\O)C2CC2)ccc1Cl
CHEMBL143116,33.0,=,IC50,7.48,235085,Cc1cc(NC(=O)/C(C#N)=C(\O)C2CC2)ccc1Cl
CHEMBL142218,55.0,=,IC50,7.26,236055,Cc1cc(NC(=O)/C(C#N)=C(\O)C2CC2)ccc1C(F)(F)F
CHEMBL142218,14.0,=,IC50,7.85,236055,Cc1cc(NC(=O)/C(C#N)=C(\O)C2CC2)ccc1C(F)(F)F
CHEMBL141732,47.0,=,IC50,7.33,235052,N#C/C(C(=O)Nc1ccc(C(F)(F)F)cc1)=C(/O)C1CC1
CHEMBL139611,5900.0,=,IC50,5.23,234711,N#C/C(C(=O)Nc1ccc(-c2ccco2)cc1)=C(/O)C1CC1
CHEMBL139611,1780.0,=,IC50,5.75,234711,N#C/C(C(=O)Nc1ccc(-c2ccco2)cc1)=C(/O)C1CC1
CHEMBL341877,1510.0,=,IC50,5.82,235721,N#C/C(C(=O)Nc1ccc(Oc2ccc(C(F)(F)F)cc2)cc1)=C(/O)C1CC1
CHEMBL341877,3550.0,=,IC50,5.45,235721,N#C/C(C(=O)Nc1ccc(Oc2ccc(C(F)(F)F)cc2)cc1)=C(/O)C1CC1
CHEMBL142997,8510.0,=,IC50,5.07,235769,N#C/C(C(=O)Nc1ccc(-c2ccc(F)cc2)cc1)=C(/O)C1CC1
CHEMBL142997,2140.0,=,IC50,5.67,235769,N#C/C(C(=O)Nc1ccc(-c2ccc(F)cc2)cc1)=C(/O)C1CC1
CHEMBL142705,1780.0,=,IC50,5.75,235093,N#C/C(C(=O)Nc1ccc(Cl)nc1)=C(/O)C1CC1
CHEMBL142705,630.0,=,IC50,6.2,235093,N#C/C(C(=O)Nc1ccc(Cl)nc1)=C(/O)C1CC1
CHEMBL143052,200.0,=,IC50,6.7,235213,N#C/C(C(=O)Nc1ccc(Cl)cn1)=C(/O)C1CC1
CHEMBL143052,76.0,=,IC50,7.12,235213,N#C/C(C(=O)Nc1ccc(Cl)cn1)=C(/O)C1CC1
CHEMBL143458,50000.0,=,IC50,4.3,235348,N#C/C(C(=O)Nc1ccc(-c2nc(C(F)(F)F)cs2)cc1)=C(/O)C1CC1
CHEMBL143458,3000.0,=,IC50,5.52,235348,N#C/C(C(=O)Nc1ccc(-c2nc(C(F)(F)F)cs2)cc1)=C(/O)C1CC1
CHEMBL141047,178.0,=,IC50,6.75,235051,C=C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
CHEMBL358411,36.0,=,IC50,7.44,235627,Cc1cc(NC(=O)/C(C#N)=C(\O)C2CC2)ccc1C#N
CHEMBL358411,28.0,=,IC50,7.55,235627,Cc1cc(NC(=O)/C(C#N)=C(\O)C2CC2)ccc1C#N
CHEMBL143237,158.0,=,IC50,6.8,234936,N#C/C(C(=O)Nc1ccc(Br)cn1)=C(/O)C1CC1
CHEMBL143237,37.0,=,IC50,7.43,234936,N#C/C(C(=O)Nc1ccc(Br)cn1)=C(/O)C1CC1
CHEMBL141040,288.0,=,IC50,6.54,235075,Cc1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL141040,234.0,=,IC50,6.63,235075,Cc1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL142214,36.0,=,IC50,7.44,236059,N#C/C(C(=O)Nc1ccc(Br)cc1)=C(/O)C1CC1
CHEMBL142214,79.0,=,IC50,7.1,236059,N#C/C(C(=O)Nc1ccc(Br)cc1)=C(/O)C1CC1
CHEMBL141126,630.0,=,IC50,6.2,235722,N#C/C(C(=O)Nc1ccc(Oc2ccccc2)cc1)=C(/O)C1CC1
CHEMBL141126,290.0,=,IC50,6.54,235722,N#C/C(C(=O)Nc1ccc(Oc2ccccc2)cc1)=C(/O)C1CC1
CHEMBL344996,2090.0,=,IC50,5.68,236035,C#C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
CHEMBL344996,500.0,=,IC50,6.3,236035,C#C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
CHEMBL141472,4270.0,=,IC50,5.37,235020,C/C=C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
CHEMBL141472,1410.0,=,IC50,5.85,235020,C/C=C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
CHEMBL139954,1120.0,=,IC50,5.95,235393,COC(=O)c1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL139954,158.0,=,IC50,6.8,235393,COC(=O)c1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1
CHEMBL960,30.0,=,IC50,7.52,93895,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
CHEMBL960,9.0,=,IC50,8.05,93895,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
CHEMBL342124,20000.0,=,IC50,4.7,235436,N#C/C(C(=O)Nc1ccc(-c2ncco2)cc1)=C(/O)C1CC1
